Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,508.940002,509.589996,495.779999,502.549988,502.549988,564200.0
2009-10-05,498.970001,502.420013,496.910004,497.829987,497.829987,578200.0
2009-10-06,502.529999,503.470001,492.459991,494.420013,494.420013,593100.0
2009-10-07,499.5,500.130005,491.359985,491.369995,491.369995,613300.0
2009-10-08,494.279999,496.959991,491.619995,496.959991,496.959991,586600.0
2009-10-09,499.899994,506.440002,499.48999,506.290009,506.290009,553400.0
2009-10-12,511.209991,511.359985,507.399994,510.209991,510.209991,548800.0
2009-10-13,511.5,511.779999,506.609985,508.369995,508.369995,665100.0
2009-10-14,510.640015,512.049988,510.220001,512.039978,512.039978,594300.0
2009-10-15,515.840027,516.0,510.440002,510.459991,510.459991,619500.0
2009-10-16,512.059998,513.780029,507.829987,508.26001,508.26001,708900.0
2009-10-19,509.119995,509.290009,504.959991,508.950012,508.950012,546100.0
2009-10-20,513.5,513.969971,508.98999,509.76001,509.76001,698100.0
2009-10-21,509.440002,511.179993,507.950012,508.619995,508.619995,647400.0
2009-10-22,507.459991,509.839996,503.769989,503.779999,503.779999,664100.0
2009-10-23,508.220001,508.220001,503.910004,503.910004,503.910004,752500.0
2009-10-26,504.079987,506.309998,503.839996,504.769989,504.769989,630400.0
2009-10-27,503.290009,503.679993,500.26001,502.299988,502.299988,712800.0
2009-10-28,503.100006,503.230011,488.290009,488.820007,488.820007,855300.0
2009-10-29,482.929993,483.0,474.220001,482.339996,482.339996,701900.0
2009-10-30,489.160004,489.73999,486.440002,486.459991,486.459991,683500.0
2009-11-02,476.049988,482.700012,475.959991,479.25,479.25,648700.0
2009-11-03,483.470001,484.149994,478.76001,478.76001,478.76001,813100.0
2009-11-04,480.950012,483.869995,480.890015,483.869995,483.869995,802400.0
2009-11-05,484.98999,486.100006,479.459991,479.459991,479.459991,738000.0
2009-11-06,485.950012,486.470001,481.869995,482.700012,482.700012,713600.0
2009-11-09,485.220001,486.5,484.200012,484.450012,484.450012,705600.0
2009-11-10,489.130005,489.339996,482.940002,482.940002,482.940002,807700.0
2009-11-11,485.589996,485.859985,482.829987,485.619995,485.619995,664500.0
2009-11-12,488.359985,488.359985,484.630005,484.630005,484.630005,694000.0
2009-11-13,485.570007,485.869995,480.440002,481.570007,481.570007,681800.0
2009-11-16,482.850006,483.0,474.109985,475.73999,475.73999,697100.0
2009-11-17,477.51001,478.329987,471.950012,471.950012,471.950012,729200.0
2009-11-18,473.5,475.230011,471.649994,472.540009,472.540009,737700.0
2009-11-19,474.51001,476.609985,474.48999,475.769989,475.769989,713300.0
2009-11-20,475.619995,479.440002,475.619995,479.429993,479.429993,671900.0
2009-11-23,481.670013,482.130005,479.049988,479.799988,479.799988,814400.0
2009-11-24,482.350006,482.440002,475.390015,475.390015,475.390015,998700.0
2009-11-25,477.519989,478.230011,474.130005,476.559998,476.559998,788900.0
2009-11-26,477.899994,479.160004,473.769989,473.820007,473.820007,710200.0
2009-11-27,467.920013,468.700012,450.369995,451.670013,451.670013,788300.0
2009-11-30,459.100006,464.359985,459.079987,464.320007,464.320007,620600.0
2009-12-01,465.369995,469.040009,460.589996,469.040009,469.040009,790200.0
2009-12-02,473.790009,476.380005,473.790009,475.970001,475.970001,790300.0
2009-12-03,478.070007,480.519989,478.059998,480.519989,480.519989,801500.0
2009-12-04,481.01001,484.119995,480.820007,483.630005,483.630005,701200.0
2009-12-07,486.929993,487.700012,485.959991,487.040009,487.040009,664800.0
2009-12-08,488.679993,489.420013,485.140015,485.940002,485.940002,723500.0
2009-12-09,482.459991,486.829987,481.459991,486.779999,486.779999,686300.0
2009-12-10,488.890015,490.859985,486.980011,489.450012,489.450012,643400.0
2009-12-11,492.130005,495.230011,491.470001,495.209991,495.209991,707800.0
2009-12-14,498.790009,501.850006,497.75,501.850006,501.850006,676700.0
2009-12-15,504.160004,504.450012,502.179993,503.309998,503.309998,728000.0
2009-12-16,504.799988,507.51001,502.200012,507.01001,507.01001,722100.0
2009-12-17,510.049988,511.5,509.019989,510.100006,510.100006,688700.0
2009-12-18,507.850006,513.799988,507.790009,513.780029,513.780029,732300.0
2009-12-21,517.890015,520.099976,516.590027,518.090027,518.090027,820300.0
2009-12-22,522.01001,522.01001,512.76001,512.780029,512.780029,827900.0
2009-12-23,515.599976,515.849976,508.399994,508.440002,508.440002,761300.0
2009-12-24,510.700012,512.140015,510.25,511.190002,511.190002,727900.0
2009-12-28,515.049988,515.049988,506.01001,506.070007,506.070007,755800.0
2009-12-29,506.559998,507.970001,503.809998,505.609985,505.609985,639900.0
2009-12-30,507.73999,513.570007,507.660004,513.570007,513.570007,664200.0
2010-01-04,517.030029,528.099976,517.030029,528.090027,528.090027,666800.0
2010-01-05,533.429993,536.650024,531.059998,533.090027,533.090027,886800.0
2010-01-06,537.099976,539.130005,532.539978,539.119995,539.119995,1133200.0
2010-01-07,542.880005,545.419983,534.630005,535.52002,535.52002,1182000.0
2010-01-08,539.630005,540.289978,529.669983,538.960022,538.960022,893000.0
2010-01-11,543.5,544.109985,539.690002,540.400024,540.400024,863900.0
2010-01-12,542.47998,542.580017,534.900024,538.109985,538.109985,918100.0
2010-01-13,535.969971,538.900024,534.450012,534.460022,534.460022,926900.0
2010-01-14,539.450012,542.340027,538.48999,542.330017,542.330017,870400.0
2010-01-15,546.780029,549.97998,545.179993,549.969971,549.969971,917500.0
2010-01-18,550.200012,553.640015,548.599976,553.099976,553.099976,877700.0
2010-01-19,557.880005,557.880005,547.719971,549.140015,549.140015,1084400.0
2010-01-20,553.609985,553.909973,543.150024,544.119995,544.119995,1045500.0
2010-01-21,542.390015,549.070007,539.929993,549.030029,549.030029,995500.0
2010-01-22,542.400024,547.330017,536.330017,546.659973,546.659973,980800.0
2010-01-25,540.559998,548.049988,529.840027,534.219971,534.219971,1154400.0
2010-01-26,540.780029,540.890015,518.080017,522.070007,522.070007,1165300.0
2010-01-27,526.27002,526.799988,515.849976,516.429993,516.429993,1062600.0
2010-01-28,520.200012,521.080017,508.440002,517.400024,517.400024,854600.0
2010-01-29,508.670013,509.540009,493.609985,496.570007,496.570007,835800.0
2010-02-01,498.829987,502.019989,495.399994,502.0,502.0,688800.0
2010-02-02,508.320007,512.0,503.149994,504.690002,504.690002,810000.0
2010-02-03,512.340027,515.330017,510.170013,515.320007,515.320007,881900.0
2010-02-04,516.549988,517.030029,513.390015,516.22998,516.22998,827300.0
2010-02-05,493.559998,498.450012,492.079987,497.369995,497.369995,849000.0
2010-02-08,502.269989,502.269989,487.399994,487.410004,487.410004,812800.0
2010-02-09,484.950012,491.220001,483.149994,491.200012,491.200012,842100.0
2010-02-10,498.390015,498.600006,491.279999,491.279999,491.279999,786600.0
2010-02-11,493.790009,498.329987,493.790009,498.01001,498.01001,731800.0
2010-02-12,501.579987,504.170013,498.959991,503.880005,503.880005,727200.0
2010-02-16,505.75,509.140015,505.579987,508.950012,508.950012,678100.0
2010-02-17,513.919983,515.669983,513.599976,515.159973,515.159973,862200.0
2010-02-18,518.090027,518.330017,513.169983,513.330017,513.330017,816600.0
2010-02-19,512.469971,515.72998,504.290009,504.390015,504.390015,956700.0
2010-02-22,511.450012,512.900024,510.98999,512.25,512.25,794300.0
2010-02-23,513.609985,515.429993,511.769989,513.900024,513.900024,842300.0
2010-02-24,512.01001,515.359985,510.619995,514.039978,514.039978,851300.0
2010-02-25,517.590027,517.820007,503.209991,504.630005,504.630005,924900.0
2010-02-26,507.519989,508.519989,502.23999,507.029999,507.029999,740500.0
2010-03-02,511.410004,511.529999,507.920013,507.959991,507.959991,754600.0
2010-03-03,509.73999,510.910004,508.829987,509.630005,509.630005,883900.0
2010-03-04,511.519989,511.75,506.970001,507.589996,507.589996,982700.0
2010-03-05,510.450012,511.359985,508.950012,511.279999,511.279999,960600.0
2010-03-08,515.940002,517.76001,515.400024,517.630005,517.630005,907800.0
2010-03-09,518.960022,518.969971,517.22998,518.119995,518.119995,942300.0
2010-03-10,520.380005,520.539978,518.289978,518.669983,518.669983,869400.0
2010-03-11,521.159973,521.440002,517.559998,517.570007,517.570007,948800.0
2010-03-12,521.109985,522.0,518.840027,519.440002,519.440002,908700.0
2010-03-15,521.320007,521.52002,516.23999,517.75,517.75,910400.0
2010-03-16,519.969971,520.890015,518.109985,520.880005,520.880005,1027900.0
2010-03-17,523.969971,523.969971,521.400024,522.97998,522.97998,945700.0
2010-03-18,524.359985,526.419983,523.799988,524.309998,524.309998,949400.0
2010-03-19,526.97998,528.030029,526.200012,527.580017,527.580017,898200.0
2010-03-22,528.059998,528.51001,526.219971,527.070007,527.070007,966200.0
2010-03-23,531.080017,531.22998,526.419983,526.419983,526.419983,951700.0
2010-03-24,530.0,530.130005,518.97998,519.799988,519.799988,988200.0
2010-03-25,519.929993,520.820007,517.179993,520.23999,520.23999,774600.0
2010-03-26,522.049988,524.869995,521.650024,524.659973,524.659973,670500.0
2010-03-29,519.960022,523.940002,517.289978,518.059998,518.059998,676600.0
2010-03-30,522.599976,523.169983,517.400024,518.049988,518.049988,689200.0
2010-03-31,520.26001,520.719971,514.840027,515.73999,515.73999,689000.0
2010-04-01,517.440002,519.27002,517.440002,519.190002,519.190002,657500.0
2010-04-02,521.450012,521.549988,513.960022,514.950012,514.950012,595500.0
2010-04-05,517.340027,517.47998,494.910004,505.130005,505.130005,672200.0
2010-04-06,507.380005,508.470001,504.390015,506.390015,506.390015,521000.0
2010-04-07,508.480011,511.019989,508.399994,510.899994,510.899994,535900.0
2010-04-08,511.470001,513.340027,511.420013,513.289978,513.289978,555100.0
2010-04-09,515.780029,515.830017,508.429993,512.150024,512.150024,604800.0
2010-04-12,514.630005,514.710022,507.670013,507.670013,507.670013,561800.0
2010-04-13,509.380005,509.640015,505.049988,506.529999,506.529999,577700.0
2010-04-14,508.929993,510.480011,508.519989,509.690002,509.690002,612100.0
2010-04-15,512.400024,512.73999,506.769989,508.609985,508.609985,599100.0
2010-04-16,509.690002,509.790009,505.980011,508.420013,508.420013,580900.0
2010-04-19,501.970001,506.76001,501.709991,502.700012,502.700012,613900.0
2010-04-20,507.51001,510.529999,507.51001,510.5,510.5,597600.0
2010-04-21,513.5,516.599976,513.130005,515.98999,515.98999,579700.0
2010-04-22,517.090027,517.090027,514.359985,516.469971,516.469971,628900.0
2010-04-23,519.01001,519.619995,516.47998,516.51001,516.51001,626200.0
2010-04-26,519.549988,519.830017,517.679993,517.679993,517.679993,567100.0
2010-04-27,518.570007,519.960022,517.849976,519.23999,519.23999,522000.0
2010-04-28,509.309998,517.869995,508.709991,517.849976,517.849976,719300.0
2010-04-29,522.450012,524.47998,518.809998,519.210022,519.210022,661000.0
2010-04-30,525.400024,525.72998,522.809998,523.75,523.75,750300.0
2010-05-03,523.929993,525.289978,516.309998,519.780029,519.780029,646600.0
2010-05-04,524.5,525.219971,518.98999,518.98999,518.98999,554800.0
2010-05-06,507.0,512.23999,505.519989,509.230011,509.230011,589900.0
2010-05-07,492.220001,503.130005,488.619995,499.709991,499.709991,740200.0
2010-05-10,503.600006,512.190002,502.970001,512.159973,512.159973,549100.0
2010-05-11,518.98999,520.179993,509.809998,512.219971,512.219971,635500.0
2010-05-12,514.789978,515.659973,510.859985,512.130005,512.130005,694800.0
2010-05-13,519.299988,523.25,519.299988,522.539978,522.539978,646200.0
2010-05-14,522.570007,525.48999,521.609985,524.97998,524.97998,670600.0
2010-05-17,520.75,522.080017,510.25,510.25,510.25,619100.0
2010-05-18,516.5,516.969971,499.529999,504.519989,504.519989,651400.0
2010-05-19,501.5,501.619995,493.23999,500.450012,500.450012,685800.0
2010-05-20,500.549988,503.690002,476.079987,481.059998,481.059998,567400.0
2010-05-24,476.769989,480.470001,470.170013,476.329987,476.329987,464700.0
2010-05-25,471.579987,471.950012,436.390015,449.959991,449.959991,697800.0
2010-05-26,454.559998,463.5,450.299988,463.0,463.0,511800.0
2010-05-27,460.570007,473.859985,460.570007,473.320007,473.320007,599800.0
2010-05-28,482.410004,483.440002,477.299988,479.029999,479.029999,527000.0
2010-05-31,481.890015,489.420013,481.890015,489.420013,489.420013,437100.0
2010-06-01,491.23999,493.290009,486.450012,488.790009,488.790009,495500.0
2010-06-03,494.48999,496.869995,494.48999,495.73999,495.73999,438100.0
2010-06-04,498.109985,499.059998,493.429993,493.709991,493.709991,480200.0
2010-06-07,478.079987,483.290009,477.820007,483.119995,483.119995,467500.0
2010-06-08,484.709991,490.779999,483.720001,490.339996,490.339996,419000.0
2010-06-09,494.309998,494.420013,486.279999,487.0,487.0,497000.0
2010-06-10,490.339996,491.820007,488.890015,491.630005,491.630005,420600.0
2010-06-11,497.170013,497.470001,491.25,491.25,491.25,490900.0
2010-06-14,494.899994,495.519989,491.480011,492.700012,492.700012,427800.0
2010-06-15,494.529999,495.209991,493.890015,495.079987,495.079987,492900.0
2010-06-16,499.820007,499.869995,495.269989,495.959991,495.959991,440600.0
2010-06-17,498.279999,498.929993,494.630005,495.179993,495.179993,448000.0
2010-06-18,497.359985,497.609985,494.51001,495.230011,495.230011,451400.0
2010-06-21,499.549988,499.920013,496.26001,498.359985,498.359985,469400.0
2010-06-22,498.320007,499.5,495.980011,496.649994,496.649994,426300.0
2010-06-23,496.149994,497.859985,494.76001,494.950012,494.950012,402600.0
2010-06-24,497.279999,499.320007,496.279999,499.140015,499.140015,528800.0
2010-06-25,496.359985,499.920013,496.269989,498.119995,498.119995,475200.0
2010-06-28,501.679993,501.970001,498.75,498.75,498.75,459900.0
2010-06-29,500.420013,500.890015,487.519989,487.540009,487.540009,542900.0
2010-06-30,477.670013,489.980011,477.01001,489.980011,489.980011,530200.0
2010-07-01,488.950012,490.640015,481.720001,489.589996,489.589996,419700.0
2010-07-02,490.690002,492.440002,484.230011,485.690002,485.690002,419600.0
2010-07-05,488.029999,488.359985,484.730011,486.149994,486.149994,418400.0
2010-07-06,486.549988,487.589996,481.309998,487.410004,487.410004,427200.0
2010-07-07,490.269989,490.75,485.820007,486.410004,486.410004,462300.0
2010-07-08,492.0,492.209991,488.959991,488.959991,488.959991,459600.0
2010-07-09,492.320007,492.619995,487.070007,492.149994,492.149994,483000.0
2010-07-12,495.25,497.309998,494.420013,496.700012,496.700012,472900.0
2010-07-13,499.070007,501.160004,497.790009,497.790009,497.790009,587500.0
2010-07-14,502.869995,503.190002,499.73999,499.970001,499.970001,590200.0
2010-07-15,501.679993,502.190002,500.619995,501.730011,501.730011,652100.0
2010-07-16,503.630005,504.23999,498.399994,498.880005,498.880005,592300.0
2010-07-19,494.359985,499.630005,494.359985,498.48999,498.48999,506000.0
2010-07-20,501.320007,501.640015,498.429993,499.720001,499.720001,686800.0
2010-07-21,502.630005,503.079987,496.730011,496.730011,496.730011,721200.0
2010-07-22,496.470001,497.839996,482.970001,484.720001,484.720001,668000.0
2010-07-23,490.170013,490.649994,480.660004,483.690002,483.690002,532200.0
2010-07-26,485.820007,488.359985,485.630005,488.140015,488.140015,499400.0
2010-07-27,491.190002,491.73999,487.73999,487.73999,487.73999,619400.0
2010-07-28,490.179993,490.73999,486.679993,486.75,486.75,547800.0
2010-07-29,487.970001,488.820007,482.140015,482.559998,482.559998,605500.0
2010-07-30,483.76001,484.429993,479.269989,481.450012,481.450012,484900.0
