영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
애프터 라이프,11905,2010-09-02,86945500,5.7
킬러스,26254,2010-09-02,189839000,12.4
뮬란: 전사의 귀환,10862,2010-09-02,76829500,5.0
해결사,76637,2010-09-09,555356000,37.0
마루 밑 아리에티,42664,2010-09-09,309694000,20.6
노다메 칸타빌레 Vol.1,2655,2010-09-09,19024500,1.3
그랑프리,8897,2010-09-16,63840000,3.4
무적자,47632,2010-09-16,346714000,18.4
레지던트 이블 4: 끝나지 않은 전쟁 3D,53947,2010-09-16,657877500,35.0
퀴즈왕,16061,2010-09-16,111886000,5.9
슈퍼  배드,6258,2010-09-16,63384000,3.4
시라노; 연애조작단,29598,2010-09-16,210759000,11.2
먹고 기도하고 사랑하라,42185,2010-09-30,290018500,22.6
방가? 방가!,23996,2010-09-30,170571000,13.3
적인걸: 측천무후의 비밀,10658,2010-10-06,80353500,7.4
레터스 투 줄리엣,5802,2010-10-06,43691000,4.0
검우강호,22761,2010-10-14,158560500,13.9
22 블렛,12589,2010-10-14,91543000,8.0
심야의 F.M.,40351,2010-10-14,295872500,26.0
월 스트리트: 머니 네버 슬립스,27230,2010-10-21,183191500,16.3
참을 수 없는,7503,2010-10-21,54024000,4.8
된장,5033,2010-10-21,36362000,3.2
파라노말 액티비티 2,19421,2010-10-21,142928500,12.7
나탈리,11453,2010-10-28,133589000,8.9
가디언의 전설,12292,2010-10-28,115699800,7.7
부당거래,98139,2010-10-28,719623000,48.2
레드,8239,2010-11-03,62259500,5.4
데블,9209,2010-11-04,67250500,5.4
돌이킬 수 없는,5370,2010-11-04,38734500,3.1
대지진,3209,2010-11-04,22665500,1.8
불량남녀,26930,2010-11-04,192882500,15.6
초능력자,115986,2010-11-10,848807500,55.4
언스토퍼블,13932,2010-11-10,101757000,6.6
스즈미야 하루히의 소실,1419,2010-11-11,10025500,0.5
렛 미 인,21695,2010-11-18,144754000,7.5
두 여자,13255,2010-11-18,95834500,4.9
소셜 네트워크,38356,2010-11-18,267988500,13.8
페스티발,19691,2010-11-18,143784000,7.4
쏘우 3D,13348,2010-11-18,167941000,8.7
스카이 라인,56202,2010-11-24,407428500,32.5
듀 데이트,4229,2010-11-24,31157500,2.5
이층의 악당,22366,2010-11-24,157843500,12.6
더 콘서트,6733,2010-11-25,47483000,3.4
스위치,8021,2010-12-01,48504500,3.8
워리어스 웨이,34950,2010-12-01,244290500,18.9
쩨쩨한 로맨스,52709,2010-12-01,386393000,30.0
라스트 엑소시즘,7077,2010-12-01,49875500,3.9
베리드,5095,2010-12-08,37064000,2.5
나니아 연대기: 새벽 출정호의 항해,32521,2010-12-08,333776000,22.6
김종욱 찾기,48375,2010-12-08,346969500,23.5
투어리스트,84722,2010-12-09,599212000,30.7
해리 포터와 죽음의 성물1,146503,2010-12-15,1017240000,46.0
톨스토이의 마지막 인생,3809,2010-12-15,26913500,1.2
새미의 어드벤쳐,4292,2010-12-15,41029000,1.9
헬로우 고스트,58487,2010-12-22,404683000,17.2
쓰리 데이즈,13586,2010-12-22,96195500,4.1
황해,120482,2010-12-22,888003500,37.8
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,17817,2010-12-23,121503500,4.7
트론: 새로운 시작,31211,2010-12-29,349555000,10.9
아메리칸,5585,2010-12-29,40712500,1.3
라스트 갓파더,138687,2010-12-29,987603500,30.9
심장이 뛴다,51561,2011-01-05,378654000,20.1
시즌 오브 더 위치: 마녀 호송단,30959,2011-01-13,224939500,12.4
러브 & 드럭스,34207,2011-01-13,254246000,14.0
세인트 클라우드,5048,2011-01-13,36039000,2.0
꿀벌 하치의 대모험,4649,2011-01-13,29258500,1.6
메가마인드,38769,2011-01-13,393582500,21.7
