영화명,해당일의 관객수,개봉일,당일 매출액,해당일자 매출총액 대비 해당 영화의 매출비율
자칼이 온다,22076,2012-11-15,146331000,4.5
브레이킹 던 part2,198302,2012-11-15,1355517000,41.3
살인소설,6533,2012-11-15,45267000,1.4
남영동1985,31034,2012-11-22,210200500,7.8
철가방 우수氏,4980,2012-11-22,32018500,1.2
돈 크라이 마미,107365,2012-11-22,721913500,26.8
가디언즈,19554,2012-11-29,161492000,6.5
26년,113921,2012-11-29,778793500,31.5
음치 클리닉,29841,2012-11-29,192366500,7.8
저지드레드 3D,6063,2012-12-06,43925000,2.2
늑대소년-확장판,18475,2012-12-06,125789500,6.2
나의 PS 파트너,72532,2012-12-06,518342500,25.4
원 데이,18480,2012-12-13,125910500,4.4
극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,3327,2012-12-13,22133000,0.8
호빗: 뜻밖의 여정,158070,2012-12-13,1283006500,45.1
가문의 영광5 - 가문의 귀환,153719,2012-12-19,1087713500,12.8
레미제라블,283842,2012-12-19,2077372000,24.4
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,90930,2012-12-19,341713250,4.0
주먹왕 랄프,96214,2012-12-19,702503500,8.3
극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,76967,2012-12-19,252935250,3.0
반창꼬,149211,2012-12-19,1076777000,12.7
잠베지아: 신비한 나무섬의 비밀,73159,2012-12-25,550644000,4.4
타워,431704,2012-12-25,3182200500,25.2
니코: 산타비행단의 모험,80132,2012-12-25,567364000,4.5
라이프 오브 파이,161038,2013-01-01,1465409500,14.8
호두까기인형 3D,5390,2013-01-03,34486000,1.2
박수건달,106959,2013-01-09,759123500,25.7
클라우드 아틀라스,43541,2013-01-09,314888000,10.7
마이 리틀 히어로,13457,2013-01-09,92762000,3.1
파이스토리 : 악당상어 소탕작전,17900,2013-01-10,116495500,4.0
몬스터 호텔,53476,2013-01-17,360754000,10.6
잭 리처,75139,2013-01-17,529329000,15.6
더 임파서블,52425,2013-01-17,364544000,10.7
뽀로로 극장판 슈퍼썰매 대모험,12000,2013-01-23,89109000,2.8
마마,5777,2013-01-23,41084500,1.3
7번방의 선물,152808,2013-01-23,1066485000,33.0
명탐정 코난:은빛 날개의 마술사,19069,2013-01-24,120350000,3.3
베를린,273647,2013-01-30,1914008000,42.8
남쪽으로 튀어,45840,2013-02-06,311539500,8.5
다이하드: 굿 데이 투 다이,69810,2013-02-06,502577000,13.7
눈의 여왕,8088,2013-02-07,48745500,1.3
해양경찰 마르코,6998,2013-02-14,40244000,1.0
실버라이닝 플레이북,14934,2013-02-14,104273500,2.7
헨젤과 그레텔: 마녀 사냥꾼 3D,38390,2013-02-14,293490500,7.5
남자사용설명서,57171,2013-02-14,391172500,10.0
분노의 윤리학,37831,2013-02-21,263006000,7.7
더 자이언트,10459,2013-02-21,62515000,1.8
라스트 스탠드,8221,2013-02-21,56218000,1.6
빌리와 용감한 녀석들 2,19307,2013-02-21,122549000,3.6
신세계,168935,2013-02-21,1182807000,34.5
차이니즈 조디악,22192,2013-02-27,143520500,4.6
스카이포스 3D,9258,2013-02-28,56186000,1.3
잭 더 자이언트 킬러,113999,2013-02-28,822269000,19.7
스토커,50954,2013-02-28,344240500,8.3
오즈 그레이트 앤드 파워풀,19337,2013-03-07,161060500,9.8
사이코메트리,46160,2013-03-07,320415500,19.4
제로 다크 서티,8520,2013-03-07,56581000,3.4
링컨,10078,2013-03-14,65946000,3.4
웜 바디스,77239,2013-03-14,533195000,27.4
알렉스 크로스,2622,2013-03-14,17622000,0.9
파파로티,59752,2013-03-14,401270000,20.6
안나 카레니나,11713,2013-03-21,73400000,4.2
원피스 극장판 Z,3142,2013-03-21,21307500,1.2
장고:분노의 추적자,21879,2013-03-21,146484500,8.4
지슬 - 끝나지 않은 세월2,2864,2013-03-21,19173400,1.1
연애의 온도,90935,2013-03-21,617431000,35.6
웃는 남자,7126,2013-03-28,46443000,2.4
지.아이.조 2,119732,2013-03-28,916710500,46.8
런닝맨,63499,2013-04-04,428871500,28.5
호프 스프링즈,4305,2013-04-04,27789000,1.8
호스트,8467,2013-04-04,56304500,3.7
끝과 시작,6756,2013-04-04,43915500,2.9
전설의 주먹,88068,2013-04-10,610386500,41.6
오블리비언,90976,2013-04-11,643618500,35.9
송 포 유,13901,2013-04-18,91590000,6.9
테이크다운,3291,2013-04-18,21721000,1.6
노리개,21086,2013-04-18,143993000,10.9
로마 위드 러브,9514,2013-04-18,64060500,4.8
뷰티풀 크리처스,9230,2013-04-18,61618500,4.7
에반게리온: Q,7523,2013-04-25,51985000,1.3
아이언맨 3,422504,2013-04-25,3375121500,84.9
피노키오: 당나귀 섬의 비밀,1504,2013-04-25,8682500,0.2
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,3506,2013-04-25,22654500,0.6
폭풍우 치는 밤에: 비밀 친구,3872,2013-05-01,25226000,0.5
전국노래자랑,94297,2013-05-01,629058000,11.4
러스트 앤 본,1582,2013-05-02,11175000,0.5
셰임,1188,2013-05-09,8603500,0.5
스니치,4746,2013-05-09,31601000,1.8
고령화 가족,67251,2013-05-09,458194500,26.8
위대한 개츠비,93346,2013-05-16,649972500,26.4
몽타주,83490,2013-05-16,568232000,23.1
크루즈 패밀리,14114,2013-05-16,99120500,4.0
미나문방구,25123,2013-05-16,163352500,6.6
분노의 질주: 더 맥시멈,88558,2013-05-22,630548000,34.1
비포 미드나잇,9725,2013-05-22,66281000,3.6
뜨거운 안녕,4919,2013-05-30,30985000,1.4
애프터 어스,70044,2013-05-30,469459500,22.0
저스트 어 이어,2131,2013-05-30,14020500,0.7
스타트렉 다크니스,73961,2013-05-30,591687500,27.7
백악관 최후의 날,19058,2013-06-05,125228500,2.6
은밀하게 위대하게,498158,2013-06-05,3323467500,68.8
무서운 이야기 2,57861,2013-06-05,382552500,7.9
맨 오브 스틸,178949,2013-06-13,1380655000,51.8
닥터,8963,2013-06-20,62880000,2.1
이별계약,1705,2013-06-20,12011000,0.4
꼭두각시,5360,2013-06-20,36916000,1.2
더 콜,7969,2013-06-20,53269000,1.8
월드 워 Z,239692,2013-06-20,1686274500,57.0
토토의 움직이는 숲,1268,2013-06-20,7999000,0.3
화이트 하우스 다운,60803,2013-06-27,396016500,15.4
라스트 엑소시즘: 잠들지 않는 영혼,1124,2013-06-27,7596000,0.3
더 웹툰: 예고살인,80164,2013-06-27,546527500,21.3
빅 웨딩,5044,2013-06-27,31778500,1.2
감시자들,210052,2013-07-03,1441844500,48.4
쿵후팬더: 영웅의 탄생,923,2013-07-04,5351000,0.2
론 레인저,42702,2013-07-04,288068500,9.7
타이치0 3D,1325,2013-07-04,8605000,0.3
퍼시픽 림,209975,2013-07-11,1656025500,47.8
사이드 이펙트,4096,2013-07-11,26519000,0.8
마스터,1404,2013-07-11,9585000,0.3
미스터 고,94955,2013-07-17,664858000,26.5
토니 스토리: 깡통제국의 비밀,6502,2013-07-18,39315000,1.4
레드: 더 레전드,131462,2013-07-18,878807500,30.4
까밀 리와인드,1078,2013-07-18,7117000,0.2
극장판 도라에몽: 진구의 비밀도구 박물관,8445,2013-07-25,53079500,1.6
더 울버린,138359,2013-07-25,966698000,29.9
마지막 4중주,1672,2013-07-25,11951000,0.4
터보,63108,2013-07-25,419327500,13.0
더 테러 라이브,215832,2013-07-31,1475326500,22.9
설국열차,601029,2013-08-01,4150674000,48.9
개구쟁이 스머프 2,92058,2013-08-01,596053000,7.0
에픽 : 숲속의 전설,53747,2013-08-07,365378500,6.9
명탐정 코난 : 수평선상의 음모,20161,2013-08-07,124998000,2.4
슈퍼윙스 3D,4023,2013-08-14,23217500,0.3
감기,304661,2013-08-14,2012379500,29.3
언어의 정원,3792,2013-08-14,26914500,0.4
숨바꼭질,293917,2013-08-14,1973544000,28.7
R.I.P.D. : 알.아이.피.디.,13515,2013-08-22,91583500,2.5
나우 유 씨 미 : 마술사기단,146606,2013-08-22,991772000,26.6
투 마더스,11201,2013-08-22,74506000,2.0
일대종사,8790,2013-08-22,58841000,1.6
드래곤볼Z : 신들의 전쟁,4821,2013-08-29,32214500,1.1
엘리시움,132038,2013-08-29,924420000,30.3
잡스,33062,2013-08-29,223258500,7.3
바람이 분다,12191,2013-09-05,82336000,4.3
스파이(한),133131,2013-09-05,894351000,46.4
뫼비우스,4959,2013-09-05,33497500,1.7
관상,373552,2013-09-11,2496070000,78.1
슈퍼배드 2,6262,2013-09-12,39735500,1.3
몬스터 대학교,9957,2013-09-12,64242500,2.1
우리 선희,2129,2013-09-12,14733400,0.5
섀도우 헌터스: 뼈의 도시,34177,2013-09-12,225299000,7.5
퍼시 잭슨과 괴물의 바다,12304,2013-09-12,87422500,2.9
컨저링,81130,2013-09-17,549728500,12.3
퍼펙트,2775,2013-09-25,18619500,0.9
블루 재스민,8659,2013-09-25,57736000,2.8
히든 카드,23283,2013-09-26,153990000,8.4
프리즈너스,24147,2013-10-02,163669000,5.6
로덴시아: 마법왕국의 전설,2707,2013-10-02,17311000,0.6
적인걸2 : 신도해왕의 비밀,5539,2013-10-02,37604500,1.3
소원,91705,2013-10-02,610025500,20.8
깡철이,134531,2013-10-02,912569500,31.1
러시 : 더 라이벌,19252,2013-10-09,145626000,2.3
에코 플래닛 3D : 지구 구출 특급 대작전,12785,2013-10-09,81962000,1.3
화이: 괴물을 삼킨 아이,360280,2013-10-09,2714221500,42.2
러브레이스,2134,2013-10-17,13980500,0.6
롤러코스터,27564,2013-10-17,183707500,7.8
킥 애스 2 : 겁없는 녀석들,1970,2013-10-17,13399500,0.6
밤의 여왕,28595,2013-10-17,188319500,8.0
그래비티,110996,2013-10-17,1011294000,42.7
캡틴 필립스,19778,2013-10-23,128508000,7.1
톱스타,19375,2013-10-24,125127000,5.5
배우는 배우다,19832,2013-10-24,134670500,5.9
공범,114573,2013-10-24,760479500,33.1
응징자,24893,2013-10-30,167596500,6.8
노브레싱,44704,2013-10-30,288115500,11.7
토르: 다크 월드,114775,2013-10-30,818198500,33.3
원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,1172,2013-10-31,13663500,0.6
동창생,125671,2013-11-06,829715500,35.7
더 퍼지,15120,2013-11-06,109113500,4.7
세이프 헤이븐,2360,2013-11-06,15944500,0.7
소녀,2326,2013-11-07,16334000,0.6
블랙 가스펠,4172,2013-11-14,26997500,0.8
더 파이브,47976,2013-11-14,328675000,9.7
카운슬러,16533,2013-11-14,113890500,3.4
친구 2,304184,2013-11-14,2110674500,62.5
결혼전야,56240,2013-11-21,364250000,16.8
하늘에서 음식이 내린다면 2,11643,2013-11-21,74933500,3.4
헝거게임: 캣칭 파이어,74320,2013-11-21,478142500,22.0
버틀러: 대통령의 집사,8928,2013-11-28,57893000,2.9
리딕,16952,2013-11-28,112917000,5.7
창수,50653,2013-11-28,347658500,17.5
열한시,64960,2013-11-28,426604500,21.5
인시디어스: 두번째 집,47414,2013-12-05,318391500,17.3
오싱,5190,2013-12-05,32940000,1.8
이스케이프 플랜,18880,2013-12-05,126511500,6.9
어바웃 타임,66278,2013-12-05,448313500,24.3
집으로 가는 길,90148,2013-12-11,604185500,29.1
호빗: 스마우그의 폐허,139601,2013-12-12,1062686500,37.6
캐치미,29488,2013-12-18,199920500,6.8
변호인,119949,2013-12-18,848513000,28.7
그렇게 아버지가 된다,2152,2013-12-19,15167500,0.4
세이빙 산타,10624,2013-12-19,61438000,1.7
비행기,10897,2013-12-19,70246500,2.0
다이노소어 어드벤처 3D,11259,2013-12-19,97371500,2.7
썬더와 마법저택,18726,2013-12-24,127945000,1.6
용의자,334061,2013-12-24,2327993000,29.7
저스틴,34142,2013-12-31,218487500,2.8
월터의 상상은 현실이 된다,93788,2013-12-31,644020000,8.3
엔더스 게임,125787,2013-12-31,913825000,11.8
더 울프 오브 월스트리트,38282,2014-01-09,275014000,9.0
타잔 3D,40777,2014-01-09,296202000,9.7
플랜맨,54251,2014-01-09,367503500,12.1
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",45532,2014-01-09,287678500,9.4
살인자,12131,2014-01-15,87193000,3.9
잭 라이언 : 코드네임 쉐도우,42588,2014-01-16,294694500,9.5
겨울왕국,160592,2014-01-16,1170458500,37.8
수상한 그녀,142843,2014-01-22,978767500,21.7
남자가 사랑할 때,98730,2014-01-22,697196500,15.5
피끓는 청춘,157026,2014-01-22,1046098500,23.2
극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,4357,2014-01-23,27826000,0.6
조선미녀삼총사,60234,2014-01-29,391404000,6.1
넛잡: 땅콩 도둑들,26870,2014-01-29,171843500,2.7
인사이드 르윈,6448,2014-01-29,44025000,0.7
폴리스 스토리 2014,17114,2014-01-29,114383000,1.8
또 하나의 약속,27304,2014-02-06,189489500,5.5
레고 무비,6583,2014-02-06,44742500,1.3
프랑켄슈타인: 불멸의 영웅,43029,2014-02-06,299038000,8.6
관능의 법칙,58083,2014-02-13,401253500,13.0
로보캅,92373,2014-02-13,665546000,21.5
신이 보낸 사람,23038,2014-02-13,162470000,5.3
명탐정 코난 : 탐정들의 진혼가,8827,2014-02-13,59048000,1.9
우리별 일호와 얼룩소,5632,2014-02-20,36378000,1.3
찌라시: 위험한 소문,91576,2014-02-20,642206500,22.5
폼페이: 최후의 날,76924,2014-02-20,547859000,19.2
아메리칸 허슬,14272,2014-02-20,100699500,3.5
노예 12년,21698,2014-02-27,151799500,5.3
논스톱,115832,2014-02-27,843053300,29.3
모뉴먼츠 맨: 세기의 작전,11024,2014-02-27,76950400,2.7
300: 제국의 부활,119549,2014-03-06,965214100,46.1
달라스 바이어스 클럽,4746,2014-03-06,35787400,1.7
다이애나,10451,2014-03-06,69591000,3.3
우아한 거짓말,54153,2014-03-13,385691900,20.9
몬스터,67380,2014-03-13,499372600,27.0
원 챈스,9483,2014-03-13,66697800,3.6
엔들리스 러브,2675,2014-03-13,18998900,1.0
벨과 세바스찬,2590,2014-03-20,18175000,0.9
그랜드 부다페스트 호텔,8041,2014-03-20,59262500,2.8
노아,177380,2014-03-20,1284593200,60.3
캡틴 아메리카: 윈터 솔져,166787,2014-03-26,1173000000,53.6
블러드 타이즈,1756,2014-03-27,11766000,0.6
론 서바이버,10300,2014-04-02,74182800,5.9
어거스트: 가족의 초상,6959,2014-04-03,50035300,3.5
쓰리데이즈 투 킬,22745,2014-04-03,163707400,11.4
짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,2082,2014-04-03,14435300,1.0
백프로,5451,2014-04-03,38131000,2.7
가시,20553,2014-04-10,146675500,8.9
방황하는 칼날,66643,2014-04-10,480974200,29.2
헤라클레스 : 레전드 비긴즈,26897,2014-04-10,190614200,11.6
선 오브 갓,19897,2014-04-10,134433800,8.2
필로미나의 기적,2414,2014-04-16,16638000,1.5
다이버전트,30913,2014-04-16,224616300,19.6
페이스 오브 러브,4974,2014-04-16,34266800,3.0
니드 포 스피드,9263,2014-04-16,70712400,6.2
한공주,10149,2014-04-17,71373400,6.2
그랜드 피아노,5073,2014-04-17,33810000,2.9
어메이징 스파이더맨 2,192229,2014-04-23,1611578700,77.4
파가니니: 악마의 바이올리니스트,2547,2014-04-23,18977000,0.9
천재 강아지 미스터 피바디,3695,2014-04-24,26301000,1.3
표적,105838,2014-04-30,713159400,19.7
역린,287855,2014-04-30,1933393300,53.4
위크엔드 인 파리,1759,2014-05-01,13350500,0.2
리오 2,45775,2014-05-01,325064000,5.5
몬스터 왕국,2729,2014-05-01,18023800,0.3
디태치먼트,1310,2014-05-08,9287500,0.6
히트맨 NO.2 : 살인면허,1048,2014-05-08,6906000,0.4
라스트베가스,13495,2014-05-08,98709900,6.1
인간중독,89092,2014-05-14,671799900,33.3
트랜센던스,47918,2014-05-14,361383800,17.9
고질라,89080,2014-05-15,730179600,25.2
침입자들 : 로봇의 역습,1378,2014-05-15,9546000,0.3
더 바디,5257,2014-05-22,38248100,1.4
도희야,13512,2014-05-22,99982500,3.6
케이트 맥콜,2529,2014-05-22,20224000,0.7
엑스맨: 데이즈 오브 퓨처 패스트,213000,2014-05-22,1676575600,60.7
그녀,8390,2014-05-22,64126700,2.3
오큘러스,25027,2014-05-29,188892700,7.9
끝까지 간다,79698,2014-05-29,590812000,24.6
말레피센트,56603,2014-05-29,430000100,17.9
극장판 루팡 3세 VS 명탐정 코난,3877,2014-05-29,28648000,1.2
하이힐,13936,2014-06-03,110483800,3.7
마이 블랭키,7464,2014-06-04,53520200,0.6
우는 남자,121991,2014-06-04,1020588600,11.9
엣지 오브 투모로우,377160,2014-06-04,3201954200,37.3
황제를 위하여,39397,2014-06-11,308866100,14.9
밀리언 웨이즈,3258,2014-06-12,23793200,1.1
베스트 오퍼,3513,2014-06-12,25626600,1.2
경주,7922,2014-06-12,55602200,2.5
창문 넘어 도망친 100세 노인,11004,2014-06-18,80983700,4.7
미녀와 야수(프),18629,2014-06-18,138505600,8.0
님포매니악 볼륨1,4350,2014-06-18,32570800,1.9
그레이스 오브 모나코,14123,2014-06-18,100923800,5.8
트랜스포머: 사라진 시대,467419,2014-06-25,3552580600,80.5
이브 생 로랑,1418,2014-06-26,10623100,0.3
소녀괴담,24638,2014-07-02,190736700,7.9
나쁜 이웃들,4923,2014-07-03,38571200,1.2
신의 한 수,181459,2014-07-03,1390445200,43.6
님포매니악 볼륨2,1817,2014-07-03,13843400,0.4
더 시그널,19052,2014-07-09,140091000,5.1
파이어 : 테러와의 전쟁,1636,2014-07-10,11452000,0.3
혹성탈출: 반격의 서막,201723,2014-07-10,1547783900,45.8
좋은 친구들,38128,2014-07-10,290070400,8.6
테레즈 라캥,1259,2014-07-10,9162900,0.3
주온 : 끝의 시작,48923,2014-07-16,358402300,13.4
분신사바 2,9263,2014-07-16,67248800,2.5
프란시스 하,3205,2014-07-17,22972400,0.9
군도: 민란의 시대,551841,2014-07-23,4092186100,74.6
드래곤 길들이기 2,72041,2014-07-23,607293700,11.1
밀애,1420,2014-07-24,6235000,0.1
마담 프루스트의 비밀정원,2124,2014-07-24,15318900,0.3
명량,682701,2014-07-30,4708879000,61.6
터키,14736,2014-07-31,100918300,1.1
어떤 만남,2190,2014-07-31,16427200,0.2
가디언즈 오브 갤럭시,121866,2014-07-31,964659300,10.9
명탐정 코난 : 이차원의 저격수,23648,2014-08-06,159126600,1.8
허큘리스,11709,2014-08-06,86848400,1.0
해적: 바다로 간 산적,273445,2014-08-06,2021392600,23.4
극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,2671,2014-08-07,18220700,0.2
비행기 2: 소방구조대,12398,2014-08-13,85322700,1.3
"안녕, 헤이즐",29696,2014-08-13,223415800,3.4
해무(海霧),174827,2014-08-13,1325577900,20.1
극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,6354,2014-08-13,42859400,0.7
비긴 어게인,12032,2014-08-13,89722200,1.4
익스펜더블 3,18971,2014-08-20,139800600,3.5
내 연애의 기억,7506,2014-08-20,56416400,1.4
터널 3D,19255,2014-08-20,143789600,3.6
더 기버: 기억전달자,13893,2014-08-20,103418500,2.6
인보카머스,11511,2014-08-21,90530700,2.3
더 퍼지 : 거리의 반란,12045,2014-08-27,82599500,2.9
브릭 맨션: 통제불능 범죄구역,20851,2014-08-27,134408800,4.8
닌자터틀,48055,2014-08-28,386296700,12.5
인투 더 스톰,97234,2014-08-28,715548400,23.2
두근두근 내 인생,99364,2014-09-03,715087300,15.3
스텝 업: 올 인,32719,2014-09-03,241417000,5.2
루시,143617,2014-09-03,1120414900,23.9
타짜-신의 손,201749,2014-09-03,1533302500,32.7
선샤인 온 리스,8296,2014-09-03,64069800,1.4
마야,3488,2014-09-04,25398200,0.7
씬 시티: 다크히어로의 부활,14537,2014-09-11,107774700,3.7
쎄븐 플로어,912,2014-09-15,5531000,0.3
메이즈 러너,83355,2014-09-18,613499800,29.2
설계,8031,2014-09-18,58820100,2.8
툼스톤,25970,2014-09-18,189531900,9.0
베리 굿 걸,16519,2014-09-25,116285900,7.2
프랭크,3832,2014-09-25,27478300,1.7
지골로 인 뉴욕,3701,2014-09-25,26042300,1.6
슬로우 비디오,98673,2014-10-02,716393200,20.7
정글히어로,2181,2014-10-02,14288400,0.4
애나벨,81019,2014-10-02,598757700,17.3
마담 뺑덕,67072,2014-10-02,505016600,14.6
"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",4251,2014-10-02,29619100,0.9
제보자,107854,2014-10-02,785867900,22.7
초콜렛 도넛,2171,2014-10-02,16367300,0.5
맨홀,26180,2014-10-08,201306600,6.6
드라큘라: 전설의 시작,74586,2014-10-08,578048300,18.8
나의 사랑 나의 신부,88406,2014-10-08,653691400,21.3
컬러풀 웨딩즈,16474,2014-10-16,118628000,6.5
노벰버 맨,29734,2014-10-16,212171800,11.6
타임 투 러브,4720,2014-10-23,32029400,1.7
보이후드,5083,2014-10-23,36528700,2.0
레드카펫,26180,2014-10-23,195502700,10.6
우리는 형제입니다,62171,2014-10-23,448389600,24.3
나를 찾아줘(미),64919,2014-10-23,479906800,26.0
나의 독재자,37015,2014-10-30,261981600,17.0
앵그리스트 맨,2782,2014-10-30,19976200,1.3
내가 잠들기 전에,6705,2014-10-30,48485600,3.1
인터스텔라,227025,2014-11-06,1786133700,67.6
패션왕,48348,2014-11-06,356030000,13.5
왓 이프,2694,2014-11-13,19007500,0.5
울브스,7377,2014-11-13,52126100,1.3
거인,2044,2014-11-13,14635700,0.4
카트,101033,2014-11-13,690142700,17.3
아더 우먼,13185,2014-11-13,95558400,2.4
헝거게임: 모킹제이,88152,2014-11-20,638324600,22.1
퓨리,74695,2014-11-20,544090900,18.8
아빠를 빌려드립니다,13283,2014-11-20,90052300,3.1
꾸뻬씨의 행복여행,7932,2014-11-27,55096100,2.2
빅매치,75112,2014-11-27,542616800,21.8
혼스,2798,2014-11-27,20097000,0.8
"님아, 그 강을 건너지 마오",8607,2014-11-27,63097500,2.5
덤 앤 더머 투,20011,2014-11-27,142557200,5.7
엑소더스: 신들과 왕들,97384,2014-12-03,798166600,38.4
덕수리 5형제,18744,2014-12-04,135924400,6.5
GROW: 인피니트의 리얼 청춘 라이프,4943,2014-12-04,40072500,1.9
"러브, 로지",27335,2014-12-10,196411100,9.2
사랑에 대한 모든 것,31139,2014-12-10,225890200,10.6
국제시장,184756,2014-12-17,1356869800,31.0
호빗: 다섯 군대 전투,188655,2014-12-17,1572116300,36.0
마미,2614,2014-12-18,18909000,0.4
눈의 여왕 2: 트롤의 마법거울,14964,2014-12-24,104070400,1.2
일곱난쟁이,7914,2014-12-24,52117100,0.6
숲속으로,55379,2014-12-24,415843000,4.8
기술자들,274404,2014-12-24,2064901000,23.9
상의원,108567,2014-12-24,828912900,9.6
마다가스카의 펭귄,145138,2014-12-31,1014987800,11.9
개를 훔치는 완벽한 방법,26982,2014-12-31,180845900,2.1
테이큰 3,321653,2015-01-01,2644551100,17.5
언브로큰,26707,2015-01-07,199398300,5.8
패딩턴,15431,2015-01-07,110667200,3.2
워킹걸,14281,2015-01-07,110945200,3.2
타임 패러독스,7866,2015-01-07,59514200,1.7
오늘의 연애,133838,2015-01-14,1032903000,26.7
아메리칸 스나이퍼,19229,2015-01-14,148644600,3.8
허삼관,73635,2015-01-14,551479100,14.3
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,17522,2015-01-14,120201500,3.1
박물관이 살아있다 : 비밀의 무덤,51438,2015-01-14,375793500,9.7
엑스 마키나,8662,2015-01-21,67285300,1.8
빅 히어로,72487,2015-01-21,575543100,15.4
강남 1970,152329,2015-01-21,1184775700,31.6
존 윅,16347,2015-01-21,125397300,3.3
내 심장을 쏴라,60407,2015-01-28,391282000,13.6
빅 아이즈,8225,2015-01-28,54098800,1.9
워터 디바이너,19516,2015-01-28,127332400,4.4
더 이퀄라이저,8629,2015-01-28,59686900,2.1
최강전사 미니특공대 : 새로운 악당의 습격,4074,2015-02-05,29749300,1.3
주피터 어센딩,44373,2015-02-05,376906800,17.0
바다 탐험대 옥토넛 스페셜,3462,2015-02-05,22498800,1.0
쎄시봉,96139,2015-02-05,713911500,32.2
7번째 아들,14457,2015-02-11,110690400,4.4
킹스맨 : 시크릿 에이전트,78058,2015-02-11,605036200,24.3
조선명탐정 : 사라진 놉의 딸,113443,2015-02-11,853823300,34.3
오즈의 마법사: 돌아온 도로시,11579,2015-02-12,79731800,3.1
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,8654,2015-02-12,61888500,2.4
도라에몽 : 스탠 바이 미,12675,2015-02-12,89608000,3.5
이미테이션 게임,75824,2015-02-17,569536400,13.7
모데카이,16726,2015-02-18,135181100,1.9
스폰지밥 3D,32216,2015-02-18,249312600,3.4
기생수 파트1,18653,2015-02-26,148722300,4.9
백 투 더 비기닝,36522,2015-02-26,259889900,8.5
그레이의 50가지 그림자,45653,2015-02-26,354173500,11.6
포커스,16554,2015-02-26,119412600,3.9
순수의 시대,61795,2015-03-05,463897100,24.2
세인트 빈센트,7448,2015-03-05,55858000,2.9
버드맨,20555,2015-03-05,156925000,8.2
헬머니,35936,2015-03-05,269220500,14.0
채피,45334,2015-03-12,358404600,16.8
위플래쉬,25816,2015-03-12,193948100,9.1
살인의뢰,80774,2015-03-12,618816400,29.1
소셜포비아,22056,2015-03-12,168883900,7.9
드래곤 블레이드,6413,2015-03-12,46146200,2.2
런 올 나이트,27969,2015-03-19,207339600,12.4
트레이서,3316,2015-03-19,24102100,1.4
신데렐라,34177,2015-03-19,261508600,15.6
인서전트,35995,2015-03-25,235584300,11.0
스물,151161,2015-03-25,981625100,45.6
투캅스 인 파리,2146,2015-03-26,10870000,0.6
송 원,5620,2015-04-01,33560100,1.3
분노의 질주: 더 세븐,135549,2015-04-01,1065238700,40.6
맛있는 택배,2057,2015-04-02,10222000,0.5
팔로우,4885,2015-04-02,37879700,1.8
파울볼,2283,2015-04-02,16891300,0.8
한 번 더 해피엔딩,5356,2015-04-08,38524000,2.6
코블러,4541,2015-04-08,33525700,2.2
뱀파이어 아카데미,2092,2015-04-09,10635000,0.6
장수상회,53241,2015-04-09,375613800,21.8
엘리노어 릭비: 그 남자 그 여자,4682,2015-04-09,35578600,2.1
화장,13888,2015-04-09,100250500,5.8
위자,9069,2015-04-16,68757700,5.0
신은 죽지 않았다,1769,2015-04-16,12816300,0.9
더 건맨,14867,2015-04-16,107625700,7.8
검은손,2126,2015-04-16,15366000,1.1
약장수,4006,2015-04-23,28088200,0.5
"땡큐, 대디",2945,2015-04-23,20566600,0.4
어벤져스: 에이지 오브 울트론,622165,2015-04-23,5238813700,92.6
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2299,2015-04-23,16572400,0.3
타이거 마운틴,1846,2015-04-23,9389000,0.2
스틸 앨리스,3867,2015-04-29,24234900,0.7
위험한 상견례 2,16506,2015-04-29,102407500,3.0
차이나타운,90899,2015-04-29,623852500,18.1
다이노 타임,2578,2015-04-30,17444600,0.4
빌리와 용감한 녀석들 3,5792,2015-04-30,40239500,1.0
연애의 맛,16462,2015-05-07,125905400,6.8
언프렌디드: 친구삭제,21884,2015-05-07,162422000,8.8
기생수 파트2,9213,2015-05-07,70250600,3.8
위아영,5314,2015-05-14,39672500,1.7
매드 맥스: 분노의 도로,89736,2015-05-14,766408900,32.7
악의 연대기,114540,2015-05-14,862812600,36.8
트래쉬,2087,2015-05-14,14535800,0.6
간신,83605,2015-05-21,634028200,24.3
스파이(미),75330,2015-05-21,567777900,21.8
홈,6632,2015-05-21,47152400,1.8
하나와 앨리스: 살인사건,1833,2015-05-27,13006500,0.6
투모로우랜드,22850,2015-05-27,146666000,6.2
무뢰한,50014,2015-05-27,331691500,14.1
