,0,1
340,M. 나이트 샤말란,
341,김병우,
342,에릭 다넬,사이몬 J.스미스
343,스티브 마티노,마이크 트메이어
344,김홍선,
345,추창민,
346,문현성,
347,에릭 다넬,톰 맥그라스
348,정다원,
349,대런 아로노프스키,
350,저스틴 린,
351,이한,
352,유하,
353,이재용,
354,김주환,
355,J.J. 에이브럼스,
356,김성훈,
357,리들리 스콧,
358,김봉주,
359,김민호,
360,노암 머로,
361,이안,
362,송해성,
363,데이미언 셔젤,
364,트래비스 나이트,
365,방은진,
366,이권,
367,조셉 코신스키,
368,젠디 타타코브스키,
369,리들리 스콧,
370,박희곤,
371,딘 데블로이스,
372,임순례,
373,롤랜드 에머리히,
374,리 언크리치,
375,조던 필,
376,한준희,
377,강형철,
378,장유정,
379,심성보,
380,빌 콘돈,
381,벤 스타센,
382,바즈 루어만,
383,요아킴 뢰닝,
384,김대우,
385,육상효,
386,존 무어,
387,조성희,
388,조동오,
389,이준익,
390,마이클 그레이시,
391,티무르 베크맘베토브,
392,로버트 스트롬버그,
393,M. 나이트 샤말란,
394,장항준,
395,노동석,
396,브래드 페이튼,
397,크리스토퍼 랜던,
398,폴 W.S. 앤더슨,
399,박훈정,
400,박인제,
401,데이비드 에이어,
402,신태라,
403,정지우,
404,홍창표,
405,타셈 싱,
406,게리 로스,
407,김용화,
408,피터 손,
409,개리 쇼어,
410,이창희,
411,제임스 건,
412,우민호,
413,조나단 리브스만,
414,리들리 스콧,
415,허정,
416,더글라스 맥키넌,
417,던칸 존스,
418,김형준,
419,정지우,
420,강효진,
421,마크 앤드류스,브렌다 채프먼
422,김상만,
423,권종관,
424,김광식,
425,렌 와이즈먼,
426,홍지영,
427,폴 W.S. 앤더슨,
428,닐 블롬캠프,
429,정병길,
430,안권태,
431,제임스 맨골드,
432,곽재용,
433,김동원,
434,이수연,
435,김용균,
436,이종언,
437,이병헌,
438,마이클 앱티드,
439,최호,
440,이계벽,
441,조나단 레빈,
442,홍지영,
443,이준익,
444,임상수,
445,던칸 존스,
446,강제규,
447,정용기,
448,김영탁,
449,조민호,
450,저스틴 린,
451,이언희,
452,브래드 페이튼,
453,용수,
454,김형준,
455,곽경택,김태훈
456,송해성,
457,장유정,
458,조선호,
459,프란시스 로렌스,
460,김용완,
461,허종호,
462,황병국,
463,크리스 리노드,
464,데이비드 F. 샌드버그,
465,임상윤,
466,민규동,
467,숀 레비,
468,이정호,
469,강윤성,
470,요네바야시 히로마사,
471,스티븐 S. 드나이트,
472,피터 램지,
473,제임스 맨골드,
474,젠디 타타코브스키,
475,이한,
476,이철하,
477,조진모,
478,제이크 캐스단,
479,윤준형,
480,박홍수,
481,한상호,
482,우민호,
483,딘 데블린,대니 캐넌
484,송일곤,
485,라자 고스넬,
486,가렛 에드워즈,
487,토니 길로이,
488,코린 하디,
489,윤재근,
490,마틴 스코세이지,
491,바이론 하워드,네이슨 그레노
492,채드 스타헬스키,
493,로슨 마샬 터버,
494,페드 알바레즈,
495,연상호,
496,육상효,
497,이정호,
498,우선호,
499,강효진,
500,마크 워터스,
501,호세 파딜라,
502,권칠인,
503,김용한,
504,크리스 웻지,
505,강우석,
506,장진,
507,리들리 스콧,
508,허진호,
509,이종필,
510,라이언 존슨,
511,조철현,
512,브라이언 싱어,
513,하정우,
514,스콧 스피어,
515,변성현,
516,벤 스타센,
517,벤 스틸러,
518,커크 드 미코,크리스 샌더스
519,테아 샤록,
520,권호영,
521,박영균,
522,존 R. 레오네티,
523,크리스 리노드,피에르 꼬팽
524,안톤 후쿠아,
525,알렉스 프로야스,
526,리치 무어,
527,플로리안 헨켈 폰 도너스마르크,
528,벤 스타센,제레미 드그루손
529,토미 위르콜라,
530,신정원,
531,김지운,
532,조나단 리브스만,
533,안드레스 무시에티,
534,젠디 타타코브스키,
535,톰 맥그라스,
536,최신규,김진철
537,맥지,
538,콜린 스트로즈,그렉 스트로즈
539,유선동,
540,김현석,
541,댄 스캔론,
542,라자 고스넬,
543,김태경,
544,케네스 브래너,
545,사이먼 킨버그,
546,데이빗 예이츠,
547,손용호,
548,프란시스 로렌스,
549,F. 게리 그레이,
550,박현진,
551,김태용,
552,정윤철,
553,앤드류 스탠튼,
554,임찬익,
555,김광태,
556,리 워넬,
557,윤제완,김현호
558,임순례,
559,에드가 라이트,
560,샤론 맥과이어,
561,홍성호,
562,스티븐 스필버그,
563,론 하워드,
564,프란시스 로렌스,
565,톰 후퍼,
566,코디 카메론,크리스 피언
567,부지영,
568,조 카나한,
569,김곡,김선
570,이원석,
571,크리스토퍼 맥쿼리,
572,권칠인,
573,웨스 앤더슨,
574,이현승,
575,장규성,
576,변혁,
577,윤창섭,김현호
578,김대웅,
579,오스카 요나손,토비 젠켈
580,폴 W.S. 앤더슨,
581,루퍼트 샌더스,
582,카를로스 살다나,
583,최국희,
584,조쉬 분,
585,김상진,
586,바박 나자피,
587,정연식,
588,톰 후퍼,
589,밥 퍼시케티,피터 램지
590,허종호,
591,이지원,
592,케네스 브래너,
593,전재홍,
594,가렛 에드워즈,
595,이정철,
596,김종현,
597,김광식,
598,월리 피스터,
599,곽경택,
600,론 하워드,
601,롭 레터맨,
602,존 추,
603,크리스 콜럼버스,
604,퍼갈 레일리,클레이 케이티스
605,김병갑,
606,마이크 미첼,월트 도른
607,변영규,
608,변승욱,
609,모튼 틸덤,
610,데이미언 셔젤,
611,필 로드,크리스 밀러
612,라이언 존슨,
613,폴 W.S. 앤더슨,
614,데이비드 F. 샌드버그,
615,신카이 마코토,
616,정기훈,
617,D.J. 카루소,
618,개빈 후드,
619,조규장,
620,자크 클로드,자끄 페렝
621,김형협,
622,이우철,
623,카를로스 살다나,
624,김승우,
625,시즈노 코분,
626,베넷 밀러,
627,김주호,
628,루퍼트 샌더스,
629,모홍진,
630,성시흡,
631,드니 빌뇌브,
632,김대승,
633,야마모토 야스이치로,
634,클린트 이스트우드,
635,후안 안토니오 바요나,
636,베리 쿡,
637,알렉세이 트시칠린,
638,앤드류 니콜,
639,노덕,
640,에드워드 즈윅,
641,박철관,
642,천성일,
643,폴 그린그래스,
644,게리 로스,
645,손재곤,
646,김기덕,
647,베리 쿡,닐 나이팅게일
648,김동욱,
649,이정범,
650,올리비에 메가턴,
651,라인하드 클루스,
652,게리 위닉,
653,박상준,
654,애스게르 레스,
655,오기환,
656,안드레스 무시에티,
657,요하네스 로버츠,
658,최신규,김진철
659,마틴 스코세이지,
660,장진,
661,존 터틀타웁,
662,팀 버튼,
663,마크 오스본,
664,제임스 완,
665,타셈 싱,
666,최신규,김진철
667,닐 블롬캠프,
668,해럴드 즈워트,
669,라이언 존슨,
670,마이크 미첼,
671,롤랜드 에머리히,
672,애덤 로비텔,
673,한지승,
674,트리시 시에,
675,존 카니,
676,폴 W.S. 앤더슨,
677,애덤 로비텔,
678,이성태,
679,마이크 트메이어,
680,스콧 모시어,
681,데니스 간젤,
682,타카하시 시게하루,우시로 신지
683,한상호,
684,김병곤,
685,김지영,
686,로아 우타우,
687,M. 나이트 샤말란,
688,요네바야시 히로마사,
689,카를로스 살다나,
690,권호영,
691,이창동,
692,이환경,
693,추창민,
694,존 터틀타웁,
695,에드워드 즈윅,
696,황인호,
697,존 크래신스키,
698,시즈노 코분,야마모토 야스이치로
699,자움 콜렛 세라,
700,신한솔,
701,쏘어 프류덴탈,
702,로버트 저메키스,
703,라세 할스트롬,조 존스톤
704,데이빗 핀처,
705,폴 페이그,
706,알렉산더 아야,
707,조 존스톤,
708,제임스 그레이,
709,제임스 보빈,
710,뤽 베송,
711,야마자키 타카시,
712,엄태화,
713,라이언 머피,
714,유야마 쿠니히코,
715,시즈노 코분,
716,이원석,
717,기예르모 델 토로,
718,야마자키 타카시,야기 류이치
719,요하네스 로버츠,
720,장예모,
721,스티브 맥퀸,
722,정승구,
723,이현종,
724,김성호,김휘
725,신근호,
726,브래들리 쿠퍼,
727,마크 포스터,
728,로베르트 슈벤트케,
729,김태윤,
730,브라이언 피,
731,정지우,
732,박흥식,
733,게리 도버먼,
734,창,
735,오인천,
736,박제현,
737,유성엽,
738,피터 레페니오티스,
739,이호재,
740,D.J. 카루소,
741,이준익,
742,김진영,
743,웨인 쏜리,
744,J.J. 에이브럼스,
745,허종호,
746,김길형,백동훈
747,시즈노 코분,
748,이사랑,
749,서극,
750,김달중,
751,M. 나이트 샤말란,
752,임필성,
753,존 라세터,
754,츠키카와 쇼,
755,안상훈,
756,앨리스터 그리어슨,
757,스테판 St. 레게르,제임스 매더스
758,토니 스콧,
759,다니엘 에스피노사,
760,임진순,
761,라즈쿠마르 히라니,
762,조용선,
763,조원희,
764,릴리 워쇼스키,라나 워쇼스키
765,데오도르 멜피,
766,시즈노 코분,
767,조명남,
768,아담 맥케이,
769,오렌 펠리,
770,김홍선,
771,박영균,
772,세딕 니콜라스 트로얀,
773,사이먼 웨스트,
774,데이빗 핀처,
775,이승무,
776,허인무,
777,도미닉 세나,
778,양경모,
779,박흥식,
780,피터 패럴리,
781,홍헌표,김석원
782,이덕희,
783,고어 버빈스키,
784,홍원찬,
785,박인제,
786,프랭키 첸,
787,캘리 애스버리,
788,김동빈,
789,이윤정,
790,닐 버거,
791,김정환,
792,김진무,
793,조근현,
794,오승욱,
795,조성희,
796,크리스토퍼 랜던,
797,가이 리치,
798,오치아이 마사유키,
799,최신규,유재운
800,도로타 코비엘라,휴 웰치맨
801,캘런 브런커,
802,캐리 주스넌,요르겐 레르담
803,프랭키 첸,
804,마이클 패트릭 킹,
805,이도윤,
806,더그 라이만,
807,데이빗 보워스,
808,조나단 리브스만,
809,조쉬 트랭크,
810,실베스터 스탤론,
811,정우철,
812,호거 태프,
813,시즈노 코분,
814,타치카와 유즈루,
815,야마모토 야스이치로,
816,윌 글럭,
817,고어 버빈스키,
818,문제용,
819,이안,
820,이해준,
821,롭 민코프,
822,자움 콜렛 세라,
823,조쉬 트랭크,
824,김봉한,
825,김성제,
826,조셉 코신스키,
827,이원태,
828,박찬욱,
829,후메이,
830,피에르 모렐,
831,조지 놀피,
832,알렉세이 트시칠린,
833,유야마 쿠니히코,
834,샘 테일러-존슨,
835,토드 윌리엄스,서동욱
836,캐서린 하드윅,
837,팀 존슨,
838,존 리 행콕,
839,유야마 쿠니히코,
840,마이클 도허티,
841,댄 트라첸버그,
842,이해영,
843,저스틴 커젤,
844,롭 라이너,
845,김휘,정식
846,정용기,
847,우디 알렌,
848,이주영,
849,스파이크 존즈,
850,샘 레이미,
851,이용승,
852,신동엽,
853,시기노 아키라,
854,티무르 베크맘베토브,
855,클린트 이스트우드,
856,,
857,롭 마샬,
858,장진,
859,김진영,
860,김태균,
861,박준수,
862,호소다 마모루,
863,정익환,
864,정지영,
865,발타자르 코루마쿠르,
866,마이크 플래너건,
867,민규동,홍지영
868,타카하시 시게하루,
869,로버트 루게틱,
870,크리스토퍼 스펜서,
871,브래드 퍼맨,
872,케네스 브래너,
873,폴 티비트,
874,드니 빌뇌브,
875,하기호,
876,유야마 쿠니히코,
877,니콜라스 스톨러,더그 스윗랜드
878,알렉상드르 헤보얀,베노이트 필립폰
879,오우삼,
880,이종필,
881,민규동,
882,박범수,
883,크리스토프 갱스,
884,토드 헤인즈,
885,성룡,
886,허인무,
887,로버츠 개너웨이,
888,라나 워쇼스키,릴리 워쇼스키
889,남대중,
890,잭 스나이더,
891,김성호,
892,폴 킹,
893,유야마 쿠니히코,
894,스튜어트 베티,
895,윌 핀,댄 세인트 피에르
896,허진호,
897,크리스 리노드,카일 발다
898,크리스티안 디터,
899,조 카나한,
900,자움 콜렛 세라,
901,정용주,
902,최윤석,존 카프카
903,로베르트 슈벤트케,
904,마이크 플래너건,
905,제임스 마쉬,
906,세스 맥팔레인,
907,딘 이스라엘리트,
908,브래드 버드,
909,스티븐 스필버그,
910,권형진,
911,스티븐 쿼일,
912,안젤리나 졸리,
913,로버트 저메키스,
