로그 전국스크린수,로그 전국매출액,로그 전국관객수,로그 서울매출액,로그 서울관객수,로그 수정전국매출액,로그 개봉일관객수,로그 개봉일매출액,로그 개봉일매출비율,로그 배우가중치,로그 감독가중치,장르_애니메이션
7.010311867307229,41.6446770125057,14.18358666098386,21.871901370497195,12.773755804543356,4.803315524600972,11.156493348689333,20.17491110711942,3.3357695763397,-0.5978370007556204,-2.995732273553991,0
6.2766434893416445,40.13431482683424,12.795402563448988,20.291965388495647,11.331151758079107,3.2929533389295083,8.79966169681513,17.668895467126887,0.5877866649021191,-1.7917594692280554,-3.4011973816621563,1
6.028278520230698,40.290250652959166,12.969540815238236,20.423422110467587,11.477567681089132,3.4488891650544384,10.832753737932672,19.66673123408816,2.862200880929469,-1.3217558399823195,-3.4011973816621563,0
7.201916317531627,43.55400574685892,16.14510781520998,23.961957998820736,14.940127118946112,6.71264425895419,12.33281542255803,21.303319176621244,4.213607983048918,2.772588722239781,1.0986122886681098,0
7.3031700512368,43.16667176076498,15.743876852488675,23.46055384003723,14.419784447429633,6.325310272860254,12.644463051155189,21.580612990758,4.223909766576744,0.8329091229351039,-1.6094379124341005,0
5.75890177387728,40.92954150496868,13.600146666468888,21.705432694965555,12.74868468564941,4.088180017063947,10.16627480445489,19.022340179885468,2.734367509419584,-1.203972804325936,-2.302585092994045,0
6.882437470997847,41.87947723989624,14.405579061934764,21.92595788996041,12.836482348765676,5.038115751991509,11.483671716195143,20.52157050672531,3.086486636822455,0.0,-1.6094379124341005,0
5.802118375377063,40.26076537013548,12.71343226965299,20.792663391338188,11.582824592349896,3.419403882230749,10.153467757803895,19.21445078518486,2.0014800002101243,-0.916290731874155,-3.4011973816621563,0
7.669495251007694,43.37806339124003,15.897474914668482,23.641853122047003,14.533933595628584,6.536701903335302,13.421612789477328,22.449338620370263,4.3694478524670215,0.4054651081081644,-1.6094379124341005,0
6.042632833682381,40.99385042219463,13.73766576643578,21.309441204405758,12.406655609871336,4.152488934289897,8.742254901886351,17.49775555264204,0.262364264467491,-1.7917594692280554,-2.014903020542265,1
6.597145701886651,42.25860827720074,14.927331559557889,22.653469206400526,13.694132442746568,5.417246789296013,11.650728969117424,20.522615530165297,3.505557396986398,-0.2876820724517809,-2.302585092994045,0
5.857933154483459,40.35701103068139,13.170989718631706,20.303761386862178,11.491150093092388,3.515649542776663,9.510963348560765,18.28499846840815,0.6931471805599453,-1.7917594692280554,-1.6094379124341005,1
6.2766434893416445,40.39712747633623,12.966899502380231,20.67798913284122,11.626727252632376,3.5557659884314963,10.331757313297556,19.001965931086723,1.6486586255873816,-2.302585092994045,-2.708050201102211,0
7.502186486602924,43.49102916288848,16.08754283084466,23.630304901696903,14.612831700505575,6.64966767498375,13.17434843247028,22.09806154117477,4.429625613473161,1.252762968495368,-2.302585092994045,0
6.003887067106539,42.234637435999126,14.93671373996219,22.41908839668278,13.4856069009117,5.393275948094392,11.482765181875337,20.330828250971283,3.1780538303479458,-0.5978370007556204,-2.995732273553991,0
5.749392985908253,40.25560539236606,12.968969744278224,20.74591636590256,11.81915202064558,3.414243904461327,9.568853625188556,18.46256137791609,2.1162555148025524,-1.0986122886681098,-2.708050201102211,1
5.634789603169249,40.03141770556341,12.70407439376525,20.63384756570934,11.67475515699842,3.190056217658679,10.175573637363351,19.061686902484144,2.517696472610991,-2.302585092994045,-3.4011973816621563,0
6.432940092739179,40.75561430545301,13.423898057902234,20.778862309368492,11.821431701595207,3.914252817548276,10.292145542327912,19.086129335999864,1.824549292051046,-1.7917594692280554,-2.302585092994045,1
6.331501849893691,41.50296702878308,14.18370568899572,22.287029929392503,13.345553327642092,4.661605540878355,11.44406829856064,20.292440612266653,3.2733640101522705,-1.0498221244986778,-2.995732273553991,0
6.3080984415095305,41.26275005172199,13.920341633493406,21.657133190992894,12.687105849768226,4.421388563817254,11.580490651132653,20.447885124890284,3.5496173867804286,-0.5108256237659907,-2.995732273553991,0
7.081708586105575,43.33368391799898,16.02757842657021,23.6839499879704,14.7561988345103,6.492322430094252,12.83081249742522,21.637983331932137,4.35799005684564,0.9932517730102834,-1.6094379124341005,0
6.858565034791365,41.88569480518837,14.52185724054467,22.28650616556841,13.29924516544792,5.044333317283642,12.086049602930444,20.973707929297387,4.09933210373314,-0.4307829160924542,-2.302585092994045,0
6.546785410760524,41.33524730346948,13.920092170355694,21.607615938797952,12.57499824284739,4.493885815564747,11.33385860589677,20.267603990907585,3.190476350346503,-0.3566749439387324,-1.6094379124341005,0
5.993961427306569,40.15560185473597,12.867540802767534,20.70495470681514,11.809906666190107,3.3142403668312403,10.662001036527323,19.47870885704128,2.272125885509337,-0.6286086594223742,-2.708050201102211,0
6.994849985833071,42.17396107160116,14.759996444288204,22.132647183058005,13.105278254346516,5.332599583696423,12.239052772824763,21.258491562232894,2.815408719422709,0.4382549309311553,-2.995732273553991,0
6.293419278846481,41.28804250458218,13.998692577787049,21.568039329510817,12.65716418833049,4.446681016677449,11.29182981527332,20.119095184534427,3.05870707271538,-1.0498221244986778,-2.995732273553991,0
6.467698726104354,41.04930560648305,13.609743900113752,21.52572001056793,12.445184029725922,4.207944118578324,10.176259012252157,19.241730693614127,2.6878474937846906,-1.0986122886681098,-2.302585092994045,1
6.863803391452954,41.00655161762326,13.548889144684043,21.054185584850387,11.980106364059043,4.165190129718529,11.061311700836084,20.03792986927413,3.349904087274605,-0.5108256237659907,-3.4011973816621563,0
