,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
34,미션임파서블:고스트프로토콜,2011-12-15,0.0,1038,57795846000,7575899,18719283500.0,2347164,액션,1,1,2011,22.7,0.0,1.0,1,264719.0,1924102500.0,65.3,0,20112207
35,밀정,2016-09-07,1.0,1444,61158644831,7487545,15436298021.0,1827424,액션,1,1,2016,24.0,1.0,0.0,1,287228.0,2131489500.0,74.5,1,20159646
36,최종병기 활,2011-08-10,1.0,615,55808856500,7466976,16139541000.0,2059847,사극,1,1,2011,22.7,0.0,1.0,1,140127.0,1005479000.0,30.2,1,20110302
37,써니,2011-05-04,1.0,472,53773170600,7328820,15401904600.0,2004824,드라마,1,1,2011,22.7,0.0,1.0,1,55417.0,398190000.0,18.4,1,20110193
38,스파이더맨: 홈 커밍,2017-07-05,0.0,1965,59120173820,7257973,16753103620.0,1969107,액션,2,1,2017,26.3,1.0,0.0,1,545302.0,4247740050.0,84.8,0,20167303
39,1987,2017-12-27,1.0,1299,58165581145,7231638,14638920495.0,1776877,드라마,1,1,2017,26.3,0.0,1.0,1,331736.0,1973650400.0,32.3,0,20170590
40,베를린,2013-01-30,1.0,894,52354931637,7166199,16070379637.0,2118794,액션,1,1,2013,21.4,0.0,1.0,1,273647.0,1914008000.0,42.8,1,20124083
41,마스터,2016-12-21,1.0,1501,58067927865,7150541,14520299965.0,1731940,액션,1,1,2016,24.0,0.0,1.0,1,392856.0,2944795900.0,66.1,1,20161725
42,터널,2016-08-10,1.0,1105,57510324417,7118592,14121558017.0,1675010,드라마,2,1,2016,24.0,0.0,1.0,1,379079.0,2833570300.0,39.3,0,20154910
43,어벤져스,2012-04-26,0.0,967,59557853478,7074867,19280107897.0,2147619,액션,2,1,2012,20.3,1.0,0.0,1,214105.0,1869885500.0,57.9,1,20124721
44,내부자들,2015-11-19,1.0,1075,56596582057,7071763,16340245357.0,1972885,범죄,0,1,2015,19.9,0.0,1.0,1,230949.0,1756744300.0,53.0,1,20149314
45,인천상륙작전,2016-07-27,1.0,1049,55101410303,7049643,11459996563.0,1427944,전쟁,2,1,2016,24.0,0.0,1.0,1,464460.0,2922521800.0,33.7,0,20156250
46,럭키,2016-10-13,1.0,1158,56361435256,6965706,13812629836.0,1640015,코미디,1,1,2016,24.0,0.0,1.0,1,214065.0,1595475900.0,61.0,0,20153444
47,은밀하게 위대하게,2013-06-05,1.0,1341,48663939413,6953800,12415574413.0,1691014,액션,1,1,2013,21.4,0.0,1.0,1,498158.0,3323467500.0,68.8,1,20126672
48,곡성,2016-05-12,1.0,1485,55853108382,6878264,15445041342.0,1829923,미스터리,1,1,2016,24.0,1.0,0.0,1,310042.0,2356899900.0,68.3,0,20140194
49,범죄도시,2017-10-03,1.0,1315,56077813249,6851297,14046905449.0,1670254,범죄,0,1,2017,26.3,0.0,0.0,0,164399.0,1377207900.0,14.7,0,20172742
50,늑대소년,2012-10-31,1.0,706,46593107500,6654837,12336313500.0,1677173,멜로/로맨스,1,1,2012,20.3,0.0,1.0,1,128787.0,877499000.0,37.4,0,20124054
51,군함도,2017-07-26,1.0,2027,50510565168,6592151,11091878868.0,1398649,액션,1,1,2017,26.3,0.0,1.0,1,972161.0,6109565800.0,71.4,0,20161481
52,미션 임파서블: 폴아웃,2018-07-25,0.0,1957,55888375112,6584915,14891043562.0,1686255,액션,1,1,2018,26.8,0.0,1.0,1,601935.0,3905685200.0,57.4,1,20181181
53,다크 나이트 라이즈,2012-07-19,0.0,1210,47644838000,6396528,16258149500.0,2057529,액션,1,1,2012,20.3,1.0,0.0,1,441089.0,3145772500.0,71.5,0,20112703
54,백두산,2019-12-19,1.0,1971,52905789770,6290502,11465394430.0,1318183,어드벤처,2,1,2019,29.0,0.0,1.0,1,450171.0,3549081870.0,63.3,0,20192206
55,아저씨,2010-08-04,1.0,478,47870792359,6282774,14820865000.0,1863328,액션,0,1,2010,21.6,0.0,1.0,1,130766.0,968439500.0,20.6,1,20100214
56,사도,2015-09-16,1.0,1210,48842902501,6246849,12987928301.0,1606486,사극,2,1,2015,19.9,0.0,1.0,1,250237.0,1876614700.0,56.9,0,20148846
57,미션 임파서블: 로그네이션,2015-07-30,0.0,1202,48547353607,6126488,13751315607.0,1669524,액션,1,1,2015,19.9,0.0,1.0,1,471801.0,3606583800.0,43.0,1,20157881
58,킹스맨 : 시크릿 에이전트,2015-02-11,0.0,706,50333635795,6125154,16707645195.0,1968882,액션,0,1,2015,19.9,1.0,0.0,1,78058.0,605036200.0,24.3,0,20140110
59,연평해전,2015-06-24,1.0,1013,45560620330,6043458,9906059630.0,1265879,드라마,2,1,2015,19.9,0.0,1.0,1,153400.0,1011947000.0,31.5,0,20134798
60,인셉션,2010-07-21,0.0,528,44106546302,5926948,15810485000.0,2026998,드라마,2,1,2010,21.6,1.0,0.0,1,149246.0,1105372500.0,38.6,0,20100312
61,레미제라블,2012-12-19,0.0,696,43044999000,5911890,16482217500.0,2190090,드라마,2,1,2012,20.3,1.0,0.0,1,283842.0,2077372000.0,24.4,0,20128274
62,캡틴 마블,2019-03-06,0.0,2100,51491272223,5801069,15433909683.0,1650932,액션,2,1,2019,29.0,1.0,0.0,1,461134.0,3957930530.0,85.6,0,20181877
63,쥬라기 월드: 폴른 킹덤,2018-06-06,0.0,1972,49770711037,5661128,12526470537.0,1342621,액션,2,1,2018,26.8,1.0,0.0,1,1183496.0,10312367000.0,74.5,0,20179086
64,청년경찰,2017-08-09,1.0,1102,44241099316,5636259,9885607016.0,1207318,액션,1,1,2017,26.3,0.0,1.0,1,308298.0,2252747600.0,34.2,0,20162442
65,숨바꼭질,2013-08-14,1.0,779,39593038500,5602543,10079982000.0,1356936,스릴러,1,1,2013,21.4,0.0,1.0,1,293917.0,1973544000.0,28.7,0,20136049
66,덕혜옹주,2016-08-03,1.0,964,44344141109,5593551,10625578869.0,1304324,사극,2,1,2016,24.0,0.0,1.0,1,267112.0,1980965300.0,16.7,0,20150979
67,더 테러 라이브,2013-07-31,1.0,743,39866712881,5583596,11349884881.0,1525130,범죄,1,1,2013,21.4,0.0,1.0,1,215832.0,1475326500.0,22.9,0,20136052
68,쥬라기 월드,2015-06-11,0.0,1290,47800698826,5546792,13625824326.0,1502391,액션,2,1,2015,19.9,1.0,0.0,1,274719.0,2363615600.0,74.1,1,20098169
69,의형제,2010-02-04,1.0,572,40800867602,5507106,12204373500.0,1563042,드라마,1,1,2010,21.6,0.0,1.0,1,127542.0,909000000.0,38.2,1,20090904
70,감시자들,2013-07-03,1.0,949,39298005179,5496547,11031549179.0,1477594,범죄,1,1,2013,21.4,0.0,1.0,1,210052.0,1441844500.0,48.4,1,20122783
71,앤트맨과 와스프,2018-07-04,0.0,1775,47465443185,5447826,13821594585.0,1503229,액션,2,1,2018,26.8,1.0,0.0,1,404151.0,3423533400.0,71.3,1,20180522
72,닥터 스트레인지,2016-10-26,0.0,1503,47482530396,5446379,15365072146.0,1657823,액션,2,1,2016,24.0,1.0,0.0,1,435068.0,2859676100.0,63.9,0,20163181
73,검은 사제들,2015-11-05,1.0,1088,42395347092,5440945,11618059792.0,1428491,미스터리,1,1,2015,19.9,0.0,1.0,1,191090.0,1454751000.0,59.8,1,20145503
74,안시성,2018-09-19,1.0,1540,46335334026,5440186,10028662426.0,1146191,사극,2,1,2018,26.8,0.0,1.0,1,122859.0,977031400.0,27.7,0,20176122
75,블랙 팬서,2018-02-14,0.0,1620,45883143457,5398994,13105688057.0,1468761,액션,2,1,2018,26.8,1.0,0.0,1,630461.0,5055433500.0,65.0,1,20170561
