영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,로그 전국스크린수,로그 전국매출액,로그 전국관객수,로그 서울매출액,로그 서울관객수,로그 수정전국매출액,로그 개봉일관객수,로그 개봉일매출액,로그 개봉일매출비율,로그 배우가중치,로그 감독가중치,타겟
스파이더맨: 홈 커밍,2017-07-05,0.0,액션,2,1.0,0.0,1,7.583247524303362,43.22351879765619,15.797611146715166,23.541849368799546,14.493090698450512,6.382157309751456,13.209095048613277,22.169652925510825,4.440295542797857,0.1823215567939546,-1.6094379124341003,0
1987,2017-12-27,1.0,드라마,1,0.0,1.0,1,7.1693500166706,43.2072403714354,15.793976124491605,23.406949606080566,14.390367886958348,6.365878883530665,12.712094750851842,21.403150659942938,3.475067230228611,1.1314021114911006,-1.6094379124341003,1
베를린,2013-01-30,1.0,액션,1,0.0,1.0,1,6.795705775173514,43.101992718878584,15.784885946486575,23.500243640374475,14.56635761685692,6.260631230973856,12.519594233603145,21.372465309696757,3.756538102587751,1.0986122886681098,-0.916290731874155,1
마스터,2016-12-21,1.0,액션,1,0.0,1.0,1,7.313886831633462,43.20556007624672,15.782698576143453,23.39881350487623,14.364752725472137,6.364198588341991,12.881198411492301,21.80330534774341,4.191168746857641,0.9555114450274363,-1.6094379124341003,1
터널,2016-08-10,1.0,드라마,2,0.0,1.0,1,7.007600613951853,43.19591106766226,15.778220511023505,23.37096840407168,14.331329693372735,6.354549579757528,12.845499905615052,21.764803343571455,3.6712245188752153,1.0647107369924282,-0.916290731874155,0
어벤져스,2012-04-26,0.0,액션,2,1.0,0.0,1,6.874198495453294,43.23089474840765,15.772059202730308,23.68233972243058,14.579870344576534,6.389533260502922,12.274221827878181,21.34914303599175,4.05871738457895,0.9555114450274363,-1.6094379124341003,0
내부자들,2015-11-19,1.0,범죄,0,0.0,1.0,1,6.980075940561763,43.17989517659899,15.771620370294624,23.516896941993807,14.495007496433225,6.338533688694261,12.349952185907831,21.286728103403455,3.970291913552122,0.7884573603642703,-0.6931471805599453,1
인천상륙작전,2016-07-27,1.0,기타,2,0.0,1.0,1,6.955592608396297,43.15312189206584,15.768487535208417,23.16212824832022,14.171746205426437,6.311760404161113,13.048630719426814,21.795712710649656,3.517497837358316,0.26236426446749106,-1.6094379124341003,0
럭키,2016-10-13,1.0,코미디,1,0.0,1.0,1,7.05444965813294,43.17573173346732,15.756509524021734,23.348849216071606,14.310215946100017,6.33437024556259,12.2740349862026,21.190437898585728,4.110873864173311,0.4054651081081644,-1.6094379124341003,0
은밀하게 위대하게,2013-06-05,1.0,액션,1,0.0,1.0,1,7.201170883281678,43.02888487290983,15.754798830710701,23.242217522496315,14.340838906971223,6.1875233850050995,13.118672574763904,21.924274502550496,4.231203744939298,-0.916290731874155,-2.3025850929940455,0
곡성,2016-05-12,1.0,기타,1,1.0,0.0,1,7.3031700512368,43.166671760764984,15.743876852488675,23.46055384003723,14.419784447429631,6.325310272860254,12.644463051155187,21.580612990758002,4.223909766576744,0.8329091229351039,-1.6094379124341003,0
늑대소년,2012-10-31,1.0,멜로/로맨스,1,0.0,1.0,1,6.559615237493242,42.98539920336563,15.710854516648885,23.235813066868594,14.332620195890163,6.144037715460898,11.765915155881427,20.592586373702506,3.6216707044204863,0.4054651081081644,-1.2039728043259361,0
군함도,2017-07-26,1.0,액션,1,0.0,1.0,1,7.614312146452,43.06612910654599,15.701390256862492,23.129479043976772,14.151017328673227,6.2247676186412635,13.787276707586223,22.533121543774975,4.268297869345539,0.5877866649021191,-0.916290731874155,0
미션 임파서블: 폴아웃,2018-07-25,0.0,액션,1,0.0,1.0,1,7.579167967396076,43.167302980793,15.700291984951683,23.424025765941376,14.338020651659084,6.325941492888274,13.307904745039481,22.085699072195016,4.050044303325521,0.26236426446749106,-1.2039728043259361,1
다크 나이트 라이즈,2012-07-19,0.0,액션,1,1.0,0.0,1,7.098375638590786,43.007720873546226,15.671265901123533,23.51186012770151,14.537016306209244,6.166359385641496,12.997001948126222,21.869325324918123,4.269697449699962,0.5306282510621704,-0.916290731874155,0
백두산,2019-12-19,1.0,기타,2,0.0,1.0,1,7.58629630715272,43.11245936122211,15.654551434713023,23.16259915563006,14.091764831143754,6.2710978733173794,13.017382789564788,21.98995477881469,4.147885329150131,1.4816045409242156,-2.3025850929940455,0
아저씨,2010-08-04,1.0,액션,0,0.0,1.0,1,6.169610732491456,43.01245213647454,15.653322160660156,23.419301822182586,14.437874694205052,6.171090648569811,11.78116474537736,20.691196571126525,3.0252910757955354,-0.2231435513142097,-1.6094379124341003,1
사도,2015-09-16,1.0,기타,2,0.0,1.0,1,7.098375638590786,43.032555657142865,15.6475877345812,23.287286170768322,14.289559742903128,6.191194169238134,12.430163747776172,21.352735299105113,4.041295341132285,0.6418538861723947,-0.35667494393873245,0
미션 임파서블: 로그네이션,2015-07-30,0.0,액션,1,0.0,1.0,1,7.091742115095153,43.02648626554078,15.628132223665729,23.344400336990994,14.328049113824065,6.185124777636051,13.064312565495644,22.00602684546226,3.7612001156935624,0.5306282510621704,-1.2039728043259361,1
킹스맨 : 시크릿 에이전트,2015-02-11,0.0,액션,0,1.0,0.0,1,6.559615237493242,43.06262013819972,15.627914456936132,23.539132247720236,14.492976426927537,6.221258650294991,11.265207419089439,20.220798848915834,3.190476350346503,0.5877866649021191,-1.2039728043259361,1
연평해전,2015-06-24,1.0,드라마,2,0.0,1.0,1,6.920671504248683,42.96299033505671,15.614486922642211,23.01641249067843,14.05127730049925,6.121628847151976,11.940804167915292,20.735142034898747,3.449987545831587,0.1823215567939546,-2.3025850929940455,1
인셉션,2010-07-21,0.0,드라마,2,1.0,0.0,1,6.269096283706261,42.930554794557345,15.595019967321669,23.483939164484113,14.522066438753829,6.089193306652612,11.913351230225688,20.823448219181714,3.653252276470785,0.0,-0.916290731874155,1
레미제라블,2012-12-19,0.0,드라마,2,1.0,0.0,1,6.54534966033442,42.906192637777195,15.592476135212449,23.525547909414584,14.599453196838681,6.064831149872462,12.556173024301751,21.454369470280707,3.1945831322991562,0.7419373447293773,-1.2039728043259361,0
캡틴 마블,2019-03-06,0.0,액션,2,1.0,0.0,1,7.649692623711514,43.08535890280851,15.573552768878411,23.459832853144047,14.316850534894753,6.243997414903778,13.041443952192926,22.098987132178916,4.449685283147696,0.4054651081081644,-2.3025850929940455,0
