,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2010-08-04,411,0.139,2325,0.18,493976,0.213,0.265,968439500,967927500 ( 189048.3% ),130766,130702 ( 204221.9% ),1003596500,135451,3,056_아저씨.xlsx
1,2010-08-05,451,0.148,2406,0.183,505823,0.214,0.276,1032998000,64558500 ( 6.7% ),139414,8648 ( 6.6% ),2036594500,274865,1,056_아저씨.xlsx
2,2010-08-06,452,0.147,2472,0.184,522270,0.216,0.32,1301871000,268873000 ( 26.0% ),167194,27780 ( 19.9% ),3338465500,442059,1,056_아저씨.xlsx
3,2010-08-07,467,0.146,2504,0.182,510426,0.206,0.542,2146528000,844657000 ( 64.9% ),276706,109512 ( 65.5% ),5484993500,718765,1,056_아저씨.xlsx
4,2010-08-08,464,0.147,2451,0.183,499987,0.208,0.531,2070413500,-76114500 ( -3.5% ),265400,-11306 ( -4.1% ),7555407000,984165,1,056_아저씨.xlsx
5,2010-08-09,451,0.148,2385,0.185,483809,0.208,0.319,1148752000,-921661500 ( -44.5% ),154157,-111243 ( -41.9% ),8704159000,1138322,1,056_아저씨.xlsx
6,2010-08-10,451,0.147,2369,0.184,480972,0.208,0.322,1153852500,5100500 ( 0.4% ),155019,862 ( 0.6% ),9858011500,1293341,1,056_아저씨.xlsx
7,2010-08-11,457,0.154,2438,0.191,512789,0.223,0.326,1242031000,88178500 ( 7.6% ),167146,12127 ( 7.8% ),11100042500,1460487,1,056_아저씨.xlsx
8,2010-08-12,421,0.137,2127,0.17,430162,0.192,0.329,1042886000,-199145000 ( -16.0% ),141319,-25827 ( -15.5% ),12142928500,1601806,1,056_아저씨.xlsx
9,2010-08-13,435,0.139,2205,0.173,446109,0.195,0.381,1325869000,282983000 ( 27.1% ),170029,28710 ( 20.3% ),13468797500,1771835,1,056_아저씨.xlsx
10,2010-08-14,495,0.15,2409,0.182,499949,0.212,0.606,2359080000,1033211000 ( 77.9% ),303132,133103 ( 78.3% ),15827877500,2074967,1,056_아저씨.xlsx
11,2010-08-15,501,0.153,2375,0.185,495004,0.215,0.583,2258129000,-100951000 ( -4.3% ),288691,-14441 ( -4.8% ),18086006500,2363658,1,056_아저씨.xlsx
12,2010-08-16,462,0.148,2241,0.183,474554,0.216,0.3,1059540000,-1198589000 ( -53.1% ),142587,-146104 ( -50.6% ),19145546500,2506245,1,056_아저씨.xlsx
13,2010-08-17,464,0.148,2251,0.183,478407,0.217,0.282,1000536500,-59003500 ( -5.6% ),134884,-7703 ( -5.4% ),20146083000,2641129,1,056_아저씨.xlsx
14,2010-08-18,475,0.152,2266,0.185,485303,0.221,0.259,928291000,-72245500 ( -7.2% ),125856,-9028 ( -6.7% ),21074374000,2766985,1,056_아저씨.xlsx
15,2010-08-19,436,0.141,2231,0.174,489169,0.212,0.239,861839000,-66452000 ( -7.2% ),116860,-8996 ( -7.1% ),21936213000,2883845,2,056_아저씨.xlsx
16,2010-08-20,428,0.139,2330,0.177,511817,0.216,0.271,1081536000,219697000 ( 25.5% ),138739,21879 ( 18.7% ),23017749000,3022584,1,056_아저씨.xlsx
17,2010-08-21,462,0.142,2416,0.176,518651,0.21,0.506,2053989000,972453000 ( 89.9% ),262413,123674 ( 89.1% ),25071738000,3284997,2,056_아저씨.xlsx
18,2010-08-22,448,0.141,2338,0.176,503528,0.211,0.489,1928130500,-125858500 ( -6.1% ),246055,-16358 ( -6.2% ),26999868500,3531052,2,056_아저씨.xlsx
