,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2012-04-25,653,0.174,1457,0.131,312058,0.159,0.252,739035000,737651000 ( 53298.5% ),78519,78346 ( 45286.7% ),755131000,79954,1,044_어벤져스.xlsx
1,2012-04-26,846,0.278,3853,0.345,835501,0.425,0.256,1869885500,1130850500 ( 153.0% ),214105,135586 ( 172.7% ),2625016500,294059,1,044_어벤져스.xlsx
2,2012-04-27,862,0.289,4112,0.355,893416,0.439,0.306,2458885500,589000000 ( 31.5% ),273544,59439 ( 27.8% ),5083902000,567603,1,044_어벤져스.xlsx
3,2012-04-28,963,0.303,4744,0.384,1007969,0.467,0.55,4964418500,2505533000 ( 101.9% ),554479,280935 ( 102.7% ),10048320500,1122082,1,044_어벤져스.xlsx
4,2012-04-29,967,0.308,4648,0.389,983200,0.471,0.526,4591715500,-372703000 ( -7.5% ),517247,-37232 ( -6.7% ),14640036000,1639329,1,044_어벤져스.xlsx
5,2012-04-30,885,0.295,4247,0.372,917104,0.458,0.25,1994036500,-2597679000 ( -56.6% ),229617,-287630 ( -55.6% ),16634072500,1868946,1,044_어벤져스.xlsx
6,2012-05-01,946,0.308,4509,0.386,961666,0.472,0.388,3248787500,1254751000 ( 62.9% ),373004,143387 ( 62.4% ),19882860000,2241950,1,044_어벤져스.xlsx
7,2012-05-02,884,0.296,4077,0.37,887024,0.457,0.195,1463951500,-1784836000 ( -54.9% ),172731,-200273 ( -53.7% ),21346811500,2414681,1,044_어벤져스.xlsx
8,2012-05-03,754,0.255,3453,0.305,745688,0.373,0.216,1348764000,-115187500 ( -7.9% ),161353,-11378 ( -6.6% ),22695575500,2576034,1,044_어벤져스.xlsx
9,2012-05-04,778,0.254,3655,0.304,783907,0.372,0.366,2410345500,1061581500 ( 78.7% ),286669,125316 ( 77.7% ),25105921000,2862703,1,044_어벤져스.xlsx
10,2012-05-05,921,0.259,4098,0.308,859913,0.37,0.767,5555760500,3145415000 ( 130.5% ),659320,372651 ( 130.0% ),30661681500,3522023,1,044_어벤져스.xlsx
11,2012-05-06,916,0.26,4044,0.318,860069,0.387,0.566,4107744500,-1448016000 ( -26.1% ),487146,-172174 ( -26.1% ),34769426000,4009169,1,044_어벤져스.xlsx
12,2012-05-07,751,0.257,3533,0.313,770950,0.387,0.171,1094644500,-3013100000 ( -73.4% ),131681,-355465 ( -73.0% ),35864070500,4140850,1,044_어벤져스.xlsx
13,2012-05-08,759,0.259,3494,0.316,765400,0.391,0.142,915961000,-178683500 ( -16.3% ),108871,-22810 ( -17.3% ),36780031500,4249721,1,044_어벤져스.xlsx
14,2012-05-09,756,0.257,3483,0.314,764322,0.39,0.145,929254500,13293500 ( 1.5% ),111123,2252 ( 2.1% ),37709286000,4360844,1,044_어벤져스.xlsx
15,2012-05-10,659,0.22,2970,0.264,667070,0.334,0.15,815596500,-113658000 ( -12.2% ),99761,-11362 ( -10.2% ),38524882500,4460605,1,044_어벤져스.xlsx
16,2012-05-11,679,0.222,3154,0.266,704232,0.337,0.232,1365586000,549989500 ( 67.4% ),163291,63530 ( 63.7% ),39890468500,4623896,1,044_어벤져스.xlsx
17,2012-05-12,736,0.204,3533,0.275,775274,0.346,0.562,3624430000,2258844000 ( 165.4% ),435438,272147 ( 166.7% ),43514898500,5059334,1,044_어벤져스.xlsx
18,2012-05-13,734,0.203,3414,0.277,749191,0.348,0.532,3278127500,-346302500 ( -9.6% ),398260,-37178 ( -8.5% ),46793026000,5457594,1,044_어벤져스.xlsx
19,2012-05-14,664,0.225,3057,0.269,683979,0.341,0.134,755142000,-2522985500 ( -77.0% ),91973,-306287 ( -76.9% ),47548168000,5549567,1,044_어벤져스.xlsx
20,2012-05-15,672,0.219,3032,0.267,675326,0.336,0.159,849196500,94054500 ( 12.5% ),107046,15073 ( 16.4% ),48397364500,5656613,1,044_어벤져스.xlsx
21,2012-05-16,671,0.223,3004,0.271,669737,0.341,0.109,596346000,-252850500 ( -29.8% ),73094,-33952 ( -31.7% ),48993710500,5729707,1,044_어벤져스.xlsx
22,2012-05-17,486,0.157,2099,0.175,468391,0.221,0.122,457618500,-138727500 ( -23.3% ),57355,-15739 ( -21.5% ),49451329000,5787062,3,044_어벤져스.xlsx
23,2012-05-18,504,0.158,2207,0.177,490711,0.224,0.178,715603000,257984500 ( 56.4% ),87293,29938 ( 52.2% ),50166932000,5874355,3,044_어벤져스.xlsx
24,2012-05-19,573,0.162,2541,0.192,559900,0.241,0.451,2053608500,1338005500 ( 187.0% ),252465,165172 ( 189.2% ),52220540500,6126820,1,044_어벤져스.xlsx
25,2012-05-20,576,0.163,2456,0.193,539950,0.241,0.42,1817171000,-236437500 ( -11.5% ),226787,-25678 ( -10.2% ),54037711500,6353607,2,044_어벤져스.xlsx
26,2012-05-21,469,0.155,2032,0.175,448522,0.218,0.096,350321500,-1466849500 ( -80.7% ),43248,-183539 ( -80.9% ),54388033000,6396855,3,044_어벤져스.xlsx
27,2012-05-22,471,0.154,2006,0.174,443249,0.216,0.084,300342500,-49979000 ( -14.3% ),37343,-5905 ( -13.7% ),54688375500,6434198,3,044_어벤져스.xlsx
28,2012-05-23,479,0.156,2018,0.175,444142,0.216,0.083,294180000,-6162500 ( -2.1% ),36806,-537 ( -1.4% ),54982555500,6471004,3,044_어벤져스.xlsx
29,2012-05-24,337,0.114,1316,0.11,207629,0.096,0.103,162275500,-131904500 ( -44.8% ),21302,-15504 ( -42.1% ),55144831000,6492306,4,044_어벤져스.xlsx
30,2012-05-25,355,0.118,1403,0.112,220720,0.098,0.168,288519033,126243533 ( 77.8% ),37061,15759 ( 74.0% ),55433350033,6529367,4,044_어벤져스.xlsx
31,2012-05-26,364,0.105,1438,0.105,225520,0.093,0.455,777855532,489336499 ( 169.6% ),102698,65637 ( 177.1% ),56211205565,6632065,3,044_어벤져스.xlsx
32,2012-05-27,368,0.106,1433,0.105,224989,0.093,0.54,916404000,138548468 ( 17.8% ),121427,18729 ( 18.2% ),57127609565,6753492,3,044_어벤져스.xlsx
33,2012-05-28,369,0.108,1407,0.107,221750,0.094,0.544,882051500,-34352500 ( -3.7% ),120554,-873 ( -0.7% ),58009661065,6874046,3,044_어벤져스.xlsx
34,2012-05-29,336,0.113,1318,0.112,206376,0.097,0.09,137459500,-744592000 ( -84.4% ),18475,-102079 ( -84.7% ),58147120565,6892521,4,044_어벤져스.xlsx
35,2012-05-30,243,0.082,697,0.057,101088,0.046,0.1,78308000,-59151500 ( -43.0% ),10113,-8362 ( -45.3% ),58225428565,6902634,7,044_어벤져스.xlsx
36,2012-05-31,243,0.083,666,0.053,95770,0.043,0.107,80435000,2127000 ( 2.7% ),10284,171 ( 1.7% ),58305863565,6912918,7,044_어벤져스.xlsx
37,2012-06-01,246,0.083,709,0.054,103396,0.045,0.131,109685500,29250500 ( 36.4% ),13507,3223 ( 31.3% ),58415549065,6926425,7,044_어벤져스.xlsx
38,2012-06-02,282,0.084,828,0.059,126553,0.051,0.342,339862500,230177000 ( 209.9% ),43325,29818 ( 220.8% ),58755411565,6969750,6,044_어벤져스.xlsx
39,2012-06-03,281,0.083,782,0.058,119089,0.05,0.336,307904500,-31958000 ( -9.4% ),39973,-3352 ( -7.7% ),59063316065,7009723,6,044_어벤져스.xlsx
40,2012-06-04,237,0.084,677,0.055,100119,0.046,0.078,61568000,-246336500 ( -80.0% ),7812,-32161 ( -80.5% ),59124884065,7017535,7,044_어벤져스.xlsx
41,2012-06-05,217,0.06,511,0.04,74142,0.033,0.106,57610500,-3957500 ( -6.4% ),7835,23 ( 0.3% ),59182494565,7025370,8,044_어벤져스.xlsx
