,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2019-07-31,1323,0.202,6827,0.321,1187539,0.36,0.413,3172131090,3045291990 ( 2400.9% ),489996,472480 ( 2697.4% ),3474485190,529215,1,024_엑시트.xlsx
1,2019-08-01,1331,0.205,7129,0.332,1250424,0.376,0.313,3184867870,12736780 ( 0.4% ),391904,-98092 ( -20.0% ),6659353060,921119,1,024_엑시트.xlsx
2,2019-08-02,1466,0.219,7622,0.35,1342467,0.397,0.354,4202659000,1017791130 ( 32.0% ),474777,82873 ( 21.1% ),10862012060,1395896,1,024_엑시트.xlsx
3,2019-08-03,1585,0.233,8436,0.378,1510824,0.435,0.524,7014768985,2812109985 ( 66.9% ),791266,316489 ( 66.7% ),17876781045,2187162,1,024_엑시트.xlsx
4,2019-08-04,1660,0.242,8605,0.392,1539670,0.45,0.502,6839317120,-175451865 ( -2.5% ),773015,-18251 ( -2.3% ),24716098165,2960177,1,024_엑시트.xlsx
5,2019-08-05,1519,0.239,8425,0.4,1543184,0.468,0.27,3390090930,-3449226190 ( -50.4% ),417327,-355688 ( -46.0% ),28106189095,3377504,1,024_엑시트.xlsx
6,2019-08-06,1556,0.24,8491,0.405,1556601,0.475,0.237,2984648420,-405442510 ( -12.0% ),369415,-47912 ( -11.5% ),31090837515,3746919,1,024_엑시트.xlsx
7,2019-08-07,1315,0.193,6267,0.301,1056244,0.327,0.29,2470703740,-513944680 ( -17.2% ),306144,-63271 ( -17.1% ),33561541255,4053063,2,024_엑시트.xlsx
8,2019-08-08,1339,0.189,6439,0.309,1088041,0.337,0.255,2239913070,-230790670 ( -9.3% ),277731,-28413 ( -9.3% ),35801454325,4330794,1,024_엑시트.xlsx
9,2019-08-09,1367,0.19,6859,0.324,1165452,0.356,0.273,2811360574,571447504 ( 25.5% ),318642,40911 ( 14.7% ),38612814899,4649436,1,024_엑시트.xlsx
10,2019-08-10,1465,0.202,7541,0.351,1280954,0.385,0.466,5284685353,2473324779 ( 88.0% ),596628,277986 ( 87.2% ),43897500252,5246064,1,024_엑시트.xlsx
11,2019-08-11,1442,0.201,7423,0.352,1267088,0.388,0.42,4706292650,-578392703 ( -10.9% ),532463,-64165 ( -10.8% ),48603792902,5778527,2,024_엑시트.xlsx
12,2019-08-12,1336,0.199,7073,0.351,1217972,0.389,0.174,1718375900,-2987916750 ( -63.5% ),211799,-320664 ( -60.2% ),50322168802,5990326,2,024_엑시트.xlsx
13,2019-08-13,1365,0.197,7063,0.348,1209437,0.385,0.163,1578158420,-140217480 ( -8.2% ),196572,-15227 ( -7.2% ),51900327222,6186898,2,024_엑시트.xlsx
14,2019-08-14,1070,0.165,5071,0.25,778323,0.249,0.259,1623147660,44989240 ( 2.9% ),201354,4782 ( 2.4% ),53523474882,6388252,3,024_엑시트.xlsx
15,2019-08-15,1029,0.145,4772,0.227,746156,0.231,0.527,3401752680,1778605020 ( 109.6% ),392871,191517 ( 95.1% ),56925227562,6781123,3,024_엑시트.xlsx
