,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2013-06-20,802,0.249,4210,0.333,808680,0.38,0.296,1686274500,1681304500 ( 33829.1% ),239692,238982 ( 33659.4% ),1705086500,243040,1,082_월드 워 Z.xlsx
1,2013-06-21,831,0.252,4488,0.337,862248,0.386,0.328,2139496500,453222000 ( 26.9% ),283064,43372 ( 18.1% ),3844583000,526104,1,082_월드 워 Z.xlsx
2,2013-06-22,964,0.271,5270,0.371,1007579,0.424,0.523,4077465500,1937969000 ( 90.6% ),527193,244129 ( 86.2% ),7922048500,1053297,1,082_월드 워 Z.xlsx
3,2013-06-23,948,0.27,5117,0.374,987983,0.429,0.499,3804804000,-272661500 ( -6.7% ),493346,-33847 ( -6.4% ),11726852500,1546643,1,082_월드 워 Z.xlsx
4,2013-06-24,831,0.261,4472,0.355,883767,0.415,0.223,1367862000,-2436942000 ( -64.0% ),196770,-296576 ( -60.1% ),13094714500,1743413,1,082_월드 워 Z.xlsx
5,2013-06-25,836,0.256,4468,0.355,884980,0.416,0.202,1241673500,-126188500 ( -9.2% ),178454,-18316 ( -9.3% ),14336388000,1921867,1,082_월드 워 Z.xlsx
6,2013-06-26,852,0.259,4521,0.357,893973,0.419,0.208,1286138000,44464500 ( 3.6% ),186106,7652 ( 4.3% ),15622526000,2107973,1,082_월드 워 Z.xlsx
7,2013-06-27,691,0.22,3840,0.293,767489,0.345,0.195,1048360000,-237778000 ( -18.5% ),149700,-36406 ( -19.6% ),16670886000,2257673,1,082_월드 워 Z.xlsx
8,2013-06-28,725,0.223,4084,0.3,813396,0.353,0.241,1466143500,417783500 ( 39.9% ),195625,45925 ( 30.7% ),18137029500,2453298,1,082_월드 워 Z.xlsx
9,2013-06-29,816,0.229,4609,0.317,915216,0.374,0.421,2995217500,1529074000 ( 104.3% ),385251,189626 ( 96.9% ),21132247000,2838549,1,082_월드 워 Z.xlsx
10,2013-06-30,817,0.234,4443,0.32,884160,0.377,0.396,2708317500,-286900000 ( -9.6% ),350345,-34906 ( -9.1% ),23840564500,3188894,1,082_월드 워 Z.xlsx
11,2013-07-01,728,0.233,4042,0.313,819542,0.373,0.162,957083000,-1751234500 ( -64.7% ),133045,-217300 ( -62.0% ),24797647500,3321939,1,082_월드 워 Z.xlsx
12,2013-07-02,731,0.229,4028,0.31,817899,0.37,0.151,889196000,-67887000 ( -7.1% ),123822,-9223 ( -6.9% ),25686843500,3445761,1,082_월드 워 Z.xlsx
13,2013-07-03,574,0.187,3191,0.243,558125,0.252,0.194,765378000,-123818000 ( -13.9% ),108231,-15591 ( -12.6% ),26452221500,3553992,2,082_월드 워 Z.xlsx
14,2013-07-04,513,0.156,2751,0.211,467415,0.212,0.199,658050000,-107328000 ( -14.0% ),93169,-15062 ( -13.9% ),27110271500,3647161,2,082_월드 워 Z.xlsx
15,2013-07-05,562,0.162,2880,0.213,482130,0.211,0.297,1058174000,400124000 ( 60.8% ),143002,49833 ( 53.5% ),28168445500,3790163,2,082_월드 워 Z.xlsx
16,2013-07-06,566,0.154,3073,0.213,507562,0.209,0.528,2017987500,959813500 ( 90.7% ),268101,125099 ( 87.5% ),30186433000,4058264,2,082_월드 워 Z.xlsx
17,2013-07-07,557,0.155,2971,0.213,490704,0.209,0.449,1654545000,-363442500 ( -18.0% ),220481,-47620 ( -17.8% ),31840978000,4278745,2,082_월드 워 Z.xlsx
18,2013-07-08,529,0.161,2823,0.218,477754,0.218,0.135,459580000,-1194965000 ( -72.2% ),64612,-155869 ( -70.7% ),32300558000,4343357,2,082_월드 워 Z.xlsx
19,2013-07-09,528,0.159,2812,0.217,476044,0.218,0.156,518493000,58913000 ( 12.8% ),74179,9567 ( 14.8% ),32819051000,4417536,2,082_월드 워 Z.xlsx
20,2013-07-10,551,0.162,2795,0.217,473321,0.217,0.159,517174000,-1319000 ( -0.3% ),75063,884 ( 1.2% ),33336225000,4492599,2,082_월드 워 Z.xlsx
21,2013-07-11,374,0.117,1818,0.139,253977,0.116,0.21,359369000,-157805000 ( -30.5% ),53268,-21795 ( -29.0% ),33695594000,4545867,3,082_월드 워 Z.xlsx
22,2013-07-12,383,0.118,1887,0.14,262587,0.116,0.268,499017500,139648500 ( 38.9% ),70387,17119 ( 32.1% ),34194611500,4616254,3,082_월드 워 Z.xlsx
23,2013-07-13,382,0.11,1907,0.134,258974,0.109,0.551,1018386000,519368500 ( 104.1% ),142655,72268 ( 102.7% ),35212997500,4758909,3,082_월드 워 Z.xlsx
24,2013-07-14,380,0.11,1864,0.135,257549,0.112,0.516,943985000,-74401000 ( -7.3% ),132910,-9745 ( -6.8% ),36156982500,4891819,3,082_월드 워 Z.xlsx
25,2013-07-15,365,0.116,1832,0.142,257703,0.119,0.149,260576500,-683408500 ( -72.4% ),38423,-94487 ( -71.1% ),36417559000,4930242,3,082_월드 워 Z.xlsx
26,2013-07-16,380,0.118,1804,0.14,253025,0.117,0.143,243701000,-16875500 ( -6.5% ),36222,-2201 ( -5.7% ),36661260000,4966464,3,082_월드 워 Z.xlsx
27,2013-07-17,292,0.094,1299,0.1,170319,0.078,0.176,202620500,-41080500 ( -16.9% ),29955,-6267 ( -17.3% ),36863880500,4996419,4,082_월드 워 Z.xlsx
28,2013-07-18,261,0.079,798,0.061,103124,0.047,0.186,129114000,-73506500 ( -36.3% ),19205,-10750 ( -35.9% ),36992994500,5015624,5,082_월드 워 Z.xlsx
