,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2015-11-05,834,0.193,4657,0.315,959856,0.385,0.199,1454751000,1454511000 ( 606046.3% ),191090,191060 ( 636866.7% ),1520474000,198674,1,074_검은 사제들.xlsx
1,2015-11-06,887,0.197,4988,0.323,1019468,0.394,0.267,2211539486,756788486 ( 52.0% ),272689,81599 ( 42.7% ),3732013486,471363,1,074_검은 사제들.xlsx
2,2015-11-07,1064,0.214,5983,0.361,1211015,0.439,0.48,4770742768,2559203282 ( 115.7% ),581845,309156 ( 113.4% ),8502756254,1053208,1,074_검은 사제들.xlsx
3,2015-11-08,1088,0.223,5965,0.371,1200458,0.448,0.459,4523882400,-246860368 ( -5.2% ),551505,-30340 ( -5.2% ),13026638654,1604713,1,074_검은 사제들.xlsx
4,2015-11-09,945,0.221,5414,0.37,1097763,0.444,0.171,1429144500,-3094737900 ( -68.4% ),187763,-363742 ( -66.0% ),14455783154,1792476,1,074_검은 사제들.xlsx
5,2015-11-10,971,0.22,5400,0.371,1094238,0.446,0.149,1238712200,-190432300 ( -13.3% ),163290,-24473 ( -13.0% ),15694495354,1955766,1,074_검은 사제들.xlsx
6,2015-11-11,923,0.212,5136,0.358,912010,0.383,0.249,1686018300,447306100 ( 36.1% ),227313,64023 ( 39.2% ),17380513654,2183079,1,074_검은 사제들.xlsx
7,2015-11-12,997,0.224,5637,0.383,996767,0.409,0.229,1649817100,-36201200 ( -2.1% ),228623,1310 ( 0.6% ),19030330754,2411702,1,074_검은 사제들.xlsx
8,2015-11-13,1030,0.23,5813,0.387,1022751,0.412,0.243,1947364180,297547080 ( 18.0% ),248137,19514 ( 8.5% ),20977694934,2659839,1,074_검은 사제들.xlsx
9,2015-11-14,1109,0.235,6361,0.402,1133383,0.434,0.406,3712403140,1765038960 ( 90.6% ),460104,211967 ( 85.4% ),24690098074,3119943,1,074_검은 사제들.xlsx
10,2015-11-15,1090,0.234,6164,0.402,1098506,0.434,0.347,3057093600,-655309540 ( -17.7% ),381039,-79065 ( -17.2% ),27747191674,3500982,1,074_검은 사제들.xlsx
11,2015-11-16,1022,0.244,5721,0.408,1010415,0.432,0.128,962038200,-2095055400 ( -68.5% ),129752,-251287 ( -65.9% ),28709229874,3630734,1,074_검은 사제들.xlsx
12,2015-11-17,1032,0.242,5731,0.407,1010882,0.431,0.133,983945100,21906900 ( 2.3% ),134882,5130 ( 4.0% ),29693174974,3765616,1,074_검은 사제들.xlsx
13,2015-11-18,1013,0.195,4778,0.338,848045,0.36,0.132,818324800,-165620300 ( -16.8% ),111697,-23185 ( -17.2% ),30511499774,3877313,1,074_검은 사제들.xlsx
14,2015-11-19,756,0.192,3945,0.273,674659,0.28,0.124,611575200,-206749600 ( -25.3% ),83706,-27991 ( -25.1% ),31123074974,3961019,2,074_검은 사제들.xlsx
15,2015-11-20,778,0.191,4053,0.271,698922,0.281,0.161,870980205,259405005 ( 42.4% ),112340,28634 ( 34.2% ),31994055179,4073359,2,074_검은 사제들.xlsx
16,2015-11-21,744,0.176,3955,0.252,669423,0.258,0.302,1607629890,736649685 ( 84.6% ),202054,89714 ( 79.9% ),33601685069,4275413,2,074_검은 사제들.xlsx
17,2015-11-22,729,0.175,3794,0.249,639759,0.255,0.271,1370845300,-236784590 ( -14.7% ),173260,-28794 ( -14.3% ),34972530369,4448673,2,074_검은 사제들.xlsx
