,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2018-05-22,1063,0.186,5133,0.279,890703,0.305,0.423,3378735600,3352788600 ( 12921.7% ),376530,373647 ( 12960.4% ),3442924100,383647,1,085_독전.xlsx
1,2018-05-23,1071,0.214,5241,0.311,919929,0.339,0.175,1318718300,-2060017300 ( -61.0% ),161146,-215384 ( -57.2% ),4761642400,544793,1,085_독전.xlsx
2,2018-05-24,1078,0.206,5100,0.305,905503,0.337,0.175,1293767500,-24950800 ( -1.9% ),158565,-2581 ( -1.6% ),6055409900,703358,1,085_독전.xlsx
3,2018-05-25,1188,0.22,5623,0.327,1002755,0.363,0.219,1967322200,673554700 ( 52.1% ),219564,60999 ( 38.5% ),8022732100,922922,1,085_독전.xlsx
4,2018-05-26,1357,0.223,6562,0.351,1180719,0.398,0.389,4172910461,2205588261 ( 112.1% ),459752,240188 ( 109.4% ),12195642561,1382674,1,085_독전.xlsx
5,2018-05-27,1345,0.225,6487,0.354,1170646,0.403,0.367,3915544100,-257366361 ( -6.2% ),430064,-29688 ( -6.5% ),16111186661,1812738,1,085_독전.xlsx
6,2018-05-28,1216,0.24,6045,0.368,1090709,0.41,0.144,1294167100,-2621377000 ( -66.9% ),157099,-272965 ( -63.5% ),17405353761,1969837,1,085_독전.xlsx
7,2018-05-29,1219,0.235,6072,0.37,1094581,0.413,0.126,1124277400,-169889700 ( -13.1% ),137551,-19548 ( -12.4% ),18529631161,2107388,1,085_독전.xlsx
8,2018-05-30,1390,0.24,6466,0.38,1202727,0.442,0.249,1777483300,653205900 ( 58.1% ),299941,162390 ( 118.1% ),20307114461,2407329,1,085_독전.xlsx
9,2018-05-31,1292,0.229,6337,0.383,1169104,0.441,0.122,1153477700,-624005600 ( -35.1% ),142362,-157579 ( -52.5% ),21460592161,2549691,1,085_독전.xlsx
10,2018-06-01,1382,0.24,6926,0.406,1277144,0.466,0.152,1717512440,564034740 ( 48.9% ),193592,51230 ( 36.0% ),23178104601,2743283,1,085_독전.xlsx
11,2018-06-02,1532,0.238,7790,0.419,1424520,0.485,0.296,3800650921,2083138481 ( 121.3% ),421760,228168 ( 117.9% ),26978755522,3165043,1,085_독전.xlsx
12,2018-06-03,1503,0.238,7642,0.423,1402477,0.491,0.261,3301181500,-499469421 ( -13.1% ),366225,-55535 ( -13.2% ),30279937022,3531268,1,085_독전.xlsx
