,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2019-07-17,1856,0.325,9869,0.514,1761975,0.591,0.173,2644522480,2636944480 ( 34797.4% ),304793,303951 ( 36098.7% ),2675704480,307407,1,099_라이온 킹.xlsx
1,2019-07-18,1854,0.314,9698,0.508,1732705,0.584,0.137,2063536110,-580986370 ( -22.0% ),237335,-67458 ( -22.1% ),4739240590,544742,1,099_라이온 킹.xlsx
2,2019-07-19,1856,0.313,9953,0.508,1790447,0.588,0.17,2863559970,800023860 ( 38.8% ),303882,66547 ( 28.0% ),7602800560,848624,1,099_라이온 킹.xlsx
3,2019-07-20,1936,0.298,10421,0.511,1856284,0.589,0.4,6805383840,3941823870 ( 137.7% ),742451,438569 ( 144.3% ),14408184400,1591075,1,099_라이온 킹.xlsx
4,2019-07-21,1908,0.294,10061,0.503,1795484,0.581,0.381,6192418960,-612964880 ( -9.0% ),684481,-57970 ( -7.8% ),20600603360,2275556,1,099_라이온 킹.xlsx
5,2019-07-22,1699,0.297,8642,0.464,1564395,0.54,0.109,1447229670,-4745189290 ( -76.6% ),170260,-514221 ( -75.1% ),22047833030,2445816,1,099_라이온 킹.xlsx
6,2019-07-23,1695,0.288,8578,0.457,1557667,0.535,0.102,1334723200,-112506470 ( -7.8% ),159050,-11210 ( -6.6% ),23382556230,2604866,1,099_라이온 킹.xlsx
7,2019-07-24,1151,0.202,4982,0.253,864953,0.282,0.149,1079731330,-254991870 ( -19.1% ),129149,-29901 ( -18.8% ),24462287560,2734015,2,099_라이온 킹.xlsx
8,2019-07-25,1192,0.19,4975,0.251,860579,0.28,0.157,1117822760,38091430 ( 3.5% ),135248,6099 ( 4.7% ),25580110320,2869263,1,099_라이온 킹.xlsx
9,2019-07-26,1234,0.192,5270,0.262,914722,0.293,0.172,1439350760,321528000 ( 28.8% ),157525,22277 ( 16.5% ),27019461080,3026788,1,099_라이온 킹.xlsx
10,2019-07-27,1404,0.205,6072,0.292,1075670,0.334,0.333,3284932690,1845581930 ( 128.2% ),357814,200289 ( 127.1% ),30304393770,3384602,1,099_라이온 킹.xlsx
11,2019-07-28,1435,0.209,6030,0.295,1068897,0.338,0.301,2928463010,-356469680 ( -10.9% ),322091,-35723 ( -10.0% ),33232856780,3706693,1,099_라이온 킹.xlsx
12,2019-07-29,1281,0.203,5698,0.291,1037390,0.341,0.154,1296346070,-1632116940 ( -55.7% ),160017,-162074 ( -50.3% ),34529202850,3866710,1,099_라이온 킹.xlsx
13,2019-07-30,1311,0.202,5674,0.29,1031435,0.34,0.144,1196005870,-100340200 ( -7.7% ),148635,-11382 ( -7.1% ),35725208720,4015345,1,099_라이온 킹.xlsx
14,2019-07-31,761,0.116,1974,0.093,256635,0.078,0.492,811749080,-384256790 ( -32.1% ),126217,-22418 ( -15.1% ),36536957800,4141562,4,099_라이온 킹.xlsx
15,2019-08-01,814,0.126,2027,0.094,267408,0.08,0.328,675241580,-136507500 ( -16.8% ),87784,-38433 ( -30.4% ),37212199380,4229346,4,099_라이온 킹.xlsx
16,2019-08-02,825,0.123,2130,0.098,281522,0.083,0.285,678469400,3227820 ( 0.5% ),80277,-7507 ( -8.6% ),37890668780,4309623,4,099_라이온 킹.xlsx
17,2019-08-03,839,0.123,2153,0.097,283908,0.082,0.364,894040570,215571170 ( 31.8% ),103250,22973 ( 28.6% ),38784709350,4412873,4,099_라이온 킹.xlsx
18,2019-08-04,840,0.123,2112,0.096,279482,0.082,0.312,758025210,-136015360 ( -15.2% ),87321,-15929 ( -15.4% ),39542734560,4500194,4,099_라이온 킹.xlsx
19,2019-08-05,777,0.122,2101,0.1,287787,0.087,0.144,331897670,-426127540 ( -56.2% ),41305,-46016 ( -52.7% ),39874632230,4541499,5,099_라이온 킹.xlsx
20,2019-08-06,811,0.125,2054,0.098,281784,0.086,0.141,320011640,-11886030 ( -3.6% ),39682,-1623 ( -3.9% ),40194643870,4581181,4,099_라이온 킹.xlsx
21,2019-08-07,443,0.065,749,0.036,91057,0.028,0.207,147273770,-172737870 ( -54.0% ),18874,-20808 ( -52.4% ),40341917640,4600055,8,099_라이온 킹.xlsx
22,2019-08-08,426,0.06,698,0.034,86539,0.027,0.18,123119270,-24154500 ( -16.4% ),15596,-3278 ( -17.4% ),40465036910,4615651,8,099_라이온 킹.xlsx
23,2019-08-09,430,0.06,664,0.031,83822,0.026,0.18,127189740,4070470 ( 3.3% ),15053,-543 ( -3.5% ),40592226650,4630704,8,099_라이온 킹.xlsx
24,2019-08-10,432,0.06,652,0.03,81808,0.025,0.347,243369330,116179590 ( 91.3% ),28406,13353 ( 88.7% ),40835595980,4659110,8,099_라이온 킹.xlsx
25,2019-08-11,412,0.057,613,0.029,77194,0.024,0.326,215888160,-27481170 ( -11.3% ),25137,-3269 ( -11.5% ),41051484140,4684247,8,099_라이온 킹.xlsx
