,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2011-05-26,747,0.278,4545,0.383,963650,0.446,0.135,1196979000,1196979000 ( 100.0% ),130076,130076 ( 100.0% ),1196979000,130076,1,086_쿵푸팬더 2.xlsx
1,2011-05-27,763,0.285,4791,0.387,1016187,0.452,0.172,1660149000,463170000 ( 38.7% ),174929,44853 ( 34.5% ),2857128000,305005,1,086_쿵푸팬더 2.xlsx
2,2011-05-28,927,0.319,5796,0.432,1210520,0.498,0.585,6318883000,4658734000 ( 280.6% ),707808,532879 ( 304.6% ),9176011000,1012813,1,086_쿵푸팬더 2.xlsx
3,2011-05-29,948,0.329,5674,0.44,1184917,0.507,0.558,5887615000,-431268000 ( -6.8% ),660827,-46981 ( -6.6% ),15063626000,1673640,1,086_쿵푸팬더 2.xlsx
4,2011-05-30,754,0.287,4504,0.388,953024,0.452,0.101,888654500,-4998960500 ( -84.9% ),96507,-564320 ( -85.4% ),15952280500,1770147,1,086_쿵푸팬더 2.xlsx
5,2011-05-31,754,0.284,4450,0.385,938656,0.448,0.096,815133500,-73521000 ( -8.3% ),90502,-6005 ( -6.2% ),16767414000,1860649,1,086_쿵푸팬더 2.xlsx
6,2011-06-01,739,0.248,3997,0.352,848470,0.409,0.106,794022000,-21111500 ( -2.6% ),90330,-172 ( -0.2% ),17561436000,1950979,1,086_쿵푸팬더 2.xlsx
7,2011-06-02,587,0.226,3118,0.27,655552,0.313,0.097,577921000,-216101000 ( -27.2% ),63426,-26904 ( -29.8% ),18139357000,2014405,3,086_쿵푸팬더 2.xlsx
8,2011-06-03,592,0.231,3289,0.272,690580,0.316,0.127,832191500,254270500 ( 44.0% ),87871,24445 ( 38.5% ),18971548500,2102276,2,086_쿵푸팬더 2.xlsx
9,2011-06-04,748,0.259,4261,0.324,895034,0.378,0.389,3171546500,2339355000 ( 281.1% ),347970,260099 ( 296.0% ),22143095000,2450246,1,086_쿵푸팬더 2.xlsx
10,2011-06-05,763,0.271,4387,0.333,922540,0.388,0.507,4164451000,992904500 ( 31.3% ),467267,119297 ( 34.3% ),26307546000,2917513,1,086_쿵푸팬더 2.xlsx
11,2011-06-06,774,0.277,4307,0.339,902087,0.394,0.576,4516297500,351846500 ( 8.4% ),519760,52493 ( 11.2% ),30823843500,3437273,1,086_쿵푸팬더 2.xlsx
12,2011-06-07,590,0.232,3128,0.28,645664,0.319,0.102,563883500,-3952414000 ( -87.5% ),65971,-453789 ( -87.3% ),31387727000,3503244,1,086_쿵푸팬더 2.xlsx
13,2011-06-08,587,0.23,2992,0.272,621719,0.312,0.067,376933000,-186950500 ( -33.2% ),41644,-24327 ( -36.9% ),31764660000,3544888,3,086_쿵푸팬더 2.xlsx
14,2011-06-09,422,0.149,1952,0.168,392485,0.187,0.086,292863000,-84070000 ( -22.3% ),33575,-8069 ( -19.4% ),32057523000,3578463,4,086_쿵푸팬더 2.xlsx
15,2011-06-10,434,0.151,2095,0.172,422389,0.192,0.124,469667500,176804500 ( 60.4% ),52306,18731 ( 55.8% ),32527190500,3630769,3,086_쿵푸팬더 2.xlsx
16,2011-06-11,633,0.201,3139,0.235,651556,0.272,0.401,2210421000,1740753500 ( 370.6% ),261310,209004 ( 399.6% ),34737611500,3892079,1,086_쿵푸팬더 2.xlsx
17,2011-06-12,616,0.196,3029,0.236,635246,0.275,0.351,1917496500,-292924500 ( -13.3% ),222962,-38348 ( -14.7% ),36655108000,4115041,1,086_쿵푸팬더 2.xlsx
18,2011-06-13,430,0.15,1968,0.172,407318,0.197,0.069,252338000,-1665158500 ( -86.8% ),28089,-194873 ( -87.4% ),36907446000,4143130,3,086_쿵푸팬더 2.xlsx
19,2011-06-14,441,0.155,1971,0.174,405491,0.198,0.071,252211500,-126500 ( -0.1% ),28769,680 ( 2.4% ),37159657500,4171899,3,086_쿵푸팬더 2.xlsx
20,2011-06-15,432,0.151,1970,0.173,407875,0.199,0.074,261448000,9236500 ( 3.7% ),30367,1598 ( 5.6% ),37421105500,4202266,3,086_쿵푸팬더 2.xlsx
21,2011-06-16,325,0.11,1299,0.112,225757,0.109,0.101,188794500,-72653500 ( -27.8% ),22857,-7510 ( -24.7% ),37609900000,4225123,5,086_쿵푸팬더 2.xlsx
22,2011-06-17,335,0.113,1425,0.117,246546,0.113,0.128,271686000,82891500 ( 43.9% ),31638,8781 ( 38.4% ),37881586000,4256761,4,086_쿵푸팬더 2.xlsx
23,2011-06-18,476,0.141,2002,0.153,367057,0.157,0.311,954799000,683113000 ( 251.4% ),114026,82388 ( 260.4% ),38836385000,4370787,3,086_쿵푸팬더 2.xlsx
24,2011-06-19,463,0.145,2044,0.162,378368,0.168,0.354,1112725500,157926500 ( 16.5% ),134065,20039 ( 17.6% ),39949110500,4504852,1,086_쿵푸팬더 2.xlsx
25,2011-06-20,328,0.112,1339,0.118,240995,0.118,0.093,187932000,-924793500 ( -83.1% ),22327,-111738 ( -83.3% ),40137042500,4527179,4,086_쿵푸팬더 2.xlsx
26,2011-06-21,327,0.112,1340,0.118,241159,0.118,0.093,188310500,378500 ( 0.2% ),22543,216 ( 1.0% ),40325353000,4549722,3,086_쿵푸팬더 2.xlsx
27,2011-06-22,332,0.112,1318,0.115,238249,0.116,0.1,197398000,9087500 ( 4.8% ),23858,1315 ( 5.8% ),40522751000,4573580,3,086_쿵푸팬더 2.xlsx
28,2011-06-23,287,0.1,1204,0.104,215458,0.104,0.093,162839000,-34559000 ( -17.5% ),19970,-3888 ( -16.3% ),40685590000,4593550,4,086_쿵푸팬더 2.xlsx
29,2011-06-24,304,0.104,1311,0.108,231744,0.107,0.122,237465500,74626500 ( 45.8% ),28252,8282 ( 41.5% ),40923055500,4621802,4,086_쿵푸팬더 2.xlsx
30,2011-06-25,409,0.128,1846,0.141,333437,0.144,0.347,938085000,700619500 ( 295.0% ),115569,87317 ( 309.1% ),41861140500,4737371,2,086_쿵푸팬더 2.xlsx
31,2011-06-26,405,0.13,1813,0.145,326303,0.147,0.301,811284500,-126800500 ( -13.5% ),98179,-17390 ( -15.0% ),42672425000,4835550,2,086_쿵푸팬더 2.xlsx
32,2011-06-27,298,0.103,1205,0.106,211369,0.104,0.085,147004500,-664280000 ( -81.9% ),17926,-80253 ( -81.7% ),42819429500,4853476,4,086_쿵푸팬더 2.xlsx
33,2011-06-28,300,0.101,1190,0.106,207751,0.104,0.083,139978500,-7026000 ( -4.8% ),17333,-593 ( -3.3% ),42959408000,4870809,4,086_쿵푸팬더 2.xlsx
34,2011-06-29,206,0.074,458,0.043,63115,0.034,0.09,40274000,-99704500 ( -71.2% ),5657,-11676 ( -67.4% ),42999682000,4876466,5,086_쿵푸팬더 2.xlsx
35,2011-06-30,215,0.077,462,0.043,63519,0.034,0.103,45591000,5317000 ( 13.2% ),6558,901 ( 15.9% ),43045273000,4883024,6,086_쿵푸팬더 2.xlsx
36,2011-07-01,225,0.08,483,0.044,65452,0.034,0.111,52495000,6904000 ( 15.1% ),7248,690 ( 10.5% ),43097768000,4890272,6,086_쿵푸팬더 2.xlsx
37,2011-07-02,259,0.09,611,0.053,83640,0.041,0.295,179843000,127348000 ( 242.6% ),24661,17413 ( 240.2% ),43277611000,4914933,4,086_쿵푸팬더 2.xlsx
38,2011-07-03,254,0.089,611,0.055,82307,0.042,0.468,269685000,89842000 ( 50.0% ),38537,13876 ( 56.3% ),43547296000,4953470,3,086_쿵푸팬더 2.xlsx
39,2011-07-04,209,0.076,450,0.045,61310,0.035,0.084,37299500,-232385500 ( -86.2% ),5180,-33357 ( -86.6% ),43584595500,4958650,6,086_쿵푸팬더 2.xlsx
40,2011-07-05,195,0.07,437,0.043,59874,0.033,0.117,49085000,11785500 ( 31.6% ),7009,1829 ( 35.3% ),43633680500,4965659,6,086_쿵푸팬더 2.xlsx
41,2011-07-06,213,0.076,462,0.044,63027,0.034,0.099,43884000,-5201000 ( -10.6% ),6235,-774 ( -11.0% ),43677564500,4971894,6,086_쿵푸팬더 2.xlsx
42,2011-07-07,159,0.058,302,0.028,41579,0.022,0.09,25853500,-18030500 ( -41.1% ),3759,-2476 ( -39.7% ),43703418000,4975653,7,086_쿵푸팬더 2.xlsx
43,2011-07-08,154,0.056,294,0.026,40164,0.021,0.118,33075000,7221500 ( 27.9% ),4738,979 ( 26.0% ),43736493000,4980391,7,086_쿵푸팬더 2.xlsx
44,2011-07-09,191,0.066,433,0.036,57292,0.028,0.521,204105000,171030000 ( 517.1% ),29863,25125 ( 530.3% ),43940598000,5010254,5,086_쿵푸팬더 2.xlsx
45,2011-07-10,189,0.066,423,0.037,56178,0.028,0.489,191191500,-12913500 ( -6.3% ),27458,-2405 ( -8.1% ),44131789500,5037712,4,086_쿵푸팬더 2.xlsx
46,2011-07-11,137,0.051,276,0.026,37636,0.02,0.081,21688000,-169503500 ( -88.7% ),3057,-24401 ( -88.9% ),44153477500,5040769,7,086_쿵푸팬더 2.xlsx
47,2011-07-12,143,0.053,298,0.028,39685,0.021,0.102,27974000,6286000 ( 29.0% ),4043,986 ( 32.3% ),44181451500,5044812,6,086_쿵푸팬더 2.xlsx
48,2011-07-13,41,0.014,58,0.005,7756,0.004,0.091,4619500,-23354500 ( -83.5% ),706,-3337 ( -82.5% ),44186071000,5045518,16,086_쿵푸팬더 2.xlsx
49,2011-07-14,39,0.014,60,0.005,8759,0.004,0.121,6281000,1661500 ( 36.0% ),1059,353 ( 50.0% ),44192352000,5046577,10,086_쿵푸팬더 2.xlsx
50,2011-07-15,37,0.013,58,0.005,8423,0.004,0.111,6205000,-76000 ( -1.2% ),931,-128 ( -12.1% ),44198557000,5047508,12,086_쿵푸팬더 2.xlsx
51,2011-07-16,57,0.017,96,0.008,12666,0.006,0.294,26461500,20256500 ( 326.5% ),3720,2789 ( 299.6% ),44225018500,5051228,10,086_쿵푸팬더 2.xlsx
52,2011-07-17,61,0.019,103,0.009,13776,0.007,0.462,43809000,17347500 ( 65.6% ),6367,2647 ( 71.2% ),44268827500,5057595,9,086_쿵푸팬더 2.xlsx
53,2011-07-18,37,0.013,61,0.005,8387,0.004,0.088,5113500,-38695500 ( -88.3% ),734,-5633 ( -88.5% ),44273941000,5058329,13,086_쿵푸팬더 2.xlsx
54,2011-07-19,35,0.013,59,0.005,8234,0.004,0.106,6041500,928000 ( 18.1% ),875,141 ( 19.2% ),44279982500,5059204,10,086_쿵푸팬더 2.xlsx
55,2011-07-20,1,0.0,4,0.0,272,0.0,0.136,244000,-5797500 ( -96.0% ),37,-838 ( -95.8% ),44280226500,5059241,38,086_쿵푸팬더 2.xlsx
56,2011-07-21,1,0.0,4,0.0,272,0.0,0.044,89000,-155000 ( -63.5% ),12,-25 ( -67.6% ),44280315500,5059253,46,086_쿵푸팬더 2.xlsx
57,2011-07-22,3,0.001,6,0.0,548,0.0,0.232,939000,850000 ( 955.1% ),127,115 ( 958.3% ),44281254500,5059380,22,086_쿵푸팬더 2.xlsx
58,2011-07-23,3,0.001,6,0.0,548,0.0,0.549,2190000,1251000 ( 133.2% ),301,174 ( 137.0% ),44283444500,5059681,20,086_쿵푸팬더 2.xlsx
59,2011-07-24,3,0.001,6,0.0,608,0.0,0.592,2566000,376000 ( 17.2% ),360,59 ( 19.6% ),44286010500,5060041,18,086_쿵푸팬더 2.xlsx
60,2011-07-25,2,0.001,5,0.0,433,0.0,0.282,809000,-1757000 ( -68.5% ),122,-238 ( -66.1% ),44286819500,5060163,23,086_쿵푸팬더 2.xlsx
61,2011-07-26,2,0.001,5,0.0,433,0.0,0.291,846500,37500 ( 4.6% ),126,4 ( 3.3% ),44287666000,5060289,24,086_쿵푸팬더 2.xlsx
62,2011-07-27,1,0.0,1,0.0,161,0.0,0.0,0,-846500 ( -100.0% ),0,-126 ( -100.0% ),44287666000,5060289,47,086_쿵푸팬더 2.xlsx
63,2011-07-30,1,0.0,1,0.0,188,0.0,0.5,744500,744500 ( 100.0% ),94,94 ( 100.0% ),44288410500,5060383,31,086_쿵푸팬더 2.xlsx
64,2011-07-31,1,0.0,1,0.0,188,0.0,0.431,638500,-106000 ( -14.2% ),81,-13 ( -13.8% ),44289049000,5060464,30,086_쿵푸팬더 2.xlsx
