,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2011-01-27,447,0.162,1703,0.189,355452,0.218,0.273,695551500,695281500 ( 257511.7% ),97036,96998 ( 255257.9% ),782061500,110389,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
1,2011-01-28,463,0.164,1788,0.191,372691,0.221,0.314,890703000,195151500 ( 28.1% ),117165,20129 ( 20.7% ),1672764500,227554,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
2,2011-01-29,529,0.169,1937,0.193,405628,0.225,0.665,2062346000,1171643000 ( 131.5% ),269590,152425 ( 130.1% ),3735110500,497144,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
3,2011-01-30,524,0.17,1901,0.195,399646,0.228,0.635,1926436000,-135910000 ( -6.6% ),253702,-15888 ( -5.9% ),5661546500,750846,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
4,2011-01-31,490,0.17,1847,0.204,398036,0.242,0.303,862387000,-1064049000 ( -55.2% ),120422,-133280 ( -52.5% ),6523933500,871268,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
5,2011-02-01,517,0.176,2683,0.211,575901,0.248,0.291,1221028500,358641500 ( 41.6% ),167625,47203 ( 39.2% ),7744962000,1038893,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
6,2011-02-02,611,0.194,3301,0.249,709554,0.293,0.348,1905311000,684282500 ( 56.0% ),246671,79046 ( 47.2% ),9650273000,1285564,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
7,2011-02-03,616,0.196,3370,0.254,722192,0.298,0.46,2614324000,709013000 ( 37.2% ),332554,85883 ( 34.8% ),12264597000,1618118,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
8,2011-02-04,629,0.197,3432,0.253,735556,0.298,0.576,3255473500,641149500 ( 24.5% ),423984,91430 ( 27.5% ),15520070500,2042102,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
9,2011-02-05,634,0.198,3453,0.255,739588,0.299,0.545,3070475500,-184998000 ( -5.7% ),402848,-21136 ( -5.0% ),18590546000,2444950,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
10,2011-02-06,619,0.198,3282,0.256,702080,0.301,0.419,2232739500,-837736000 ( -27.3% ),294508,-108340 ( -26.9% ),20823285500,2739458,1,096_조선명탐정 각시투구꽃의 비밀.xlsx
