,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2016-10-13,889,0.181,4520,0.289,873799,0.336,0.245,1595475900,1595475900 ( 100.0% ),214065,214065 ( 100.0% ),2860928300,360101,1,047_럭키.xlsx
1,2016-10-14,956,0.187,4832,0.298,931780,0.347,0.339,2594401888,998925988 ( 62.6% ),315620,101555 ( 47.4% ),5455330188,675721,1,047_럭키.xlsx
2,2016-10-15,1080,0.19,5784,0.329,1155643,0.399,0.548,5377730260,2783328372 ( 107.3% ),632885,317265 ( 100.5% ),10833060448,1308606,1,047_럭키.xlsx
3,2016-10-16,1158,0.204,5881,0.343,1164182,0.412,0.596,5895612500,517882240 ( 9.6% ),694091,61206 ( 9.7% ),16728672948,2002697,1,047_럭키.xlsx
4,2016-10-17,987,0.203,5309,0.344,1016891,0.393,0.248,1913154900,-3982457600 ( -67.5% ),252102,-441989 ( -63.7% ),18641827848,2254799,1,047_럭키.xlsx
5,2016-10-18,1034,0.207,5362,0.349,1025483,0.399,0.22,1696077400,-217077500 ( -11.3% ),225831,-26271 ( -10.4% ),20337905248,2480630,1,047_럭키.xlsx
6,2016-10-19,965,0.189,4949,0.324,899505,0.352,0.228,1538191800,-157885600 ( -9.3% ),204977,-20854 ( -9.2% ),21876097048,2685607,1,047_럭키.xlsx
7,2016-10-20,968,0.194,4961,0.318,914357,0.352,0.212,1452485900,-85705900 ( -5.6% ),193799,-11178 ( -5.5% ),23328582948,2879406,1,047_럭키.xlsx
8,2016-10-21,1077,0.207,5503,0.338,1026389,0.381,0.29,2453406666,1000920766 ( 68.9% ),297299,103500 ( 53.4% ),25781989614,3176705,1,047_럭키.xlsx
9,2016-10-22,1234,0.219,6865,0.393,1325542,0.462,0.454,5109474059,2656067393 ( 108.3% ),601815,304516 ( 102.4% ),30891463673,3778520,1,047_럭키.xlsx
10,2016-10-23,1231,0.221,6705,0.397,1293283,0.465,0.435,4783895600,-325578459 ( -6.4% ),562801,-39014 ( -6.5% ),35675359273,4341321,1,047_럭키.xlsx
11,2016-10-24,1060,0.222,5703,0.376,1041424,0.411,0.146,1147600900,-3636294700 ( -76.0% ),152423,-410378 ( -72.9% ),36822960173,4493744,1,047_럭키.xlsx
12,2016-10-25,1188,0.194,5055,0.324,870993,0.336,0.166,1072401300,-75199600 ( -6.6% ),144680,-7743 ( -5.1% ),37895361473,4638424,1,047_럭키.xlsx
13,2016-10-26,799,0.177,3570,0.218,518380,0.191,0.347,1065124800,-7276500 ( -0.7% ),179922,35242 ( 24.4% ),38960486273,4818346,2,047_럭키.xlsx
