,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2012-02-02,599,0.18,2731,0.22,583567,0.263,0.285,1235533500,1223654500 ( 10301.0% ),166041,164383 ( 9914.5% ),1307088500,177117,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
1,2012-02-03,613,0.182,2842,0.221,602328,0.262,0.318,1521262500,285729000 ( 23.1% ),191805,25764 ( 15.5% ),2828351000,368922,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
2,2012-02-04,697,0.193,3104,0.225,643612,0.263,0.589,3000827000,1479564500 ( 97.3% ),378778,186973 ( 97.5% ),5829178000,747700,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
3,2012-02-05,699,0.197,3056,0.231,639300,0.27,0.556,2818614000,-182213000 ( -6.1% ),355546,-23232 ( -6.1% ),8647792000,1103246,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
4,2012-02-06,629,0.192,2884,0.244,618058,0.291,0.246,1131050500,-1687563500 ( -59.9% ),151772,-203774 ( -57.3% ),9778842500,1255018,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
5,2012-02-07,630,0.19,2883,0.246,619140,0.295,0.236,1083252000,-47798500 ( -4.2% ),146121,-5651 ( -3.7% ),10862094500,1401139,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
6,2012-02-08,636,0.194,2910,0.25,626161,0.299,0.223,1033523500,-49728500 ( -4.6% ),139713,-6408 ( -4.4% ),11895618000,1540852,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
7,2012-02-09,614,0.189,2895,0.248,645635,0.307,0.201,966647000,-66876500 ( -6.5% ),129643,-10070 ( -7.2% ),12862265000,1670495,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
8,2012-02-10,624,0.188,3011,0.246,670327,0.306,0.242,1284247000,317600000 ( 32.9% ),162090,32447 ( 25.0% ),14146512000,1832585,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
9,2012-02-11,713,0.193,3319,0.249,737073,0.311,0.483,2845325000,1561078000 ( 121.6% ),356117,194027 ( 119.7% ),16991837000,2188702,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
10,2012-02-12,712,0.193,3220,0.25,718393,0.313,0.441,2517620500,-327704500 ( -11.5% ),317125,-38992 ( -10.9% ),19509457500,2505827,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
11,2012-02-13,625,0.193,2918,0.255,657713,0.319,0.161,787826000,-1729794500 ( -68.7% ),106188,-210937 ( -66.5% ),20297283500,2612015,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
12,2012-02-14,624,0.186,2947,0.248,662271,0.312,0.206,1017029000,229203000 ( 29.1% ),136732,30544 ( 28.8% ),21314312500,2748747,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
13,2012-02-15,630,0.19,2907,0.249,653144,0.312,0.143,689881500,-327147500 ( -32.2% ),93687,-43045 ( -31.5% ),22004194000,2842434,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
14,2012-02-16,478,0.139,2097,0.167,447829,0.2,0.167,552276000,-137605500 ( -19.9% ),74788,-18899 ( -20.2% ),22556470000,2917222,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
15,2012-02-17,490,0.14,2172,0.167,463944,0.201,0.196,719437000,167161000 ( 30.3% ),90897,16109 ( 21.5% ),23275907000,3008119,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
16,2012-02-18,552,0.142,2395,0.173,509620,0.208,0.422,1717703500,998266500 ( 138.8% ),215312,124415 ( 136.9% ),24993610500,3223431,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
17,2012-02-19,546,0.143,2316,0.174,492058,0.208,0.399,1557685500,-160018000 ( -9.3% ),196512,-18800 ( -8.7% ),26551296000,3419943,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
18,2012-02-20,500,0.143,2154,0.174,456330,0.206,0.148,500691500,-1056994000 ( -67.9% ),67590,-128922 ( -65.6% ),27051987500,3487533,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
19,2012-02-21,490,0.138,2138,0.174,453242,0.206,0.14,468248500,-32443000 ( -6.5% ),63322,-4268 ( -6.3% ),27520236000,3550855,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
20,2012-02-22,442,0.123,1928,0.153,403151,0.179,0.139,412946500,-55302000 ( -11.8% ),55947,-7375 ( -11.6% ),27933182500,3606802,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
21,2012-02-23,455,0.121,1912,0.149,400985,0.175,0.136,403179000,-9767500 ( -2.4% ),54398,-1549 ( -2.8% ),28336361500,3661200,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
22,2012-02-24,465,0.122,1993,0.15,421118,0.177,0.153,508636500,105457500 ( 26.2% ),64497,10099 ( 18.6% ),28844998000,3725697,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
23,2012-02-25,495,0.12,2175,0.154,453982,0.18,0.339,1229150000,720513500 ( 141.7% ),154014,89517 ( 138.8% ),30074148000,3879711,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
24,2012-02-26,493,0.119,2090,0.153,437937,0.18,0.314,1088976500,-140173500 ( -11.4% ),137327,-16687 ( -10.8% ),31163124500,4017038,1,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
25,2012-02-27,453,0.121,1936,0.154,411453,0.182,0.117,356844500,-732132000 ( -67.2% ),48141,-89186 ( -64.9% ),31519969000,4065179,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
26,2012-02-28,460,0.121,1931,0.153,407682,0.18,0.113,339922500,-16922000 ( -4.7% ),46185,-1956 ( -4.1% ),31859891500,4111364,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
27,2012-02-29,334,0.089,1360,0.102,247021,0.103,0.157,281910000,-58012500 ( -17.1% ),38749,-7436 ( -16.1% ),32141801500,4150113,2,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
28,2012-03-01,340,0.086,1369,0.099,247263,0.1,0.347,674763000,392853000 ( 139.4% ),85699,46950 ( 121.2% ),32816564500,4235812,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
29,2012-03-02,339,0.089,1383,0.105,245199,0.104,0.167,320598000,-354165000 ( -52.5% ),41015,-44684 ( -52.1% ),33137162500,4276827,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
30,2012-03-03,350,0.085,1408,0.1,245784,0.098,0.341,666546500,345948500 ( 107.9% ),83855,42840 ( 104.4% ),33803709000,4360682,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
31,2012-03-04,345,0.085,1352,0.1,236661,0.099,0.302,563184000,-103362500 ( -15.5% ),71490,-12365 ( -14.7% ),34366893000,4432172,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
32,2012-03-05,331,0.097,1309,0.114,229102,0.11,0.099,164805500,-398378500 ( -70.7% ),22662,-48828 ( -68.3% ),34531698500,4454834,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
33,2012-03-06,333,0.098,1316,0.116,228894,0.111,0.097,159693500,-5112000 ( -3.1% ),22166,-496 ( -2.2% ),34691392000,4477000,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
34,2012-03-07,331,0.097,1304,0.116,227611,0.112,0.088,144358000,-15335500 ( -9.6% ),19991,-2175 ( -9.8% ),34835750000,4496991,3,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
35,2012-03-08,295,0.09,1024,0.091,159312,0.078,0.091,104160500,-40197500 ( -27.8% ),14481,-5510 ( -27.6% ),34939910500,4511472,5,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
36,2012-03-09,302,0.091,1064,0.09,164637,0.077,0.111,141179000,37018500 ( 35.5% ),18354,3873 ( 26.7% ),35081089500,4529826,5,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
37,2012-03-10,297,0.079,1074,0.081,164026,0.069,0.247,322044500,180865500 ( 128.1% ),40587,22233 ( 121.1% ),35403134000,4570413,5,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
38,2012-03-11,295,0.079,1020,0.08,155804,0.069,0.23,282521500,-39523000 ( -12.3% ),35793,-4794 ( -11.8% ),35685655500,4606206,5,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
39,2012-03-12,298,0.093,991,0.09,151744,0.076,0.08,87816000,-194705500 ( -68.9% ),12202,-23591 ( -65.9% ),35773471500,4618408,5,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
40,2012-03-13,294,0.089,981,0.089,151391,0.076,0.074,79817500,-7998500 ( -9.1% ),11153,-1049 ( -8.6% ),35853289000,4629561,5,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
41,2012-03-14,280,0.085,899,0.078,134283,0.065,0.084,82524000,2706500 ( 3.4% ),11319,166 ( 1.5% ),35935813000,4640880,6,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
42,2012-03-15,210,0.072,516,0.043,74301,0.034,0.078,41608000,-40916000 ( -49.6% ),5775,-5544 ( -49.0% ),35977421000,4646655,8,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
43,2012-03-16,210,0.072,540,0.042,77104,0.034,0.103,60616000,19008000 ( 45.7% ),7923,2148 ( 37.2% ),36038037000,4654578,8,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
44,2012-03-17,201,0.057,474,0.034,67008,0.028,0.225,119233500,58617500 ( 96.7% ),15080,7157 ( 90.3% ),36157270500,4669658,9,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
45,2012-03-18,206,0.059,471,0.036,65866,0.028,0.195,101203500,-18030000 ( -15.1% ),12871,-2209 ( -14.6% ),36258474000,4682529,9,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
46,2012-03-19,216,0.075,531,0.045,77979,0.037,0.073,41155000,-60048500 ( -59.3% ),5661,-7210 ( -56.0% ),36299629000,4688190,8,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
47,2012-03-20,210,0.073,533,0.046,77672,0.037,0.068,38257500,-2897500 ( -7.0% ),5274,-387 ( -6.8% ),36337886500,4693464,8,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
48,2012-03-21,212,0.073,528,0.046,77339,0.038,0.068,38174000,-83500 ( -0.2% ),5247,-27 ( -0.5% ),36376060500,4698711,8,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
49,2012-03-22,72,0.023,150,0.013,24287,0.012,0.066,11648500,-26525500 ( -69.5% ),1601,-3646 ( -69.5% ),36387709000,4700312,11,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
50,2012-03-23,67,0.021,152,0.012,25040,0.011,0.086,16630500,4982000 ( 42.8% ),2141,540 ( 33.7% ),36404339500,4702453,11,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
51,2012-03-24,67,0.019,152,0.011,23052,0.01,0.179,33173000,16542500 ( 99.5% ),4128,1987 ( 92.8% ),36437512500,4706581,12,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
52,2012-03-25,65,0.018,145,0.011,22473,0.01,0.169,30622000,-2551000 ( -7.7% ),3803,-325 ( -7.9% ),36468134500,4710384,12,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
53,2012-03-26,71,0.023,149,0.013,23701,0.012,0.062,10512000,-20110000 ( -65.7% ),1459,-2344 ( -61.6% ),36478646500,4711843,11,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
54,2012-03-27,69,0.022,144,0.013,23387,0.012,0.061,10377000,-135000 ( -1.3% ),1434,-25 ( -1.7% ),36489023500,4713277,11,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
55,2012-03-28,68,0.022,143,0.013,24437,0.012,0.055,9819500,-557500 ( -5.4% ),1350,-84 ( -5.9% ),36498843000,4714627,12,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
56,2012-03-29,25,0.009,55,0.005,11027,0.005,0.047,3745000,-6074500 ( -61.9% ),520,-830 ( -61.5% ),36502588000,4715147,12,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
57,2012-03-30,26,0.009,57,0.004,11298,0.005,0.052,4611000,866000 ( 23.1% ),589,69 ( 13.3% ),36507199000,4715736,13,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
58,2012-03-31,20,0.006,46,0.003,6929,0.003,0.139,7811500,3200500 ( 69.4% ),963,374 ( 63.5% ),36515010500,4716699,11,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
59,2012-04-01,20,0.007,49,0.004,7301,0.003,0.115,6829000,-982500 ( -12.6% ),842,-121 ( -12.6% ),36521839500,4717541,10,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
60,2012-04-02,25,0.009,52,0.004,8303,0.004,0.058,3589000,-3240000 ( -47.4% ),478,-364 ( -43.2% ),36525428500,4718019,12,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
61,2012-04-03,26,0.009,57,0.005,9285,0.004,0.051,3474000,-115000 ( -3.2% ),469,-9 ( -1.9% ),36528902500,4718488,13,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
62,2012-04-04,26,0.009,54,0.005,8741,0.004,0.05,3214000,-260000 ( -7.5% ),441,-28 ( -6.0% ),36532116500,4718929,11,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
63,2012-04-05,9,0.003,18,0.002,2498,0.001,0.043,765000,-2449000 ( -76.2% ),107,-334 ( -75.7% ),36532881500,4719036,21,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
64,2012-04-06,6,0.002,16,0.001,2172,0.001,0.058,912000,147000 ( 19.2% ),125,18 ( 16.8% ),36533793500,4719161,23,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
65,2012-04-07,5,0.002,18,0.001,2484,0.001,0.086,1623000,711000 ( 78.0% ),213,88 ( 70.4% ),36535416500,4719374,21,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
66,2012-04-08,5,0.002,18,0.001,2574,0.001,0.06,1145000,-478000 ( -29.5% ),155,-58 ( -27.2% ),36536561500,4719529,20,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
67,2012-04-09,7,0.002,19,0.002,2572,0.001,0.071,1147000,2000 ( 0.2% ),182,27 ( 17.4% ),36537708500,4719711,19,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
68,2012-04-10,6,0.002,14,0.001,2044,0.001,0.04,548500,-598500 ( -52.2% ),82,-100 ( -54.9% ),36538257000,4719793,29,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
69,2012-04-12,1,0.0,1,0.0,180,0.0,0.011,11500,11500 ( 100.0% ),2,2 ( 100.0% ),36538268500,4719795,67,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
70,2012-04-13,1,0.0,1,0.0,180,0.0,0.011,11500,0 ( 0.0% ),2,0 ( 0.0% ),36538280000,4719797,66,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
71,2012-04-18,1,0.0,1,0.0,170,0.0,0.024,30000,30000 ( 100.0% ),4,4 ( 100.0% ),36538310000,4719801,65,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
72,2012-04-19,1,0.0,1,0.0,168,0.0,0.024,25000,-5000 ( -16.7% ),4,0 ( 0.0% ),36538335000,4719805,70,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
73,2012-04-20,1,0.0,1,0.0,168,0.0,0.048,60000,35000 ( 140.0% ),8,4 ( 100.0% ),36538395000,4719813,71,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
74,2012-04-23,1,0.0,1,0.0,168,0.0,0.089,109000,109000 ( 100.0% ),15,15 ( 100.0% ),36538504000,4719828,52,100_범죄와의 전쟁 나쁜 놈들 전성시대.xlsx
