,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2012-12-18,371,0.093,816,0.071,151154,0.077,0.387,418483000,418483000 ( 100.0% ),58492,58492 ( 100.0% ),423130500,59207,4,062_레미제라블.xlsx
1,2012-12-19,589,0.152,2297,0.174,459253,0.202,0.618,2077372000,1658889000 ( 396.4% ),283842,225350 ( 385.3% ),2500502500,343049,1,062_레미제라블.xlsx
2,2012-12-20,612,0.169,2342,0.199,468988,0.23,0.285,918832500,-1158539500 ( -55.8% ),133799,-150043 ( -52.9% ),3419335000,476848,1,062_레미제라블.xlsx
3,2012-12-21,652,0.175,2486,0.203,498707,0.236,0.346,1255847500,337015000 ( 36.7% ),172343,38544 ( 28.8% ),4675182500,649191,1,062_레미제라블.xlsx
4,2012-12-22,667,0.163,2640,0.19,541808,0.226,0.578,2350098500,1094251000 ( 87.1% ),313399,141056 ( 81.8% ),7025281000,962590,1,062_레미제라블.xlsx
5,2012-12-23,673,0.166,2634,0.192,538305,0.228,0.563,2255391000,-94707500 ( -4.0% ),302960,-10439 ( -3.3% ),9280672000,1265550,1,062_레미제라블.xlsx
6,2012-12-24,696,0.169,2720,0.197,557464,0.235,0.552,2185319500,-70071500 ( -3.1% ),307788,4828 ( 1.6% ),11465991500,1573338,1,062_레미제라블.xlsx
7,2012-12-25,607,0.14,2356,0.163,457966,0.184,0.777,2652423500,467104000 ( 21.4% ),355821,48033 ( 15.6% ),14118415000,1929159,2,062_레미제라블.xlsx
8,2012-12-26,611,0.154,2287,0.18,449875,0.205,0.308,960562000,-1691861500 ( -63.8% ),138749,-217072 ( -61.0% ),15078977000,2067908,1,062_레미제라블.xlsx
9,2012-12-27,599,0.152,2298,0.18,456391,0.207,0.299,946571500,-13990500 ( -1.5% ),136281,-2468 ( -1.8% ),16025548500,2204189,1,062_레미제라블.xlsx
10,2012-12-28,593,0.153,2429,0.185,480152,0.212,0.355,1272663500,326092000 ( 34.4% ),170390,34109 ( 25.0% ),17298212000,2374579,2,062_레미제라블.xlsx
11,2012-12-29,621,0.155,2599,0.186,513698,0.214,0.574,2199800000,927136500 ( 72.9% ),294762,124372 ( 73.0% ),19498012000,2669341,2,062_레미제라블.xlsx
12,2012-12-30,620,0.155,2568,0.187,509110,0.216,0.563,2139147000,-60653000 ( -2.8% ),286503,-8259 ( -2.8% ),21637159000,2955844,2,062_레미제라블.xlsx
13,2012-12-31,623,0.159,2678,0.194,531070,0.224,0.479,1791446500,-347700500 ( -16.3% ),254263,-32240 ( -11.3% ),23428605500,3210107,2,062_레미제라블.xlsx
14,2013-01-01,592,0.16,2466,0.185,486945,0.212,0.602,2206113000,414666500 ( 23.1% ),293220,38957 ( 15.3% ),25634718500,3503327,2,062_레미제라블.xlsx
15,2013-01-02,580,0.16,2349,0.186,468715,0.214,0.205,677146500,-1528966500 ( -69.3% ),96037,-197183 ( -67.2% ),26311865000,3599364,2,062_레미제라블.xlsx
16,2013-01-03,576,0.157,2312,0.184,463001,0.212,0.18,586184000,-90962500 ( -13.4% ),83450,-12587 ( -13.1% ),26898049000,3682814,2,062_레미제라블.xlsx
17,2013-01-04,588,0.16,2410,0.186,476208,0.213,0.21,752785500,166601500 ( 28.4% ),99915,16465 ( 19.7% ),27650834500,3782729,2,062_레미제라블.xlsx
18,2013-01-05,578,0.153,2444,0.181,476999,0.205,0.474,1706651000,953865500 ( 126.7% ),226161,126246 ( 126.4% ),29357485500,4008890,2,062_레미제라블.xlsx
19,2013-01-06,573,0.153,2367,0.18,463086,0.204,0.431,1483937000,-222714000 ( -13.0% ),199581,-26580 ( -11.8% ),30841422500,4208471,2,062_레미제라블.xlsx
20,2013-01-07,565,0.156,2266,0.184,444580,0.208,0.168,520961500,-962975500 ( -64.9% ),74536,-125045 ( -62.7% ),31362384000,4283007,2,062_레미제라블.xlsx
21,2013-01-08,559,0.155,2261,0.182,444402,0.206,0.172,529933500,8972000 ( 1.7% ),76308,1772 ( 2.4% ),31892317500,4359315,2,062_레미제라블.xlsx
22,2013-01-09,378,0.108,1468,0.123,281562,0.135,0.208,405717000,-124216500 ( -23.4% ),58537,-17771 ( -23.3% ),32298034500,4417852,3,062_레미제라블.xlsx
23,2013-01-10,372,0.104,1452,0.12,273842,0.13,0.21,398567500,-7149500 ( -1.8% ),57430,-1107 ( -1.9% ),32696602000,4475282,3,062_레미제라블.xlsx
24,2013-01-11,378,0.103,1485,0.119,279397,0.129,0.262,543441500,144874000 ( 36.3% ),73295,15865 ( 27.6% ),33240043500,4548577,3,062_레미제라블.xlsx
25,2013-01-12,409,0.103,1531,0.116,285833,0.125,0.518,1101521500,558080000 ( 102.7% ),148029,74734 ( 102.0% ),34341565000,4696606,3,062_레미제라블.xlsx
26,2013-01-13,410,0.103,1489,0.117,276547,0.125,0.471,960397000,-141124500 ( -12.8% ),130231,-17798 ( -12.0% ),35301962000,4826837,3,062_레미제라블.xlsx
27,2013-01-14,388,0.105,1437,0.119,265457,0.126,0.204,372149000,-588248000 ( -61.3% ),54180,-76051 ( -58.4% ),35674111000,4881017,3,062_레미제라블.xlsx
28,2013-01-15,391,0.105,1447,0.119,268000,0.126,0.222,404283000,32134000 ( 8.6% ),59389,5209 ( 9.6% ),36078394000,4940406,3,062_레미제라블.xlsx
29,2013-01-16,392,0.105,1451,0.12,267481,0.127,0.214,391503000,-12780000 ( -3.2% ),57223,-2166 ( -3.6% ),36469897000,4997629,2,062_레미제라블.xlsx
30,2013-01-17,342,0.092,1094,0.087,199396,0.09,0.245,343890000,-47613000 ( -12.2% ),48945,-8278 ( -14.5% ),36813787000,5046574,5,062_레미제라블.xlsx
31,2013-01-18,341,0.09,1126,0.086,202004,0.089,0.289,437644500,93754500 ( 27.3% ),58419,9474 ( 19.4% ),37251431500,5104993,4,062_레미제라블.xlsx
32,2013-01-19,372,0.093,1178,0.087,205371,0.087,0.55,846244500,408600000 ( 93.4% ),112883,54464 ( 93.2% ),38097676000,5217876,5,062_레미제라블.xlsx
33,2013-01-20,373,0.094,1149,0.087,201262,0.088,0.5,747537500,-98707000 ( -11.7% ),100572,-12311 ( -10.9% ),38845213500,5318448,5,062_레미제라블.xlsx
34,2013-01-21,364,0.098,1130,0.091,200273,0.092,0.212,292703500,-454834000 ( -60.8% ),42372,-58200 ( -57.9% ),39137917000,5360820,3,062_레미제라블.xlsx
35,2013-01-22,365,0.095,1134,0.09,200336,0.091,0.226,308316500,15613000 ( 5.3% ),45228,2856 ( 6.7% ),39446233500,5406048,2,062_레미제라블.xlsx
36,2013-01-23,331,0.087,944,0.074,157979,0.071,0.225,244278500,-64038000 ( -20.8% ),35610,-9618 ( -21.3% ),39690512000,5441658,3,062_레미제라블.xlsx
