,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2017-03-16,1244,0.252,5726,0.373,1135684,0.447,0.147,1322211700,1322211700 ( 100.0% ),166930,166930 ( 100.0% ),1349114700,169423,1,084_미녀와야수.xlsx
1,2017-03-17,1260,0.251,6028,0.379,1184685,0.452,0.198,2040619869,718408169 ( 54.3% ),234961,68031 ( 40.8% ),3389734569,404384,1,084_미녀와야수.xlsx
2,2017-03-18,1611,0.294,7886,0.464,1493531,0.538,0.403,5146353230,3105733361 ( 152.2% ),602569,367608 ( 156.5% ),8536087799,1006953,1,084_미녀와야수.xlsx
3,2017-03-19,1627,0.299,7757,0.471,1470304,0.545,0.384,4781249450,-365103780 ( -7.1% ),564477,-38092 ( -6.3% ),13317337249,1571430,1,084_미녀와야수.xlsx
4,2017-03-20,1336,0.275,6305,0.423,1236717,0.501,0.117,1124594800,-3656654650 ( -76.5% ),144248,-420229 ( -74.4% ),14441932049,1715678,1,084_미녀와야수.xlsx
5,2017-03-21,1352,0.275,6325,0.425,1239438,0.503,0.11,1057859200,-66735600 ( -5.9% ),136339,-7909 ( -5.5% ),15499791249,1852017,1,084_미녀와야수.xlsx
6,2017-03-22,1318,0.232,5424,0.361,1046505,0.421,0.119,959937600,-97921600 ( -9.3% ),124015,-12324 ( -9.0% ),16459728849,1976032,1,084_미녀와야수.xlsx
7,2017-03-23,896,0.182,4063,0.257,771473,0.297,0.129,779664700,-180272900 ( -18.8% ),99762,-24253 ( -19.6% ),17239393549,2075794,2,084_미녀와야수.xlsx
8,2017-03-24,939,0.187,4338,0.266,819501,0.307,0.194,1371221755,591557055 ( 75.9% ),158998,59236 ( 59.4% ),18610615304,2234792,2,084_미녀와야수.xlsx
9,2017-03-25,1221,0.22,5451,0.315,1007923,0.358,0.453,3859719239,2488497484 ( 181.5% ),456409,297411 ( 187.1% ),22470334543,2691201,1,084_미녀와야수.xlsx
10,2017-03-26,1256,0.228,5410,0.321,996235,0.363,0.415,3471299150,-388420089 ( -10.1% ),413463,-42946 ( -9.4% ),25941633693,3104664,1,084_미녀와야수.xlsx
11,2017-03-27,961,0.199,4373,0.281,823571,0.322,0.099,628933400,-2842365750 ( -81.9% ),81433,-332030 ( -80.3% ),26570567093,3186097,2,084_미녀와야수.xlsx
12,2017-03-28,974,0.195,4327,0.278,817736,0.32,0.09,570227800,-58705600 ( -9.3% ),73783,-7650 ( -9.4% ),27140794893,3259880,2,084_미녀와야수.xlsx
13,2017-03-29,758,0.146,2900,0.178,511308,0.191,0.24,699627100,129399300 ( 22.7% ),122513,48730 ( 66.0% ),27840421993,3382393,2,084_미녀와야수.xlsx
14,2017-03-30,740,0.145,2953,0.182,510861,0.192,0.123,476170800,-223456300 ( -31.9% ),62955,-59558 ( -48.6% ),28316592793,3445348,2,084_미녀와야수.xlsx
15,2017-03-31,811,0.156,3237,0.194,560429,0.205,0.189,879491663,403320863 ( 84.7% ),106055,43100 ( 68.5% ),29196084456,3551403,2,084_미녀와야수.xlsx
16,2017-04-01,1105,0.192,4370,0.251,759718,0.267,0.403,2553235820,1673744157 ( 190.3% ),306314,200259 ( 188.8% ),31749320276,3857717,1,084_미녀와야수.xlsx
17,2017-04-02,1123,0.203,4362,0.258,760456,0.274,0.315,1989683400,-563552420 ( -22.1% ),239654,-66660 ( -21.8% ),33739003676,4097371,1,084_미녀와야수.xlsx
18,2017-04-03,790,0.152,3181,0.203,586201,0.227,0.084,375622700,-1614060700 ( -81.1% ),49485,-190169 ( -79.4% ),34114626376,4146856,2,084_미녀와야수.xlsx
