,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2017-09-27,1687,0.315,7621,0.476,1429207,0.551,0.337,3056786300,3044285300 ( 24352.3% ),481948,480975 ( 49432.2% ),3106338300,487683,1,090_킹스맨 골든 서클.xlsx
1,2017-09-28,1582,0.301,7626,0.474,1432689,0.548,0.194,2166554100,-890232200 ( -29.1% ),278537,-203411 ( -42.2% ),5272892400,766220,1,090_킹스맨 골든 서클.xlsx
2,2017-09-29,1594,0.301,7905,0.474,1478563,0.549,0.234,2979805876,813251776 ( 37.5% ),345663,67126 ( 24.1% ),8252698276,1111883,1,090_킹스맨 골든 서클.xlsx
3,2017-09-30,1677,0.293,8543,0.469,1587453,0.546,0.39,5286736020,2306930144 ( 77.4% ),618884,273221 ( 79.0% ),13539434296,1730767,1,090_킹스맨 골든 서클.xlsx
4,2017-10-01,1678,0.294,8530,0.47,1587876,0.546,0.39,5369227400,82491380 ( 1.6% ),619904,1020 ( 0.2% ),18908661696,2350671,1,090_킹스맨 골든 서클.xlsx
5,2017-10-02,1661,0.289,8436,0.464,1567862,0.539,0.303,3667209900,-1702017500 ( -31.7% ),475202,-144702 ( -23.3% ),22575871596,2825873,1,090_킹스맨 골든 서클.xlsx
6,2017-10-03,1015,0.172,4636,0.251,822888,0.279,0.33,2389982500,-1277227400 ( -34.8% ),271178,-204024 ( -42.9% ),24965854096,3097051,2,090_킹스맨 골든 서클.xlsx
7,2017-10-04,995,0.169,4426,0.242,781158,0.267,0.36,2508907600,118925100 ( 5.0% ),280831,9653 ( 3.6% ),27474761696,3377882,2,090_킹스맨 골든 서클.xlsx
8,2017-10-05,945,0.155,4011,0.215,700108,0.235,0.438,2702210100,193302500 ( 7.7% ),306471,25640 ( 9.1% ),30176971796,3684353,2,090_킹스맨 골든 서클.xlsx
9,2017-10-06,910,0.143,3707,0.198,643283,0.215,0.445,2514100067,-188110033 ( -7.0% ),286426,-20045 ( -6.5% ),32691071863,3970779,3,090_킹스맨 골든 서클.xlsx
10,2017-10-07,878,0.137,3361,0.179,571556,0.191,0.397,1989296819,-524803248 ( -20.9% ),227000,-59426 ( -20.7% ),34680368682,4197779,3,090_킹스맨 골든 서클.xlsx
11,2017-10-08,857,0.132,3199,0.171,539732,0.18,0.377,1795106500,-194190319 ( -9.8% ),203249,-23751 ( -10.5% ),36475475182,4401028,3,090_킹스맨 골든 서클.xlsx
12,2017-10-09,793,0.13,2985,0.166,492508,0.171,0.289,1243415800,-551690700 ( -30.7% ),142491,-60758 ( -29.9% ),37718890982,4543519,3,090_킹스맨 골든 서클.xlsx
13,2017-10-10,725,0.155,2918,0.185,501109,0.194,0.091,352722200,-890693600 ( -71.6% ),45508,-96983 ( -68.1% ),38071613182,4589027,3,090_킹스맨 골든 서클.xlsx
14,2017-10-11,700,0.151,2880,0.182,499399,0.194,0.084,327388000,-25334200 ( -7.2% ),42007,-3501 ( -7.7% ),38399001182,4631034,3,090_킹스맨 골든 서클.xlsx
15,2017-10-12,505,0.099,1626,0.097,239984,0.087,0.117,212499900,-114888100 ( -35.1% ),27998,-14009 ( -33.3% ),38611501082,4659032,5,090_킹스맨 골든 서클.xlsx
16,2017-10-13,525,0.1,1638,0.097,238355,0.086,0.151,306182808,93682908 ( 44.1% ),35902,7904 ( 28.2% ),38917683890,4694934,5,090_킹스맨 골든 서클.xlsx
17,2017-10-14,543,0.094,1642,0.091,228641,0.079,0.279,549454546,243271738 ( 79.5% ),63696,27794 ( 77.4% ),39467138436,4758630,5,090_킹스맨 골든 서클.xlsx
18,2017-10-15,529,0.093,1614,0.092,227065,0.08,0.231,453251700,-96202846 ( -17.5% ),52430,-11266 ( -17.7% ),39920390136,4811060,5,090_킹스맨 골든 서클.xlsx
19,2017-10-16,510,0.104,1615,0.102,245275,0.095,0.087,162345500,-290906200 ( -64.2% ),21345,-31085 ( -59.3% ),40082735636,4832405,3,090_킹스맨 골든 서클.xlsx
20,2017-10-17,514,0.101,1603,0.101,243730,0.094,0.077,141347000,-20998500 ( -12.9% ),18669,-2676 ( -12.5% ),40224082636,4851074,4,090_킹스맨 골든 서클.xlsx
21,2017-10-18,510,0.1,1577,0.099,240980,0.093,0.074,135505500,-5841500 ( -4.1% ),17952,-717 ( -3.8% ),40359588136,4869026,4,090_킹스맨 골든 서클.xlsx
22,2017-10-19,302,0.052,553,0.033,80181,0.029,0.107,64536100,-70969400 ( -52.4% ),8586,-9366 ( -52.2% ),40424124236,4877612,5,090_킹스맨 골든 서클.xlsx
23,2017-10-20,310,0.051,558,0.032,80315,0.028,0.135,91908600,27372500 ( 42.4% ),10829,2243 ( 26.1% ),40516032836,4888441,5,090_킹스맨 골든 서클.xlsx
24,2017-10-21,311,0.048,570,0.031,77728,0.026,0.236,158682100,66773500 ( 72.7% ),18355,7526 ( 69.5% ),40674714936,4906796,5,090_킹스맨 골든 서클.xlsx
25,2017-10-22,309,0.049,542,0.03,73706,0.025,0.207,131762500,-26919600 ( -17.0% ),15283,-3072 ( -16.7% ),40806477436,4922079,5,090_킹스맨 골든 서클.xlsx
26,2017-10-23,297,0.054,565,0.034,80918,0.03,0.088,53480900,-78281600 ( -59.4% ),7090,-8193 ( -53.6% ),40859958336,4929169,5,090_킹스맨 골든 서클.xlsx
27,2017-10-24,297,0.052,564,0.034,81871,0.03,0.088,54327400,846500 ( 1.6% ),7164,74 ( 1.0% ),40914285736,4936333,5,090_킹스맨 골든 서클.xlsx
28,2017-10-25,28,0.005,35,0.002,5029,0.002,0.149,5335500,-48991900 ( -90.2% ),749,-6415 ( -89.5% ),40919621236,4937082,19,090_킹스맨 골든 서클.xlsx
29,2017-10-26,25,0.005,30,0.002,4222,0.002,0.125,4065000,-1270500 ( -23.8% ),529,-220 ( -29.4% ),40923686236,4937611,24,090_킹스맨 골든 서클.xlsx
30,2017-10-27,29,0.005,35,0.002,5062,0.002,0.193,8413000,4348000 ( 107.0% ),977,448 ( 84.7% ),40932099236,4938588,14,090_킹스맨 골든 서클.xlsx
31,2017-10-28,20,0.004,26,0.001,3995,0.001,0.243,8687000,274000 ( 3.3% ),972,-5 ( -0.5% ),40940786236,4939560,21,090_킹스맨 골든 서클.xlsx
32,2017-10-29,22,0.004,31,0.002,4692,0.002,0.188,7724000,-963000 ( -11.1% ),884,-88 ( -9.1% ),40948510236,4940444,20,090_킹스맨 골든 서클.xlsx
33,2017-10-30,28,0.006,39,0.002,6053,0.002,0.102,4757000,-2967000 ( -38.4% ),616,-268 ( -30.3% ),40953267236,4941060,17,090_킹스맨 골든 서클.xlsx
34,2017-10-31,25,0.005,35,0.002,5749,0.002,0.115,5104500,347500 ( 7.3% ),659,43 ( 7.0% ),40958371736,4941719,21,090_킹스맨 골든 서클.xlsx
35,2017-11-01,25,0.005,41,0.003,6993,0.003,0.074,3951500,-1153000 ( -22.6% ),519,-140 ( -21.2% ),40962323236,4942238,24,090_킹스맨 골든 서클.xlsx
36,2017-11-02,11,0.002,11,0.001,1571,0.001,0.087,1065000,-2886500 ( -73.0% ),136,-383 ( -73.8% ),40963388236,4942374,53,090_킹스맨 골든 서클.xlsx
37,2017-11-03,9,0.002,9,0.001,1105,0.0,0.107,956500,-108500 ( -10.2% ),118,-18 ( -13.2% ),40964344736,4942492,51,090_킹스맨 골든 서클.xlsx
38,2017-11-04,7,0.001,7,0.0,901,0.0,0.163,1199000,242500 ( 25.4% ),147,29 ( 24.6% ),40965543736,4942639,55,090_킹스맨 골든 서클.xlsx
39,2017-11-05,8,0.001,8,0.0,997,0.0,0.17,1407000,208000 ( 17.3% ),169,22 ( 15.0% ),40966950736,4942808,44,090_킹스맨 골든 서클.xlsx
40,2017-11-06,8,0.002,9,0.001,1107,0.0,0.108,952000,-455000 ( -32.3% ),120,-49 ( -29.0% ),40967902736,4942928,45,090_킹스맨 골든 서클.xlsx
41,2017-11-07,9,0.002,10,0.001,1207,0.0,0.094,881000,-71000 ( -7.5% ),113,-7 ( -5.8% ),40968783736,4943041,49,090_킹스맨 골든 서클.xlsx
42,2017-11-08,8,0.002,8,0.0,993,0.0,0.108,854000,-27000 ( -3.1% ),107,-6 ( -5.3% ),40969637736,4943148,54,090_킹스맨 골든 서클.xlsx
43,2017-11-09,6,0.001,6,0.0,735,0.0,0.094,541000,-313000 ( -36.7% ),69,-38 ( -35.5% ),40970178736,4943217,64,090_킹스맨 골든 서클.xlsx
44,2017-11-10,6,0.001,6,0.0,735,0.0,0.095,558000,17000 ( 3.1% ),70,1 ( 1.4% ),40970736736,4943287,56,090_킹스맨 골든 서클.xlsx
45,2017-11-11,5,0.001,6,0.0,707,0.0,0.156,894000,336000 ( 60.2% ),110,40 ( 57.1% ),40971630736,4943397,53,090_킹스맨 골든 서클.xlsx
46,2017-11-12,6,0.001,6,0.0,735,0.0,0.171,1040500,146500 ( 16.4% ),126,16 ( 14.5% ),40972671236,4943523,48,090_킹스맨 골든 서클.xlsx
47,2017-11-13,6,0.001,6,0.0,735,0.0,0.097,570000,-470500 ( -45.2% ),71,-55 ( -43.7% ),40973241236,4943594,57,090_킹스맨 골든 서클.xlsx
48,2017-11-14,5,0.001,5,0.0,631,0.0,0.114,580000,10000 ( 1.8% ),72,1 ( 1.4% ),40973821236,4943666,59,090_킹스맨 골든 서클.xlsx
49,2017-11-15,5,0.001,5,0.0,631,0.0,0.098,480000,-100000 ( -17.2% ),62,-10 ( -13.9% ),40974301236,4943728,68,090_킹스맨 골든 서클.xlsx
