,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2012-06-28,1001,0.319,4962,0.41,1074480,0.507,0.253,2368466000,2368466000 ( 100.0% ),272155,272155 ( 100.0% ),2416128000,277511,1,094_어메이징 스파이더맨.xlsx
1,2012-06-29,1013,0.312,5165,0.411,1116020,0.507,0.255,2552949142,184483142 ( 7.8% ),284826,12671 ( 4.7% ),4969077142,562337,1,094_어메이징 스파이더맨.xlsx
2,2012-06-30,1118,0.319,5984,0.448,1260033,0.543,0.5,5668397058,3115447916 ( 122.0% ),629713,344887 ( 121.1% ),10637474200,1192050,1,094_어메이징 스파이더맨.xlsx
3,2012-07-01,1107,0.324,5810,0.453,1227293,0.549,0.415,4595645000,-1072752058 ( -18.9% ),509439,-120274 ( -19.1% ),15233119200,1701489,1,094_어메이징 스파이더맨.xlsx
4,2012-07-02,992,0.32,4918,0.414,1066869,0.511,0.145,1331241500,-3264403500 ( -71.0% ),154745,-354694 ( -69.6% ),16564360700,1856234,1,094_어메이징 스파이더맨.xlsx
5,2012-07-03,987,0.315,4873,0.409,1059160,0.506,0.141,1281616000,-49625500 ( -3.7% ),149478,-5267 ( -3.4% ),17845976700,2005712,1,094_어메이징 스파이더맨.xlsx
6,2012-07-04,989,0.317,4878,0.41,1059423,0.507,0.144,1295085000,13469000 ( 1.1% ),152566,3088 ( 2.1% ),19141061700,2158278,1,094_어메이징 스파이더맨.xlsx
7,2012-07-05,836,0.253,4044,0.325,872728,0.398,0.171,1248601500,-46483500 ( -3.6% ),149364,-3202 ( -2.1% ),20389663200,2307642,2,094_어메이징 스파이더맨.xlsx
8,2012-07-06,868,0.251,4190,0.323,903072,0.397,0.235,1801791500,553190000 ( 44.3% ),212497,63133 ( 42.3% ),22191454700,2520139,2,094_어메이징 스파이더맨.xlsx
9,2012-07-07,899,0.24,4582,0.332,953687,0.394,0.484,3905609664,2103818164 ( 116.8% ),461584,249087 ( 117.2% ),26097064364,2981723,1,094_어메이징 스파이더맨.xlsx
10,2012-07-08,887,0.239,4387,0.33,912508,0.391,0.425,3268666000,-636943664 ( -16.3% ),387876,-73708 ( -16.0% ),29365730364,3369599,2,094_어메이징 스파이더맨.xlsx
