,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2018-10-31,1081,0.181,4950,0.274,915067,0.321,0.3,1658691350,1643612850 ( 10900.4% ),274118,272136 ( 13730.4% ),2088631750,321228,1,080_완벽한 타인.xlsx
1,2018-11-01,1048,0.182,5005,0.285,922448,0.332,0.185,1373169850,-285521500 ( -17.2% ),170213,-103905 ( -37.9% ),3461801600,491441,1,080_완벽한 타인.xlsx
2,2018-11-02,1122,0.19,5440,0.301,990879,0.347,0.25,2191111530,817941680 ( 59.6% ),248122,77909 ( 45.8% ),5652913130,739563,1,080_완벽한 타인.xlsx
3,2018-11-03,1305,0.207,6631,0.347,1206330,0.403,0.394,4233013731,2041902201 ( 93.2% ),474745,226623 ( 91.3% ),9885926861,1214308,1,080_완벽한 타인.xlsx
4,2018-11-04,1313,0.212,6585,0.355,1192198,0.409,0.378,4023095950,-209917781 ( -5.0% ),450294,-24451 ( -5.2% ),13909022811,1664602,1,080_완벽한 타인.xlsx
5,2018-11-05,1189,0.218,6091,0.362,1106584,0.412,0.167,1501357800,-2521738150 ( -62.7% ),185179,-265115 ( -58.9% ),15410380611,1849781,1,080_완벽한 타인.xlsx
6,2018-11-06,1214,0.219,6161,0.368,1115027,0.418,0.161,1441506900,-59850900 ( -4.0% ),179137,-6042 ( -3.3% ),16851887511,2028918,1,080_완벽한 타인.xlsx
7,2018-11-07,1258,0.243,6283,0.364,1128463,0.411,0.157,1431538500,-9968400 ( -0.7% ),177435,-1702 ( -1.0% ),18283426011,2206353,1,080_완벽한 타인.xlsx
8,2018-11-08,1256,0.224,6073,0.35,1102902,0.4,0.154,1370107850,-61430650 ( -4.3% ),169783,-7652 ( -4.3% ),19653533861,2376136,1,080_완벽한 타인.xlsx
9,2018-11-09,1285,0.225,6410,0.358,1167373,0.411,0.193,1988304437,618196587 ( 45.1% ),225144,55361 ( 32.6% ),21641838298,2601280,1,080_완벽한 타인.xlsx
10,2018-11-10,1325,0.22,6948,0.365,1266427,0.424,0.321,3628542801,1640238364 ( 82.5% ),407144,182000 ( 80.8% ),25270381099,3008424,1,080_완벽한 타인.xlsx
11,2018-11-11,1322,0.217,6793,0.365,1236199,0.423,0.297,3283527250,-345015551 ( -9.5% ),367324,-39820 ( -9.8% ),28553908349,3375748,1,080_완벽한 타인.xlsx
12,2018-11-12,1231,0.238,6318,0.375,1150942,0.427,0.111,1028331800,-2255195450 ( -68.7% ),127366,-239958 ( -65.3% ),29582240149,3503114,1,080_완벽한 타인.xlsx
13,2018-11-13,1252,0.233,6342,0.375,1148931,0.427,0.102,941637350,-86694450 ( -8.4% ),117089,-10277 ( -8.1% ),30523877499,3620203,2,080_완벽한 타인.xlsx
14,2018-11-14,823,0.174,3637,0.214,500850,0.187,0.234,925691450,-15945900 ( -1.7% ),117230,141 ( 0.1% ),31449568949,3737433,3,080_완벽한 타인.xlsx
15,2018-11-15,853,0.151,3211,0.184,446938,0.163,0.256,873151350,-52540100 ( -5.7% ),114544,-2686 ( -2.3% ),32322720299,3851977,3,080_완벽한 타인.xlsx
16,2018-11-16,866,0.156,3377,0.192,470006,0.17,0.274,1096988607,223837257 ( 25.6% ),128960,14416 ( 12.6% ),33419708906,3980937,3,080_완벽한 타인.xlsx
17,2018-11-17,899,0.146,3420,0.186,471829,0.164,0.417,1722727168,625738561 ( 57.0% ),196946,67986 ( 52.7% ),35142436074,4177883,3,080_완벽한 타인.xlsx
18,2018-11-18,883,0.144,3366,0.188,467156,0.167,0.369,1507846650,-214880518 ( -12.5% ),172589,-24357 ( -12.4% ),36650282724,4350472,3,080_완벽한 타인.xlsx
19,2018-11-19,849,0.163,3434,0.208,468708,0.181,0.165,604191700,-903654950 ( -59.9% ),77444,-95145 ( -55.1% ),37254474424,4427916,3,080_완벽한 타인.xlsx
20,2018-11-20,864,0.157,3416,0.207,473851,0.182,0.147,544751150,-59440550 ( -9.8% ),69729,-7715 ( -10.0% ),37799225574,4497645,3,080_완벽한 타인.xlsx
21,2018-11-21,874,0.166,3587,0.218,497637,0.192,0.15,579998500,35247350 ( 6.5% ),74473,4744 ( 6.8% ),38379224074,4572118,3,080_완벽한 타인.xlsx
22,2018-11-22,675,0.124,2432,0.142,322506,0.119,0.159,403286450,-176712050 ( -30.5% ),51202,-23271 ( -31.2% ),38782510524,4623320,4,080_완벽한 타인.xlsx
23,2018-11-23,719,0.131,2550,0.145,340788,0.123,0.187,555013400,151726950 ( 37.6% ),63772,12570 ( 24.5% ),39337523924,4687092,4,080_완벽한 타인.xlsx
24,2018-11-24,731,0.126,2641,0.142,358308,0.123,0.306,977762250,422748850 ( 76.2% ),109493,45721 ( 71.7% ),40315286174,4796585,4,080_완벽한 타인.xlsx
25,2018-11-25,721,0.125,2546,0.14,343710,0.121,0.273,827417550,-150344700 ( -15.4% ),93769,-15724 ( -14.4% ),41142703724,4890354,4,080_완벽한 타인.xlsx
26,2018-11-26,660,0.129,2454,0.146,329783,0.124,0.123,315993550,-511424000 ( -61.8% ),40652,-53117 ( -56.6% ),41458697274,4931006,3,080_완벽한 타인.xlsx
27,2018-11-27,681,0.124,2386,0.146,318754,0.124,0.12,296752200,-19241350 ( -6.1% ),38368,-2284 ( -5.6% ),41755449474,4969374,3,080_완벽한 타인.xlsx
28,2018-11-28,537,0.093,1131,0.064,139559,0.05,0.257,218425100,-78327100 ( -26.4% ),35837,-2531 ( -6.6% ),41973874574,5005211,5,080_완벽한 타인.xlsx
29,2018-11-29,483,0.085,1033,0.058,126807,0.045,0.178,174118700,-44306400 ( -20.3% ),22632,-13205 ( -36.8% ),42147993274,5027843,5,080_완벽한 타인.xlsx
30,2018-11-30,499,0.086,1061,0.058,129876,0.045,0.218,237894700,63776000 ( 36.6% ),28259,5627 ( 24.9% ),42385887974,5056102,5,080_완벽한 타인.xlsx
31,2018-12-01,541,0.09,1160,0.061,141659,0.048,0.29,368916300,131021600 ( 55.1% ),41080,12821 ( 45.4% ),42754804274,5097182,5,080_완벽한 타인.xlsx
32,2018-12-02,548,0.091,1154,0.062,141338,0.048,0.247,312692700,-56223600 ( -15.2% ),34861,-6219 ( -15.1% ),43067496974,5132043,5,080_완벽한 타인.xlsx
33,2018-12-03,514,0.094,1190,0.068,145938,0.053,0.115,133056500,-179636200 ( -57.4% ),16855,-18006 ( -51.7% ),43200553474,5148898,5,080_완벽한 타인.xlsx
34,2018-12-04,517,0.09,1176,0.067,144099,0.052,0.123,136206500,3150000 ( 2.4% ),17672,817 ( 4.8% ),43336759974,5166570,4,080_완벽한 타인.xlsx
