,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2013-06-05,937,0.265,4581,0.349,951195,0.432,0.524,3323467500,3319712500 ( 88407.8% ),498158,497454 ( 70661.1% ),3395250500,507786,1,048_은밀하게 위대하게.xlsx
1,2013-06-06,1194,0.299,5757,0.411,1152035,0.494,0.798,6508363000,3184895500 ( 95.8% ),919010,420852 ( 84.5% ),9903613500,1426796,1,048_은밀하게 위대하게.xlsx
2,2013-06-07,1175,0.307,5623,0.412,1125941,0.493,0.469,3721579596,-2786783404 ( -42.8% ),528107,-390903 ( -42.5% ),13625193096,1954903,1,048_은밀하게 위대하게.xlsx
3,2013-06-08,1341,0.328,6752,0.471,1322055,0.553,0.621,5912040087,2190460491 ( 58.9% ),820469,292362 ( 55.4% ),19537233183,2775372,1,048_은밀하게 위대하게.xlsx
4,2013-06-09,1310,0.326,6478,0.469,1270105,0.551,0.564,5104866000,-807174087 ( -13.7% ),715908,-104561 ( -12.7% ),24642099183,3491280,1,048_은밀하게 위대하게.xlsx
5,2013-06-10,1027,0.303,5095,0.412,1048557,0.501,0.195,1377879500,-3726986500 ( -73.0% ),204674,-511234 ( -71.4% ),26019978683,3695954,1,048_은밀하게 위대하게.xlsx
6,2013-06-11,1037,0.299,5090,0.416,1045881,0.505,0.171,1187756000,-190123500 ( -13.8% ),178403,-26271 ( -12.8% ),27207734683,3874357,1,048_은밀하게 위대하게.xlsx
7,2013-06-12,1023,0.297,5096,0.412,1048907,0.501,0.18,1252616000,64860000 ( 5.5% ),188287,9884 ( 5.5% ),28460350683,4062644,1,048_은밀하게 위대하게.xlsx
8,2013-06-13,862,0.279,4495,0.375,815651,0.403,0.185,1011005000,-241611000 ( -19.3% ),151216,-37071 ( -19.7% ),29471355683,4213860,2,048_은밀하게 위대하게.xlsx
9,2013-06-14,871,0.276,4682,0.374,846261,0.403,0.262,1575854047,564849047 ( 55.9% ),221473,70257 ( 46.5% ),31047209730,4435333,1,048_은밀하게 위대하게.xlsx
10,2013-06-15,925,0.272,5047,0.378,908664,0.407,0.506,3300640042,1724785995 ( 109.5% ),459524,238051 ( 107.5% ),34347849772,4894857,1,048_은밀하게 위대하게.xlsx
11,2013-06-16,923,0.276,4883,0.38,877537,0.408,0.425,2656629000,-644011042 ( -19.5% ),372936,-86588 ( -18.8% ),37004478772,5267793,1,048_은밀하게 위대하게.xlsx
12,2013-06-17,837,0.277,4362,0.373,785610,0.398,0.129,681228000,-1975401000 ( -74.4% ),101517,-271419 ( -72.8% ),37685706772,5369310,1,048_은밀하게 위대하게.xlsx
13,2013-06-18,850,0.276,4326,0.371,778723,0.397,0.135,692601000,11373000 ( 1.7% ),104928,3411 ( 3.4% ),38378307772,5474238,1,048_은밀하게 위대하게.xlsx
14,2013-06-19,847,0.277,4321,0.371,779194,0.398,0.142,730746500,38145500 ( 5.5% ),110406,5478 ( 5.2% ),39109054272,5584644,1,048_은밀하게 위대하게.xlsx
15,2013-06-20,617,0.192,2960,0.234,500666,0.235,0.173,575872500,-154874000 ( -21.2% ),86481,-23925 ( -21.7% ),39684926772,5671125,2,048_은밀하게 위대하게.xlsx
16,2013-06-21,628,0.191,3099,0.233,520410,0.233,0.207,773122077,197249577 ( 34.3% ),107800,21319 ( 24.7% ),40458048849,5778925,2,048_은밀하게 위대하게.xlsx
17,2013-06-22,649,0.182,3254,0.229,540499,0.227,0.39,1538120564,764998487 ( 98.9% ),210625,102825 ( 95.4% ),41996169413,5989550,2,048_은밀하게 위대하게.xlsx
18,2013-06-23,633,0.18,3113,0.227,516554,0.224,0.361,1354044000,-184076564 ( -12.0% ),186425,-24200 ( -11.5% ),43350213413,6175975,2,048_은밀하게 위대하게.xlsx
19,2013-06-24,609,0.191,2923,0.232,481988,0.227,0.138,443334500,-910709500 ( -67.3% ),66734,-119691 ( -64.2% ),43793547913,6242709,2,048_은밀하게 위대하게.xlsx
20,2013-06-25,609,0.187,2901,0.231,478838,0.225,0.129,403877500,-39457000 ( -8.9% ),61603,-5131 ( -7.7% ),44197425413,6304312,2,048_은밀하게 위대하게.xlsx
21,2013-06-26,608,0.185,2913,0.23,477499,0.224,0.126,398512500,-5365000 ( -1.3% ),60386,-1217 ( -2.0% ),44595937913,6364698,2,048_은밀하게 위대하게.xlsx
22,2013-06-27,377,0.12,1699,0.13,248900,0.112,0.176,286218000,-112294500 ( -28.2% ),43903,-16483 ( -27.3% ),44882155913,6408601,4,048_은밀하게 위대하게.xlsx
23,2013-06-28,371,0.114,1747,0.128,257453,0.112,0.199,358026000,71808000 ( 25.1% ),51285,7382 ( 16.8% ),45240181913,6459886,4,048_은밀하게 위대하게.xlsx
24,2013-06-29,383,0.108,1813,0.125,270763,0.111,0.353,694392000,336366000 ( 94.0% ),95462,44177 ( 86.1% ),45934573913,6555348,4,048_은밀하게 위대하게.xlsx
25,2013-06-30,377,0.108,1735,0.125,258263,0.11,0.329,614726500,-79665500 ( -11.5% ),85017,-10445 ( -10.9% ),46549300413,6640365,4,048_은밀하게 위대하게.xlsx
26,2013-07-01,368,0.118,1647,0.127,242476,0.11,0.125,205095000,-409631500 ( -66.6% ),30326,-54691 ( -64.3% ),46754395413,6670691,4,048_은밀하게 위대하게.xlsx
27,2013-07-02,370,0.116,1655,0.127,243046,0.11,0.129,212478500,7383500 ( 3.6% ),31436,1110 ( 3.7% ),46966873913,6702127,4,048_은밀하게 위대하게.xlsx
28,2013-07-03,299,0.097,1240,0.094,166641,0.075,0.143,158695500,-53783000 ( -25.3% ),23861,-7575 ( -24.1% ),47125569413,6725988,4,048_은밀하게 위대하게.xlsx
29,2013-07-04,270,0.082,829,0.064,104576,0.047,0.173,119367000,-39328500 ( -24.8% ),18140,-5721 ( -24.0% ),47244936413,6744128,5,048_은밀하게 위대하게.xlsx
30,2013-07-05,276,0.08,844,0.062,104833,0.046,0.218,159180500,39813500 ( 33.4% ),22805,4665 ( 25.7% ),47404116913,6766933,5,048_은밀하게 위대하게.xlsx
31,2013-07-06,272,0.074,801,0.055,99658,0.041,0.478,326329500,167149000 ( 105.0% ),47682,24877 ( 109.1% ),47730446413,6814615,5,048_은밀하게 위대하게.xlsx
32,2013-07-07,267,0.074,781,0.056,97480,0.042,0.422,281988500,-44341000 ( -13.6% ),41170,-6512 ( -13.7% ),48012434913,6855785,5,048_은밀하게 위대하게.xlsx
33,2013-07-08,274,0.084,826,0.064,103377,0.047,0.107,73838000,-208150500 ( -73.8% ),11113,-30057 ( -73.0% ),48086272913,6866898,5,048_은밀하게 위대하게.xlsx
34,2013-07-09,269,0.081,829,0.064,103049,0.047,0.131,87855000,14017000 ( 19.0% ),13448,2335 ( 21.0% ),48174127913,6880346,5,048_은밀하게 위대하게.xlsx
35,2013-07-10,266,0.078,816,0.063,102530,0.047,0.126,85178500,-2676500 ( -3.0% ),12896,-552 ( -4.1% ),48259306413,6893242,5,048_은밀하게 위대하게.xlsx
36,2013-07-11,128,0.04,302,0.023,37170,0.017,0.144,34877500,-50301000 ( -59.1% ),5365,-7531 ( -58.4% ),48294183913,6898607,6,048_은밀하게 위대하게.xlsx
37,2013-07-12,128,0.039,297,0.022,35629,0.016,0.166,40808000,5930500 ( 17.0% ),5902,537 ( 10.0% ),48334991913,6904509,6,048_은밀하게 위대하게.xlsx
38,2013-07-13,126,0.036,250,0.018,31171,0.013,0.435,93560000,52752000 ( 129.3% ),13561,7659 ( 129.8% ),48428551913,6918070,5,048_은밀하게 위대하게.xlsx
39,2013-07-14,141,0.041,256,0.019,31864,0.014,0.466,102845500,9285500 ( 9.9% ),14852,1291 ( 9.5% ),48531397413,6932922,5,048_은밀하게 위대하게.xlsx
40,2013-07-15,129,0.041,315,0.024,39483,0.018,0.122,30808500,-72037000 ( -70.0% ),4823,-10029 ( -67.5% ),48562205913,6937745,7,048_은밀하게 위대하게.xlsx
41,2013-07-16,129,0.04,316,0.025,39851,0.018,0.132,33093500,2285000 ( 7.4% ),5256,433 ( 9.0% ),48595299413,6943001,6,048_은밀하게 위대하게.xlsx
42,2013-07-17,82,0.026,170,0.013,20812,0.01,0.136,18282500,-14811000 ( -44.8% ),2822,-2434 ( -46.3% ),48613581913,6945823,6,048_은밀하게 위대하게.xlsx
43,2013-07-18,28,0.008,46,0.004,5267,0.002,0.148,4954500,-13328000 ( -72.9% ),782,-2040 ( -72.3% ),48618536413,6946605,11,048_은밀하게 위대하게.xlsx
44,2013-07-19,34,0.01,55,0.004,6595,0.003,0.148,6718500,1764000 ( 35.6% ),973,191 ( 24.4% ),48625254913,6947578,10,048_은밀하게 위대하게.xlsx
45,2013-07-20,28,0.007,45,0.003,4832,0.002,0.315,10864500,4146000 ( 61.7% ),1522,549 ( 56.4% ),48636119413,6949100,10,048_은밀하게 위대하게.xlsx
46,2013-07-21,29,0.008,45,0.003,4850,0.002,0.338,11304500,440000 ( 4.0% ),1640,118 ( 7.8% ),48647423913,6950740,10,048_은밀하게 위대하게.xlsx
47,2013-07-22,34,0.011,60,0.005,7210,0.003,0.13,5790500,-5514000 ( -48.8% ),937,-703 ( -42.9% ),48653214413,6951677,9,048_은밀하게 위대하게.xlsx
48,2013-07-23,33,0.01,59,0.004,6954,0.003,0.151,6601500,811000 ( 14.0% ),1050,113 ( 12.1% ),48659815913,6952727,11,048_은밀하게 위대하게.xlsx
49,2013-07-24,29,0.007,46,0.003,5155,0.002,0.172,5699500,-902000 ( -13.7% ),887,-163 ( -15.5% ),48665515413,6953614,11,048_은밀하게 위대하게.xlsx
50,2013-07-25,6,0.002,6,0.0,850,0.0,0.251,1367000,-4332500 ( -76.0% ),213,-674 ( -76.0% ),48666882413,6953827,22,048_은밀하게 위대하게.xlsx
51,2013-07-26,7,0.002,7,0.0,1015,0.0,0.259,1974000,607000 ( 44.4% ),263,50 ( 23.5% ),48668856413,6954090,20,048_은밀하게 위대하게.xlsx
52,2013-07-27,7,0.002,7,0.0,807,0.0,0.335,1991000,17000 ( 0.9% ),270,7 ( 2.7% ),48670847413,6954360,22,048_은밀하게 위대하게.xlsx
53,2013-07-28,8,0.002,11,0.001,1107,0.0,0.384,3241500,1250500 ( 62.8% ),425,155 ( 57.4% ),48674088913,6954785,22,048_은밀하게 위대하게.xlsx
54,2013-07-29,14,0.004,19,0.001,2330,0.001,0.26,4201000,959500 ( 29.6% ),606,181 ( 42.6% ),48678289913,6955391,18,048_은밀하게 위대하게.xlsx
55,2013-07-30,17,0.005,23,0.002,3305,0.001,0.432,7739000,3538000 ( 84.2% ),1428,822 ( 135.6% ),48686028913,6956819,11,048_은밀하게 위대하게.xlsx
56,2013-07-31,7,0.002,9,0.001,1366,0.001,0.57,4360000,-3379000 ( -43.7% ),779,-649 ( -45.4% ),48690388913,6957598,18,048_은밀하게 위대하게.xlsx
57,2013-08-01,9,0.002,9,0.001,1180,0.0,0.236,1849500,-2510500 ( -57.6% ),279,-500 ( -64.2% ),48692238413,6957877,20,048_은밀하게 위대하게.xlsx
58,2013-08-02,9,0.002,9,0.001,1180,0.0,0.228,1931000,81500 ( 4.4% ),269,-10 ( -3.6% ),48694169413,6958146,22,048_은밀하게 위대하게.xlsx
59,2013-08-03,8,0.002,9,0.001,1112,0.0,0.26,2138000,207000 ( 10.7% ),289,20 ( 7.4% ),48696307413,6958435,20,048_은밀하게 위대하게.xlsx
60,2013-08-04,7,0.002,8,0.001,1007,0.0,0.298,2134000,-4000 ( -0.2% ),300,11 ( 3.8% ),48698441413,6958735,20,048_은밀하게 위대하게.xlsx
61,2013-08-05,6,0.002,7,0.0,924,0.0,0.107,644000,-1490000 ( -69.8% ),99,-201 ( -67.0% ),48699085413,6958834,35,048_은밀하게 위대하게.xlsx
62,2013-08-06,4,0.001,7,0.0,886,0.0,0.094,617000,-27000 ( -4.2% ),83,-16 ( -16.2% ),48699702413,6958917,37,048_은밀하게 위대하게.xlsx
63,2013-08-07,4,0.001,9,0.001,960,0.0,0.105,729000,112000 ( 18.2% ),101,18 ( 21.7% ),48700431413,6959018,40,048_은밀하게 위대하게.xlsx
64,2013-08-08,2,0.0,2,0.0,326,0.0,0.034,78000,-651000 ( -89.3% ),11,-90 ( -89.1% ),48700509413,6959029,76,048_은밀하게 위대하게.xlsx
65,2013-08-09,2,0.0,2,0.0,311,0.0,0.045,98000,20000 ( 25.6% ),14,3 ( 27.3% ),48700607413,6959043,71,048_은밀하게 위대하게.xlsx
66,2013-08-10,2,0.0,2,0.0,326,0.0,0.012,28000,-70000 ( -71.4% ),4,-10 ( -71.4% ),48700635413,6959047,86,048_은밀하게 위대하게.xlsx
