,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2019-08-07,1392,0.204,5801,0.278,1010808,0.313,0.33,2641100940,2603067140 ( 6844.1% ),333867,330606 ( 10138.2% ),2806503060,352270,1,097_봉오동 전투.xlsx
1,2019-08-08,1373,0.194,5825,0.28,1021338,0.316,0.271,2222870960,-418229980 ( -15.8% ),276819,-57048 ( -17.1% ),5029374020,629089,2,097_봉오동 전투.xlsx
2,2019-08-09,1410,0.196,6051,0.286,1046123,0.319,0.285,2621104046,398233086 ( 17.9% ),297680,20861 ( 7.5% ),7650478066,926769,2,097_봉오동 전투.xlsx
3,2019-08-10,1463,0.202,6367,0.296,1079050,0.324,0.525,5017737807,2396633761 ( 91.4% ),566524,268844 ( 90.3% ),12668215873,1493293,2,097_봉오동 전투.xlsx
4,2019-08-11,1476,0.205,6378,0.302,1073967,0.329,0.502,4760704740,-257033067 ( -5.1% ),539026,-27498 ( -4.9% ),17428920613,2032319,1,097_봉오동 전투.xlsx
5,2019-08-12,1383,0.206,6201,0.307,1050843,0.335,0.209,1778015680,-2982689060 ( -62.7% ),219475,-319551 ( -59.3% ),19206936293,2251794,1,097_봉오동 전투.xlsx
6,2019-08-13,1430,0.206,6251,0.308,1055751,0.336,0.192,1625462500,-152553180 ( -8.6% ),202972,-16503 ( -7.5% ),20832398793,2454766,1,097_봉오동 전투.xlsx
7,2019-08-14,1192,0.184,5005,0.247,802528,0.257,0.267,1719469180,94006680 ( 5.8% ),214383,11411 ( 5.6% ),22551867973,2669149,2,097_봉오동 전투.xlsx
8,2019-08-15,1234,0.174,5213,0.248,859703,0.267,0.558,4160776610,2441307430 ( 142.0% ),479598,265215 ( 123.7% ),26712644583,3148747,2,097_봉오동 전투.xlsx
9,2019-08-16,1163,0.17,4946,0.24,809511,0.255,0.252,1778793687,-2381982923 ( -57.2% ),203671,-275927 ( -57.5% ),28491438270,3352418,2,097_봉오동 전투.xlsx
10,2019-08-17,1183,0.17,5053,0.24,813244,0.253,0.391,2809144588,1030350901 ( 57.9% ),318038,114367 ( 56.2% ),31300582858,3670456,2,097_봉오동 전투.xlsx
11,2019-08-18,1183,0.172,4893,0.239,785054,0.25,0.343,2381109970,-428034618 ( -15.2% ),269518,-48520 ( -15.3% ),33681692828,3939974,2,097_봉오동 전투.xlsx
12,2019-08-19,1105,0.176,4686,0.246,738100,0.252,0.126,754699120,-1626410850 ( -68.3% ),93067,-176451 ( -65.5% ),34436391948,4033041,3,097_봉오동 전투.xlsx
13,2019-08-20,1128,0.176,4635,0.244,729897,0.25,0.119,692321950,-62377170 ( -8.3% ),86783,-6284 ( -6.8% ),35128713898,4119824,3,097_봉오동 전투.xlsx
14,2019-08-21,876,0.152,3295,0.17,520021,0.175,0.127,524479340,-167842610 ( -24.2% ),66044,-20739 ( -23.9% ),35653193238,4185868,5,097_봉오동 전투.xlsx
15,2019-08-22,805,0.133,2859,0.146,452262,0.15,0.125,449595710,-74883630 ( -14.3% ),56401,-9643 ( -14.6% ),36102788948,4242269,5,097_봉오동 전투.xlsx
16,2019-08-23,771,0.126,2739,0.137,428384,0.14,0.137,509468500,59872790 ( 13.3% ),58760,2359 ( 4.2% ),36612257448,4301029,5,097_봉오동 전투.xlsx
17,2019-08-24,741,0.111,2586,0.124,394924,0.124,0.275,954400730,444932230 ( 87.3% ),108596,49836 ( 84.8% ),37566658178,4409625,5,097_봉오동 전투.xlsx
18,2019-08-25,728,0.11,2501,0.123,374642,0.12,0.259,853234980,-101165750 ( -10.6% ),97010,-11586 ( -10.7% ),38419893158,4506635,5,097_봉오동 전투.xlsx
19,2019-08-26,715,0.125,2375,0.126,344990,0.118,0.097,265571010,-587663970 ( -68.9% ),33377,-63633 ( -65.6% ),38685464168,4540012,4,097_봉오동 전투.xlsx
20,2019-08-27,725,0.123,2362,0.125,340030,0.116,0.1,267117690,1546680 ( 0.6% ),34053,676 ( 2.0% ),38952581858,4574065,5,097_봉오동 전투.xlsx
21,2019-08-28,544,0.079,1064,0.054,133510,0.044,0.273,217689690,-49428000 ( -18.5% ),36408,2355 ( 6.9% ),39170271548,4610473,6,097_봉오동 전투.xlsx
22,2019-08-29,505,0.078,998,0.052,125191,0.042,0.136,130213570,-87476120 ( -40.2% ),16978,-19430 ( -53.4% ),39300485118,4627451,6,097_봉오동 전투.xlsx
23,2019-08-30,513,0.076,1003,0.051,126708,0.042,0.142,149143940,18930370 ( 14.5% ),17957,979 ( 5.8% ),39449629058,4645408,6,097_봉오동 전투.xlsx
24,2019-08-31,512,0.072,976,0.047,122643,0.038,0.262,271339120,122195180 ( 81.9% ),32076,14119 ( 78.6% ),39720968178,4677484,6,097_봉오동 전투.xlsx
25,2019-09-01,499,0.069,925,0.046,116775,0.038,0.253,249028200,-22310920 ( -8.2% ),29522,-2554 ( -8.0% ),39969996378,4707006,6,097_봉오동 전투.xlsx
26,2019-09-02,484,0.077,951,0.052,118703,0.041,0.096,86916470,-162111730 ( -65.1% ),11404,-18118 ( -61.4% ),40056912848,4718410,6,097_봉오동 전투.xlsx
27,2019-09-03,485,0.075,939,0.051,118168,0.041,0.086,77519450,-9397020 ( -10.8% ),10184,-1220 ( -10.7% ),40134432298,4728594,6,097_봉오동 전투.xlsx
28,2019-09-04,344,0.051,557,0.031,69626,0.025,0.098,50523130,-26996320 ( -34.8% ),6810,-3374 ( -33.1% ),40184955428,4735404,8,097_봉오동 전투.xlsx
29,2019-09-05,325,0.047,524,0.029,65846,0.024,0.08,39238970,-11284160 ( -22.3% ),5247,-1563 ( -23.0% ),40224194398,4740651,10,097_봉오동 전투.xlsx
30,2019-09-06,336,0.048,546,0.03,69028,0.025,0.086,48824350,9585380 ( 24.4% ),5930,683 ( 13.0% ),40273018748,4746581,10,097_봉오동 전투.xlsx
31,2019-09-07,330,0.045,512,0.026,61808,0.02,0.167,87979300,39154950 ( 80.2% ),10342,4412 ( 74.4% ),40360998048,4756923,9,097_봉오동 전투.xlsx
32,2019-09-08,332,0.045,510,0.026,62049,0.021,0.164,85101530,-2877770 ( -3.3% ),10169,-173 ( -1.7% ),40446099578,4767092,9,097_봉오동 전투.xlsx
33,2019-09-09,335,0.051,515,0.03,64925,0.025,0.058,27866960,-57234570 ( -67.3% ),3798,-6371 ( -62.7% ),40473966538,4770890,9,097_봉오동 전투.xlsx
34,2019-09-10,334,0.05,508,0.03,64306,0.025,0.057,26938820,-928140 ( -3.3% ),3659,-139 ( -3.7% ),40500905358,4774549,10,097_봉오동 전투.xlsx
35,2019-09-11,31,0.005,37,0.002,4548,0.001,0.109,3288000,-23650820 ( -87.8% ),497,-3162 ( -86.4% ),40504193358,4775046,20,097_봉오동 전투.xlsx
36,2019-09-12,29,0.004,35,0.002,4246,0.001,0.208,7734940,4446940 ( 135.2% ),882,385 ( 77.5% ),40511928298,4775928,17,097_봉오동 전투.xlsx
37,2019-09-13,24,0.004,30,0.001,3426,0.001,0.334,10369020,2634080 ( 34.1% ),1143,261 ( 29.6% ),40522297318,4777071,16,097_봉오동 전투.xlsx
38,2019-09-14,20,0.003,24,0.001,2825,0.001,0.211,5068160,-5300860 ( -51.1% ),595,-548 ( -47.9% ),40527365478,4777666,21,097_봉오동 전투.xlsx
39,2019-09-15,20,0.003,24,0.001,2929,0.001,0.101,2434700,-2633460 ( -52.0% ),295,-300 ( -50.4% ),40529800178,4777961,30,097_봉오동 전투.xlsx
40,2019-09-16,25,0.004,32,0.002,4476,0.002,0.05,1349480,-1085220 ( -44.6% ),224,-71 ( -24.1% ),40531149658,4778185,30,097_봉오동 전투.xlsx
41,2019-09-17,44,0.008,48,0.003,5937,0.002,0.172,5656480,4307000 ( 319.2% ),1023,799 ( 356.7% ),40536806138,4779208,11,097_봉오동 전투.xlsx
42,2019-09-18,15,0.003,15,0.001,1813,0.001,0.091,924500,-4731980 ( -83.7% ),165,-858 ( -83.9% ),40537730638,4779373,34,097_봉오동 전투.xlsx
43,2019-09-19,34,0.006,34,0.002,4293,0.002,0.29,6683500,5759000 ( 622.9% ),1247,1082 ( 655.8% ),40544414138,4780620,15,097_봉오동 전투.xlsx
44,2019-09-20,7,0.001,8,0.0,448,0.0,0.321,782800,-5900700 ( -88.3% ),144,-1103 ( -88.5% ),40545196938,4780764,39,097_봉오동 전투.xlsx
45,2019-09-21,6,0.001,6,0.0,509,0.0,0.204,582000,-200800 ( -25.7% ),104,-40 ( -27.8% ),40545778938,4780868,52,097_봉오동 전투.xlsx
46,2019-09-22,2,0.0,2,0.0,106,0.0,0.189,165000,-417000 ( -71.6% ),20,-84 ( -80.8% ),40545943938,4780888,66,097_봉오동 전투.xlsx
47,2019-09-23,8,0.002,8,0.0,768,0.0,0.355,1399000,1234000 ( 747.9% ),273,253 ( 1265.0% ),40547342938,4781161,27,097_봉오동 전투.xlsx
48,2019-09-24,12,0.002,12,0.001,1208,0.0,0.507,4216500,2817500 ( 201.4% ),612,339 ( 124.2% ),40551559438,4781773,24,097_봉오동 전투.xlsx
49,2019-09-25,4,0.001,4,0.0,244,0.0,0.201,247000,-3969500 ( -94.1% ),49,-563 ( -92.0% ),40551806438,4781822,68,097_봉오동 전투.xlsx
50,2019-09-26,7,0.001,7,0.0,983,0.0,0.623,4624500,4377500 ( 1772.3% ),612,563 ( 1149.0% ),40556430938,4782434,26,097_봉오동 전투.xlsx
51,2019-09-27,1,0.0,1,0.0,35,0.0,0.057,13000,-4611500 ( -99.7% ),2,-610 ( -99.7% ),40556443938,4782436,116,097_봉오동 전투.xlsx
52,2019-09-28,2,0.0,2,0.0,249,0.0,0.056,82300,69300 ( 533.1% ),14,12 ( 600.0% ),40556526238,4782450,94,097_봉오동 전투.xlsx
53,2019-09-29,1,0.0,1,0.0,42,0.0,0.071,20300,-62000 ( -75.3% ),3,-11 ( -78.6% ),40556546538,4782453,104,097_봉오동 전투.xlsx
54,2019-09-30,4,0.001,4,0.0,372,0.0,0.312,642000,621700 ( 3062.6% ),116,113 ( 3766.7% ),40557188538,4782569,48,097_봉오동 전투.xlsx
55,2019-10-01,8,0.001,8,0.0,809,0.0,0.624,3075000,2433000 ( 379.0% ),505,389 ( 335.3% ),40560263538,4783074,24,097_봉오동 전투.xlsx
56,2019-10-02,4,0.001,4,0.0,442,0.0,0.579,1573000,-1502000 ( -48.8% ),256,-249 ( -49.3% ),40561836538,4783330,28,097_봉오동 전투.xlsx
57,2019-10-04,2,0.0,2,0.0,94,0.0,0.979,460000,460000 ( 100.0% ),92,92 ( 100.0% ),40562296538,4783422,51,097_봉오동 전투.xlsx
58,2019-10-07,3,0.001,3,0.0,349,0.0,0.871,1520000,1520000 ( 100.0% ),304,304 ( 100.0% ),40563816538,4783726,21,097_봉오동 전투.xlsx
59,2019-10-28,1,0.0,1,0.0,134,0.0,0.851,570000,570000 ( 100.0% ),114,114 ( 100.0% ),40564386538,4783840,39,097_봉오동 전투.xlsx
60,2019-10-29,3,0.001,3,0.0,553,0.0,0.77,3710000,3140000 ( 550.9% ),426,312 ( 273.7% ),40568096538,4784266,30,097_봉오동 전투.xlsx
61,2019-11-01,1,0.0,1,0.0,30,0.0,1.0,210000,210000 ( 100.0% ),30,30 ( 100.0% ),40568306538,4784296,67,097_봉오동 전투.xlsx
62,2019-11-14,1,0.0,1,0.0,72,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),40568306538,4784296,125,097_봉오동 전투.xlsx
63,2019-11-15,1,0.0,1,0.0,172,0.0,0.326,280000,280000 ( 100.0% ),56,56 ( 100.0% ),40568586538,4784352,78,097_봉오동 전투.xlsx
64,2019-11-17,1,0.0,1,0.0,72,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),40568586538,4784352,124,097_봉오동 전투.xlsx
65,2019-11-19,1,0.0,1,0.0,172,0.0,0.57,490000,490000 ( 100.0% ),98,98 ( 100.0% ),40569076538,4784450,74,097_봉오동 전투.xlsx
66,2019-11-22,2,0.0,2,0.0,365,0.0,0.693,1458000,1458000 ( 100.0% ),253,253 ( 100.0% ),40570534538,4784703,27,097_봉오동 전투.xlsx
67,2019-11-25,1,0.0,1,0.0,89,0.0,0.517,232000,232000 ( 100.0% ),46,46 ( 100.0% ),40570766538,4784749,61,097_봉오동 전투.xlsx
68,2019-11-26,4,0.001,4,0.0,841,0.0,0.885,7440000,7208000 ( 3106.9% ),744,698 ( 1517.4% ),40578206538,4785493,18,097_봉오동 전투.xlsx
69,2019-12-02,1,0.0,2,0.0,344,0.0,0.57,980000,980000 ( 100.0% ),196,196 ( 100.0% ),40579186538,4785689,37,097_봉오동 전투.xlsx
70,2019-12-03,2,0.0,3,0.0,734,0.0,0.523,2020000,1040000 ( 106.1% ),384,188 ( 95.9% ),40581206538,4786073,24,097_봉오동 전투.xlsx
71,2019-12-04,1,0.0,2,0.0,344,0.0,0.401,690000,-1330000 ( -65.8% ),138,-246 ( -64.1% ),40581896538,4786211,48,097_봉오동 전투.xlsx
72,2019-12-05,2,0.0,2,0.0,513,0.0,0.269,690000,0 ( 0.0% ),138,0 ( 0.0% ),40582586538,4786349,51,097_봉오동 전투.xlsx
73,2019-12-06,2,0.0,2,0.0,513,0.0,0.269,690000,0 ( 0.0% ),138,0 ( 0.0% ),40583276538,4786487,44,097_봉오동 전투.xlsx
74,2019-12-10,1,0.0,1,0.0,172,0.0,0.57,490000,490000 ( 100.0% ),98,98 ( 100.0% ),40583766538,4786585,59,097_봉오동 전투.xlsx
75,2019-12-12,2,0.0,2,0.0,404,0.0,0.718,1450000,1450000 ( 100.0% ),290,290 ( 100.0% ),40585216538,4786875,29,097_봉오동 전투.xlsx
76,2019-12-16,1,0.0,2,0.0,344,0.0,0.57,980000,980000 ( 100.0% ),196,196 ( 100.0% ),40586196538,4787071,40,097_봉오동 전투.xlsx
77,2019-12-17,1,0.0,2,0.0,344,0.0,0.453,782000,-198000 ( -20.2% ),156,-40 ( -20.4% ),40586978538,4787227,51,097_봉오동 전투.xlsx
78,2019-12-18,1,0.0,1,0.0,131,0.0,0.878,690000,-92000 ( -11.8% ),115,-41 ( -26.3% ),40587668538,4787342,52,097_봉오동 전투.xlsx
79,2019-12-19,1,0.0,2,0.0,344,0.0,0.57,980000,290000 ( 42.0% ),196,81 ( 70.4% ),40588648538,4787538,33,097_봉오동 전투.xlsx
80,2020-11-03,1,0.0,1,0.0,174,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),40588648538,4787538,113,097_봉오동 전투.xlsx
81,2021-08-25,1,0.0,1,0.0,68,0.0,0.603,246000,246000 ( 100.0% ),41,41 ( 100.0% ),40588894538,4787579,53,097_봉오동 전투.xlsx
