,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2015-06-11,1041,0.281,5607,0.394,1114192,0.471,0.247,2363615600,2326813600 ( 6322.5% ),274719,271958 ( 9850.0% ),2400417600,277480,1,069_쥬라기 월드.xlsx
1,2015-06-12,1085,0.294,5927,0.406,1173988,0.483,0.264,2799968929,436353329 ( 18.5% ),310110,35391 ( 12.9% ),5200386529,587590,1,069_쥬라기 월드.xlsx
2,2015-06-13,1284,0.322,7047,0.458,1363592,0.537,0.473,5716359754,2916390825 ( 104.2% ),645152,335042 ( 108.0% ),10916746283,1232742,1,069_쥬라기 월드.xlsx
3,2015-06-14,1290,0.326,6973,0.466,1346027,0.544,0.428,5110731900,-605627854 ( -10.6% ),576188,-68964 ( -10.7% ),16027478183,1808930,1,069_쥬라기 월드.xlsx
4,2015-06-15,1146,0.32,6145,0.442,1212184,0.522,0.124,1315576900,-3795155000 ( -74.3% ),150590,-425598 ( -73.9% ),17343055083,1959520,1,069_쥬라기 월드.xlsx
5,2015-06-16,1153,0.318,6115,0.441,1205866,0.521,0.111,1168566900,-147010000 ( -11.2% ),133339,-17251 ( -11.5% ),18511621983,2092859,1,069_쥬라기 월드.xlsx
6,2015-06-17,1151,0.319,6135,0.443,1208622,0.522,0.114,1201766000,33199100 ( 2.8% ),138060,4721 ( 3.5% ),19713387983,2230919,1,069_쥬라기 월드.xlsx
7,2015-06-18,996,0.266,5231,0.351,1012571,0.409,0.118,1046985800,-154780200 ( -12.9% ),119664,-18396 ( -13.3% ),20760373783,2350583,2,069_쥬라기 월드.xlsx
8,2015-06-19,991,0.264,5372,0.35,1034836,0.407,0.174,1652135598,605149798 ( 57.8% ),179729,60065 ( 50.2% ),22412509381,2530312,2,069_쥬라기 월드.xlsx
9,2015-06-20,1011,0.257,5625,0.349,1066632,0.401,0.433,4122325295,2470189697 ( 149.5% ),462078,282349 ( 157.1% ),26534834676,2992390,1,069_쥬라기 월드.xlsx
10,2015-06-21,1022,0.262,5460,0.35,1031461,0.4,0.411,3740216200,-382109095 ( -9.3% ),423816,-38262 ( -8.3% ),30275050876,3416206,1,069_쥬라기 월드.xlsx
11,2015-06-22,935,0.253,4917,0.333,938090,0.382,0.121,974261200,-2765955000 ( -74.0% ),113732,-310084 ( -73.2% ),31249312076,3529938,2,069_쥬라기 월드.xlsx
12,2015-06-23,930,0.25,4867,0.331,928886,0.38,0.11,872959500,-101301700 ( -10.4% ),102241,-11491 ( -10.1% ),32122271576,3632179,2,069_쥬라기 월드.xlsx
13,2015-06-24,633,0.177,3222,0.22,581157,0.239,0.175,763597800,-109361700 ( -12.5% ),101555,-686 ( -0.7% ),32885869376,3733734,3,069_쥬라기 월드.xlsx
