,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2017-08-09,1102,0.196,5954,0.321,1007720,0.335,0.306,2252747600,2239193600 ( 16520.5% ),308298,306039 ( 13547.5% ),2560084700,344954,2,065_청년경찰.xlsx
1,2017-08-10,1065,0.187,5700,0.303,970247,0.319,0.286,2042922400,-209825200 ( -9.3% ),277400,-30898 ( -10.0% ),4603007100,622354,2,065_청년경찰.xlsx
2,2017-08-11,1046,0.181,5598,0.294,947881,0.308,0.321,2474991162,432068762 ( 21.1% ),304102,26702 ( 9.6% ),7077998262,926456,2,065_청년경찰.xlsx
3,2017-08-12,1058,0.173,5422,0.278,905325,0.287,0.572,4234950932,1759959770 ( 71.1% ),517559,213457 ( 70.2% ),11312949194,1444015,2,065_청년경찰.xlsx
4,2017-08-13,1037,0.171,5263,0.273,878910,0.282,0.574,4144184100,-90766832 ( -2.1% ),504156,-13403 ( -2.6% ),15457133294,1948171,2,065_청년경찰.xlsx
5,2017-08-14,1019,0.178,5345,0.279,875944,0.282,0.425,2752137300,-1392046800 ( -33.6% ),372146,-132010 ( -26.2% ),18209270594,2320317,2,065_청년경찰.xlsx
6,2017-08-15,881,0.154,3938,0.209,597647,0.197,0.695,3358409900,606272600 ( 22.0% ),415335,43189 ( 11.6% ),21567680494,2735652,3,065_청년경찰.xlsx
7,2017-08-16,823,0.152,3850,0.213,569385,0.196,0.307,1291740500,-2066669400 ( -61.5% ),174950,-240385 ( -57.9% ),22859420994,2910602,2,065_청년경찰.xlsx
8,2017-08-17,752,0.134,3371,0.182,510187,0.171,0.288,1087120600,-204619900 ( -15.8% ),147050,-27900 ( -15.9% ),23946541594,3057652,2,065_청년경찰.xlsx
9,2017-08-18,813,0.142,3515,0.188,538094,0.179,0.314,1378896447,291775847 ( 26.8% ),168999,21949 ( 14.9% ),25325438041,3226651,2,065_청년경찰.xlsx
10,2017-08-19,918,0.152,4065,0.211,666976,0.215,0.523,2851665100,1472768653 ( 106.8% ),349115,180116 ( 106.6% ),28177103141,3575766,2,065_청년경찰.xlsx
11,2017-08-20,918,0.155,4072,0.215,674948,0.222,0.49,2718529100,-133136000 ( -4.7% ),330638,-18477 ( -5.3% ),30895632241,3906404,2,065_청년경찰.xlsx
12,2017-08-21,798,0.15,3801,0.214,626621,0.218,0.192,901710500,-1816818600 ( -66.8% ),120575,-210063 ( -63.5% ),31797342741,4026979,2,065_청년경찰.xlsx
13,2017-08-22,817,0.148,3824,0.216,633874,0.221,0.179,842227300,-59483200 ( -6.6% ),113654,-6921 ( -5.7% ),32639570041,4140633,2,065_청년경찰.xlsx
14,2017-08-23,747,0.129,2939,0.172,475872,0.172,0.187,654954900,-187272400 ( -22.2% ),88872,-24782 ( -21.8% ),33294524941,4229505,3,065_청년경찰.xlsx
15,2017-08-24,717,0.115,3044,0.169,499460,0.171,0.18,655790200,835300 ( 0.1% ),89912,1040 ( 1.2% ),33950315141,4319417,3,065_청년경찰.xlsx
16,2017-08-25,742,0.118,3178,0.173,519078,0.175,0.207,871059574,215269374 ( 32.8% ),107490,17578 ( 19.6% ),34821374715,4426907,3,065_청년경찰.xlsx
17,2017-08-26,779,0.115,3361,0.175,567592,0.184,0.384,1794548601,923489027 ( 106.0% ),218153,110663 ( 103.0% ),36615923316,4645060,3,065_청년경찰.xlsx
18,2017-08-27,771,0.116,3350,0.179,565930,0.187,0.334,1555737400,-238811201 ( -13.3% ),189064,-29089 ( -13.3% ),38171660716,4834124,3,065_청년경찰.xlsx
19,2017-08-28,716,0.122,3133,0.18,500038,0.177,0.123,460324200,-1095413200 ( -70.4% ),61716,-127348 ( -67.4% ),38631984916,4895840,3,065_청년경찰.xlsx
20,2017-08-29,733,0.123,3131,0.181,498144,0.177,0.124,454162300,-6161900 ( -1.3% ),61798,82 ( 0.1% ),39086147216,4957638,3,065_청년경찰.xlsx
21,2017-08-30,627,0.109,2214,0.128,371783,0.132,0.235,507722900,53560600 ( 11.8% ),87406,25608 ( 41.4% ),39593870116,5045044,2,065_청년경찰.xlsx
22,2017-08-31,575,0.102,2142,0.124,345487,0.124,0.134,334179600,-173543300 ( -34.2% ),46169,-41237 ( -47.2% ),39928049716,5091213,3,065_청년경찰.xlsx
23,2017-09-01,640,0.112,2383,0.135,384270,0.134,0.148,465721800,131542200 ( 39.4% ),56997,10828 ( 23.5% ),40393771516,5148210,2,065_청년경찰.xlsx
24,2017-09-02,681,0.106,2726,0.146,465235,0.154,0.261,1014777100,549055300 ( 117.9% ),121617,64620 ( 113.4% ),41408548616,5269827,2,065_청년경찰.xlsx
25,2017-09-03,686,0.108,2685,0.148,457707,0.156,0.235,895449800,-119327300 ( -11.8% ),107474,-14143 ( -11.6% ),42303998416,5377301,2,065_청년경찰.xlsx
26,2017-09-04,638,0.117,2481,0.151,412150,0.153,0.076,233955600,-661494200 ( -73.9% ),31458,-76016 ( -70.7% ),42537954016,5408759,2,065_청년경찰.xlsx
27,2017-09-05,633,0.113,2445,0.149,406282,0.152,0.073,217721700,-16233900 ( -6.9% ),29679,-1779 ( -5.7% ),42755675716,5438438,2,065_청년경찰.xlsx
28,2017-09-06,509,0.095,1701,0.102,231598,0.085,0.093,153535700,-64186000 ( -29.5% ),21507,-8172 ( -27.5% ),42909211416,5459945,5,065_청년경찰.xlsx
29,2017-09-07,503,0.085,1541,0.092,212547,0.077,0.087,131450600,-22085100 ( -14.4% ),18568,-2939 ( -13.7% ),43040662016,5478513,5,065_청년경찰.xlsx
30,2017-09-08,513,0.085,1553,0.09,208059,0.074,0.094,159048200,27597600 ( 21.0% ),19545,977 ( 5.3% ),43199710216,5498058,5,065_청년경찰.xlsx
31,2017-09-09,519,0.081,1534,0.083,207226,0.069,0.204,301830900,142782700 ( 89.8% ),42322,22777 ( 116.5% ),43501541116,5540380,4,065_청년경찰.xlsx
32,2017-09-10,495,0.079,1485,0.082,202582,0.069,0.18,303047500,1216600 ( 0.4% ),36483,-5839 ( -13.8% ),43804588616,5576863,5,065_청년경찰.xlsx
33,2017-09-11,479,0.085,1443,0.088,192536,0.072,0.071,100046300,-203001200 ( -67.0% ),13707,-22776 ( -62.4% ),43904634916,5590570,5,065_청년경찰.xlsx
34,2017-09-12,488,0.086,1409,0.087,186646,0.07,0.06,80375000,-19671300 ( -19.7% ),11126,-2581 ( -18.8% ),43985009916,5601696,5,065_청년경찰.xlsx
35,2017-09-13,490,0.08,1261,0.077,164139,0.061,0.06,70484000,-9891000 ( -12.3% ),9865,-1261 ( -11.3% ),44055493916,5611561,6,065_청년경찰.xlsx
36,2017-09-14,247,0.043,425,0.025,52517,0.019,0.067,25333900,-45150100 ( -64.1% ),3506,-6359 ( -64.5% ),44080827816,5615067,11,065_청년경찰.xlsx
37,2017-09-15,248,0.042,430,0.024,55257,0.019,0.083,36502300,11168400 ( 44.1% ),4566,1060 ( 30.2% ),44117330116,5619633,10,065_청년경찰.xlsx
