,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2017-01-18,1125,0.205,5364,0.315,1060455,0.381,0.272,2197763200,2155148200 ( 5057.3% ),288966,285072 ( 7320.8% ),2332147200,302978,1,077_더 킹.xlsx
1,2017-01-19,1147,0.203,5395,0.315,1068348,0.383,0.223,1810239800,-387523400 ( -17.6% ),238039,-50927 ( -17.6% ),4142387000,541017,1,077_더 킹.xlsx
2,2017-01-20,1188,0.211,5615,0.324,1103408,0.391,0.237,2235092100,424852300 ( 23.5% ),261528,23489 ( 9.9% ),6377479100,802545,1,077_더 킹.xlsx
3,2017-01-21,1310,0.222,6092,0.339,1188529,0.405,0.442,4490105729,2255013629 ( 100.9% ),524841,263313 ( 100.7% ),10867584829,1327386,1,077_더 킹.xlsx
4,2017-01-22,1289,0.221,5913,0.337,1159552,0.405,0.453,4504282600,14176871 ( 0.3% ),525513,672 ( 0.1% ),15371867429,1852899,1,077_더 킹.xlsx
5,2017-01-23,1169,0.218,5524,0.332,1088252,0.4,0.15,1243052400,-3261230200 ( -72.4% ),163491,-362022 ( -68.9% ),16614919829,2016390,1,077_더 킹.xlsx
6,2017-01-24,1181,0.215,5500,0.327,1082388,0.395,0.145,1189158900,-53893500 ( -4.3% ),156749,-6742 ( -4.1% ),17804078729,2173139,1,077_더 킹.xlsx
7,2017-01-25,1071,0.178,4658,0.27,912774,0.325,0.219,1204847600,15688700 ( 1.3% ),199750,43001 ( 27.4% ),19008926329,2372889,1,077_더 킹.xlsx
8,2017-01-26,1046,0.173,4860,0.272,943246,0.325,0.225,1642336400,437488800 ( 36.3% ),212532,12782 ( 6.4% ),20651262729,2585421,2,077_더 킹.xlsx
9,2017-01-27,1118,0.173,5067,0.274,946045,0.316,0.345,2826186112,1183849712 ( 72.1% ),326785,114253 ( 53.8% ),23477448841,2912206,2,077_더 킹.xlsx
10,2017-01-28,1113,0.176,4974,0.272,920777,0.31,0.467,3768450768,942264656 ( 33.3% ),429935,103150 ( 31.6% ),27245899609,3342141,2,077_더 킹.xlsx
11,2017-01-29,1117,0.17,4889,0.261,892183,0.294,0.553,4253621700,485170932 ( 12.9% ),493218,63283 ( 14.7% ),31499521309,3835359,2,077_더 킹.xlsx
12,2017-01-30,1081,0.167,4612,0.255,836766,0.285,0.514,3637450800,-616170900 ( -14.5% ),430477,-62741 ( -12.7% ),35136972109,4265836,2,077_더 킹.xlsx
13,2017-01-31,982,0.167,4324,0.25,778315,0.277,0.186,1082210400,-2555240400 ( -70.2% ),144604,-285873 ( -66.4% ),36219182509,4410440,2,077_더 킹.xlsx
14,2017-02-01,909,0.169,3982,0.238,684494,0.25,0.135,689402400,-392808000 ( -36.3% ),92503,-52101 ( -36.0% ),36908584909,4502943,2,077_더 킹.xlsx
15,2017-02-02,827,0.154,3523,0.21,599312,0.218,0.131,587350500,-102051900 ( -14.8% ),78761,-13742 ( -14.9% ),37495935409,4581704,2,077_더 킹.xlsx
16,2017-02-03,837,0.153,3542,0.207,594295,0.212,0.146,723431518,136081018 ( 23.2% ),86879,8118 ( 10.3% ),38219366927,4668583,2,077_더 킹.xlsx
17,2017-02-04,832,0.139,3513,0.196,579993,0.199,0.29,1428182708,704751190 ( 97.4% ),168326,81447 ( 93.7% ),39647549635,4836909,2,077_더 킹.xlsx
18,2017-02-05,818,0.138,3369,0.193,556226,0.196,0.278,1305062900,-123119808 ( -8.6% ),154446,-13880 ( -8.2% ),40952612535,4991355,2,077_더 킹.xlsx
19,2017-02-06,768,0.15,3223,0.201,530173,0.201,0.094,374987900,-930075000 ( -71.3% ),50002,-104444 ( -67.6% ),41327600435,5041357,2,077_더 킹.xlsx
20,2017-02-07,777,0.146,3201,0.198,526080,0.199,0.093,363715400,-11272500 ( -3.0% ),49014,-988 ( -2.0% ),41691315835,5090371,2,077_더 킹.xlsx
21,2017-02-08,663,0.131,2612,0.157,410593,0.15,0.102,310697000,-53018400 ( -14.6% ),41728,-7286 ( -14.9% ),42002012835,5132099,3,077_더 킹.xlsx
22,2017-02-09,466,0.078,1359,0.08,196622,0.071,0.129,189208600,-121488400 ( -39.1% ),25352,-16376 ( -39.2% ),42191221435,5157451,4,077_더 킹.xlsx
23,2017-02-10,479,0.079,1371,0.079,195677,0.069,0.136,223421800,34213200 ( 18.1% ),26656,1304 ( 5.1% ),42414643235,5184107,4,077_더 킹.xlsx
24,2017-02-11,477,0.072,1211,0.067,167171,0.057,0.274,387276800,163855000 ( 73.3% ),45802,19146 ( 71.8% ),42801920035,5229909,4,077_더 킹.xlsx
25,2017-02-12,482,0.072,1172,0.066,164489,0.057,0.254,350755700,-36521100 ( -9.4% ),41732,-4070 ( -8.9% ),43152675735,5271641,4,077_더 킹.xlsx
26,2017-02-13,477,0.08,1196,0.072,172792,0.063,0.092,118303900,-232451800 ( -66.3% ),15844,-25888 ( -62.0% ),43270979635,5287485,5,077_더 킹.xlsx
27,2017-02-14,477,0.077,1196,0.071,171650,0.062,0.098,125666200,7362300 ( 6.2% ),16886,1042 ( 6.6% ),43396645835,5304371,5,077_더 킹.xlsx
28,2017-02-15,106,0.019,160,0.01,20109,0.007,0.136,20254900,-105411300 ( -83.9% ),2740,-14146 ( -83.8% ),43416900735,5307111,15,077_더 킹.xlsx
29,2017-02-16,60,0.01,80,0.005,10708,0.004,0.118,9206700,-11048200 ( -54.5% ),1268,-1472 ( -53.7% ),43426107435,5308379,20,077_더 킹.xlsx
30,2017-02-17,62,0.01,86,0.005,11479,0.004,0.114,11004000,1797300 ( 19.5% ),1314,46 ( 3.6% ),43437111435,5309693,21,077_더 킹.xlsx
31,2017-02-18,52,0.008,68,0.004,8395,0.003,0.234,16531500,5527500 ( 50.2% ),1965,651 ( 49.5% ),43453642935,5311658,19,077_더 킹.xlsx
32,2017-02-19,47,0.007,64,0.004,7515,0.003,0.188,12152000,-4379500 ( -26.5% ),1412,-553 ( -28.1% ),43465794935,5313070,19,077_더 킹.xlsx
33,2017-02-20,51,0.009,70,0.004,9710,0.004,0.088,5875400,-6276600 ( -51.7% ),859,-553 ( -39.2% ),43471670335,5313929,20,077_더 킹.xlsx
34,2017-02-21,55,0.009,70,0.004,9255,0.003,0.139,7802200,1926800 ( 32.8% ),1286,427 ( 49.7% ),43479472535,5315215,21,077_더 킹.xlsx
35,2017-02-22,9,0.001,10,0.001,1123,0.0,0.313,1973500,-5828700 ( -74.7% ),351,-935 ( -72.7% ),43481446035,5315566,32,077_더 킹.xlsx
36,2017-02-23,7,0.001,7,0.0,704,0.0,0.453,1531000,-442500 ( -22.4% ),319,-32 ( -9.1% ),43482977035,5315885,34,077_더 킹.xlsx
37,2017-02-24,3,0.0,3,0.0,246,0.0,0.13,273500,-1257500 ( -82.1% ),32,-287 ( -90.0% ),43483250535,5315917,64,077_더 킹.xlsx
38,2017-02-25,1,0.0,1,0.0,98,0.0,0.398,356000,82500 ( 30.2% ),39,7 ( 21.9% ),43483606535,5315956,63,077_더 킹.xlsx
39,2017-02-26,2,0.0,2,0.0,188,0.0,0.739,1183000,827000 ( 232.3% ),139,100 ( 256.4% ),43484789535,5316095,45,077_더 킹.xlsx
40,2017-02-27,4,0.001,4,0.0,462,0.0,0.188,456000,-727000 ( -61.5% ),87,-52 ( -37.4% ),43485245535,5316182,52,077_더 킹.xlsx
41,2017-02-28,2,0.0,2,0.0,170,0.0,0.218,303000,-153000 ( -33.6% ),37,-50 ( -57.5% ),43485548535,5316219,70,077_더 킹.xlsx
42,2017-03-02,2,0.0,2,0.0,195,0.0,0.544,530000,530000 ( 100.0% ),106,106 ( 100.0% ),43486078535,5316325,45,077_더 킹.xlsx
43,2017-04-25,1,0.0,1,0.0,217,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),43486078535,5316325,133,077_더 킹.xlsx
44,2017-04-28,1,0.0,1,0.0,200,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),43486078535,5316325,108,077_더 킹.xlsx
45,2017-09-01,1,0.0,1,0.0,108,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),43486078535,5316325,103,077_더 킹.xlsx
46,2017-11-09,1,0.0,4,0.0,1200,0.0,0.202,484000,484000 ( 100.0% ),242,242 ( 100.0% ),43486562535,5316567,32,077_더 킹.xlsx
47,2017-11-10,1,0.0,4,0.0,1200,0.0,0.222,532000,48000 ( 9.9% ),266,24 ( 9.9% ),43487094535,5316833,36,077_더 킹.xlsx
48,2017-11-11,1,0.0,4,0.0,1200,0.0,0.29,696000,164000 ( 30.8% ),348,82 ( 30.8% ),43487790535,5317181,35,077_더 킹.xlsx
49,2017-11-12,1,0.0,4,0.0,1200,0.0,0.233,560000,-136000 ( -19.5% ),280,-68 ( -19.5% ),43488350535,5317461,37,077_더 킹.xlsx
50,2017-11-13,2,0.0,5,0.0,1285,0.0,0.181,464000,-96000 ( -17.1% ),232,-48 ( -17.1% ),43488814535,5317693,28,077_더 킹.xlsx
51,2017-11-18,1,0.0,1,0.0,85,0.0,0.0,0,0 ( 0.0% ),0,0 ( 0.0% ),43488814535,5317693,161,077_더 킹.xlsx
52,2019-06-14,1,0.0,1,0.0,306,0.0,0.634,2674000,2674000 ( 100.0% ),194,194 ( 100.0% ),43491488535,5317887,36,077_더 킹.xlsx
53,2019-06-22,1,0.0,1,0.0,72,0.0,1.0,814000,814000 ( 100.0% ),72,72 ( 100.0% ),43492302535,5317959,50,077_더 킹.xlsx
54,2020-01-18,1,0.0,1,0.0,54,0.0,0.889,480000,480000 ( 100.0% ),48,48 ( 100.0% ),43492782535,5318007,64,077_더 킹.xlsx
55,2022-11-13,1,0.0,2,0.0,106,0.0,0.962,510000,510000 ( 100.0% ),102,102 ( 100.0% ),43493292535,5318109,31,077_더 킹.xlsx
56,2022-11-19,1,0.0,1,0.0,93,0.0,1.0,1395000,1395000 ( 100.0% ),93,93 ( 100.0% ),43494687535,5318202,39,077_더 킹.xlsx
