,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2015-06-24,667,0.186,3147,0.215,598275,0.246,0.256,1011947000,1011947000 ( 100.0% ),153400,153400 ( 100.0% ),1082962000,162623,1,060_연평해전.xlsx
1,2015-06-25,717,0.185,3296,0.222,642178,0.261,0.265,1266801000,254854000 ( 25.2% ),170284,16884 ( 11.0% ),2349763000,332907,1,060_연평해전.xlsx
2,2015-06-26,850,0.209,3688,0.242,706925,0.281,0.323,1788540957,521739957 ( 41.2% ),228338,58054 ( 34.1% ),4138303957,561245,1,060_연평해전.xlsx
3,2015-06-27,987,0.223,4461,0.279,843947,0.321,0.518,3470083002,1681542045 ( 94.0% ),437118,208780 ( 91.4% ),7608386959,998363,1,060_연평해전.xlsx
4,2015-06-28,1013,0.229,4454,0.287,841949,0.329,0.523,3506103700,36020698 ( 1.0% ),439924,2806 ( 0.6% ),11114490659,1438287,1,060_연평해전.xlsx
5,2015-06-29,873,0.225,4088,0.28,793869,0.328,0.275,1611042400,-1895061300 ( -54.1% ),218354,-221570 ( -50.4% ),12725533059,1656641,1,060_연평해전.xlsx
6,2015-06-30,903,0.228,4135,0.283,802679,0.332,0.27,1575237100,-35805300 ( -2.2% ),216362,-1992 ( -0.9% ),14300770159,1873003,1,060_연평해전.xlsx
7,2015-07-01,913,0.23,4246,0.294,823850,0.343,0.237,1432282900,-142954200 ( -9.1% ),195325,-21037 ( -9.7% ),15733053059,2068328,1,060_연평해전.xlsx
8,2015-07-02,802,0.206,3846,0.262,652176,0.269,0.256,1215438400,-216844500 ( -15.1% ),167113,-28212 ( -14.4% ),16948491459,2235441,2,060_연평해전.xlsx
9,2015-07-03,822,0.209,4000,0.266,676401,0.273,0.341,1748372943,532934543 ( 43.8% ),230462,63349 ( 37.9% ),18696864402,2465903,2,060_연평해전.xlsx
