,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위,영화이름
0,2016-08-10,820,0.156,3900,0.227,784635,0.278,0.483,2833570300,2810684200 ( 12281.2% ),379079,376278 ( 13433.7% ),3010413400,399933,1,043_터널.xlsx
1,2016-08-11,854,0.156,3962,0.229,792181,0.279,0.455,2705343520,-128226780 ( -4.5% ),360239,-18840 ( -5.0% ),5715756920,760172,1,043_터널.xlsx
2,2016-08-12,919,0.165,4268,0.242,851383,0.294,0.48,3405936688,700593168 ( 25.9% ),408520,48281 ( 13.4% ),9121693608,1168692,1,043_터널.xlsx
3,2016-08-13,1061,0.175,4956,0.274,983708,0.331,0.686,5653148919,2247212231 ( 66.0% ),675023,266503 ( 65.2% ),14774842527,1843715,1,043_터널.xlsx
4,2016-08-14,1095,0.181,5117,0.283,1009070,0.34,0.732,6236394140,583245221 ( 10.3% ),738317,63294 ( 9.4% ),21011236667,2582032,1,043_터널.xlsx
5,2016-08-15,1105,0.19,5047,0.287,998417,0.346,0.683,5688135600,-548258540 ( -8.8% ),681454,-56863 ( -7.7% ),26699372267,3263486,1,043_터널.xlsx
6,2016-08-16,956,0.181,4545,0.271,918210,0.333,0.294,2030681300,-3657454300 ( -64.3% ),269940,-411514 ( -60.4% ),28730053567,3533426,1,043_터널.xlsx
7,2016-08-17,792,0.14,3749,0.224,730372,0.266,0.315,1728758960,-301922340 ( -14.9% ),230231,-39709 ( -14.7% ),30458812527,3763657,1,043_터널.xlsx
8,2016-08-18,802,0.136,3780,0.224,744016,0.269,0.272,1519688160,-209070800 ( -12.1% ),202170,-28061 ( -12.2% ),31978500687,3965827,1,043_터널.xlsx
9,2016-08-19,828,0.14,3992,0.233,787807,0.28,0.289,1908601370,388913210 ( 25.6% ),227431,25261 ( 12.5% ),33887102057,4193258,1,043_터널.xlsx
10,2016-08-20,904,0.149,4459,0.252,896055,0.31,0.517,3906364625,1997763255 ( 104.7% ),463615,236184 ( 103.8% ),37793466682,4656873,1,043_터널.xlsx
11,2016-08-21,888,0.148,4358,0.253,878156,0.312,0.488,3628957760,-277406865 ( -7.1% ),428648,-34967 ( -7.5% ),41422424442,5085521,1,043_터널.xlsx
12,2016-08-22,813,0.148,3984,0.245,804979,0.302,0.193,1175584800,-2453372960 ( -67.6% ),155416,-273232 ( -63.7% ),42598009242,5240937,1,043_터널.xlsx
13,2016-08-23,832,0.15,3982,0.247,800369,0.302,0.171,1027219800,-148365000 ( -12.6% ),136908,-18508 ( -11.9% ),43625229042,5377845,1,043_터널.xlsx
